#OTU ID	XEQYCK1	XEQYCK4	XEQYCK5	XEQYCK6	XEQYCK7	XEQYCK8	XEQYCK9	XEQYNPK1	XEQYNPK2	XEQYNPK4	XEQYNPK6	XEQYNPK7	XEQYNPK8	XEQYNPK9	XEQYNPKM1	XEQYNPKM2	XEQYNPKM3	XEQYNPKM4	XEQYNPKM5	XEQYNPKM6	XEQYNPKM7	XEQYNPKM8	XEQYNPKM9	XEYCCK1	XEYCCK2	XEYCCK3	XEYCCK4	XEYCCK5	XEYCCK6	XEYCCK7	XEYCCK8	XEYCCK9	XEYCNPK1	XEYCNPK2	XEYCNPK3	XEYCNPK4	XEYCNPK5	XEYCNPK6	XEYCNPK7	XEYCNPK8	XEYCNPK9	XEYCNPKM1	XEYCNPKM2	XEYCNPKM3	XEYCNPKM4	XEYCNPKM5	XEYCNPKM6	XEYCNPKM7	XEYCNPKM8	XEYCNPKM9	XEYYCK1	XEYYCK2	XEYYCK4	XEYYCK5	XEYYCK6	XEYYCK7	XEYYCK8	XEYYCK9	XEYYNPK1	XEYYNPK2	XEYYNPK3	XEYYNPK4	XEYYNPK5	XEYYNPK6	XEYYNPK8	XEYYNPK9	XEYYNPKM1	XEYYNPKM2	XEYYNPKM3	XEYYNPKM4	XEYYNPKM5	XEYYNPKM6	XEYYNPKM7	XEYYNPKM8	XEYYNPKM9	XECCCK1	XECCCK2	XECCCK3	XECCNPK1	XECCNPK2	XECCNPK3	XECCNPKM1	XECCNPKM2	XECCNPKM3	XEJX20CK1	XEJX20CK2	XEJX20CK3	XEJX20CK4	XEJX20CK5	XEJX20CK6	XEJX20CK7	XEJX20CK8	XEJX20CK9	XEJX20NPK1	XEJX20NPK2	XEJX20NPK3	XEJX20NPK4	XEJX20NPK5	XEJX20NPK6	XEJX20NPK7	XEJX20NPK8	XEJX20NPK9	XEJX20NPKM1	XEJX20NPKM2	XEJX20NPKM3	XEJX20NPKM4	XEJX20NPKM5	XEJX20NPKM6	XEJX20NPKM7	XEJX20NPKM8	XEJX20NPKM9	XEHL20CK1	XEHL20CK2	XEHL20CK3	XEHL20NPK1	XEHL20NPK2	XEHL20NPK3	XEHL20NPKM1	XEHL20NPKM2	XEHL20NPKM3
OTU_19	1	2	4	3	4	5	0	39	4	4	26	5	3	9	3	6	26	8	38	193	11	3	294	1	4	4	6	4	2	9	4	4	4	9	7	6	8	1	12	14	18	74	33	41	20	60	24	33	16	67	8	30	36	116	126	124	78	78	113	94	79	74	49	18	95	31	37	45	62	22	138	59	110	130	47	1564	350	115	1526	5767	8536	133	4787	469	46	46	52	50	138	119	84	162	145	86	117	69	79	48	49	40	111	44	45	41	39	40	37	26	47	277	104	184	94	184	383	541	358	200	184	219
OTU_671	82	65	68	78	87	88	84	60	62	61	127	132	71	114	66	87	57	223	121	130	109	101	186	590	73	126	168	111	93	178	90	92	555	2712	896	246	1583	1095	72	14	15	19	561	25	12	30	25	3	19	24	30	22	25	14	18	24	19	17	25	29	56	57	22	65	21	46	24	25	53	94	44	39	34	48	36	60	84	148	109	64	24	1508	110	360	18	29	45	20	32	34	35	42	28	34	33	30	32	26	25	39	24	17	20	17	19	34	19	54	17	57	11	38	16	23	3450	39	53	25	40	59
OTU_55	2	2	1	1	5	2	3	7	220	78	12	8	28	896	142	79	14	12	9	12	8	13	9	1	5	3	4	1	2	5	8	5	7	5	4	3	28	2	44	9	6	1038	13	10	9	2897	14	81	10	85	4	10	10	69	27	40	32	120	21	34	11	163	318	6	24	15	14	19	13	9	31	23	34	41	13	25	28	15	15	40	63	24	45	31	20	19	22	16	1722	1076	1163	927	3877	66	137	37	23	264	26	18	381	21	9	16	14	11	12	12	24	22	15	110	31	103	90	103	89	113	65	78
OTU_39	25	34	16	47	12	33	14	29	37	12	44	18	12	19	23	16	23	66	76	472	27	43	47	30	6	18	13	10	33	17	24	24	18	22	26	31	34	11	0	1	3	9	3	5	3	5	10	2	2	12	1	2	4	19	6	11	14	12	45	18	8	1884	5	4	32	1	3	7	34	3	13	17	20	14	7	16	10	4	8	42	23	9	217	10	0	0	0	0	0	0	4	2	0	46	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	2	0	1	0	1
OTU_81	1	0	0	0	0	6	2	6	1	2	1	0	0	1	0	1	1	2	1	2	1	1	1	5	2	0	63	92	0	5	32	20	18	25	2	2	0	2	12	4	8	47	9	19	10	44	17	19	8	38	10	11	8	2757	39	2072	3138	61	38	33	20	32	15	5	33	14	15	18	58	39	37	25	334	503	18	43	31	18	20	109	111	28	74	44	4	9	4	12	25	23	9	34	24	14	11	11	7	7	4	6	2583	5	8	5	8	5	2	5	8	9	6	28	9	26	55	21	58	26	36	35
OTU_4175	30	30	19	44	66	58	37	43	32	3003	55	34	52	45	44	39	32	111	70	56	68	61	59	78	35	61	85	48	73	46	34	45	569	62	69	74	96	48	1	0	2	2	6	6	2	5	2	7	6	3	3	3	2	2	3	2	1	3	5	4	4	3	4	2	0	2	1	3	4	5	4	3	4	2	6	5	7	6	0	4	9	5	18	59	0	0	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	3	62	0	54	0	1	1
OTU_3459	17	12	16	54	22	28	15	5	6	18	28	40	23	17	7	52	7	35	9	55	11	12	31	117	17	25	29	13	18	41	94	6	43	14	21	33	22	14	23	11	2	3	19	13	4	1	12	5	16	10	37	36	16	8	2	5	9	9	12	10	88	13	7	89	15	61	16	6	62	14	12	11	22	31	23	34	230	318	200	61	15	53	29	146	132	123	109	98	129	132	167	167	143	180	150	131	146	94	105	86	91	83	94	53	117	70	72	926	102	64	68	48	20	54	59	255	76	19	46	38
OTU_77	1	4	4	5	9	8	7	122	685	207	59	8	15	9	5	101	53	12	14	19	6	7	163	10	453	19	19	38	10	30	237	7	40	92	10	10	16	11	11	16	2	5	10	35	11	18	6	2	2	9	14	14	24	624	8	4	6	1047	12	16	26	16	167	7	1866	38	8	20	15	4	14	16	429	50	150	22	23	23	20	31	27	19	32	144	1	1	5	8	212	27	30	14	8	1	1	1	2	1	0	0	22	1	1	1	2	0	4	2	0	7	0	5	0	6	2	1	1	2	6	0
OTU_30	1	4	4	2	6	9	5	6	10	4	8	4	4	7	7	3	3	11	11	62	9	10	13	10	1	94	264	7	6	775	753	58	11	212	8	9	13	6	0	1	0	17	0	51	0	44	1	2	0	2	1	0	1	8	2	0	0	3	3	1	0	4	0	0	2	0	0	0	1	0	1	1	5	5	0	0	22	27	1	1	8	1	9	4	13	22	32	22	40	60	58	86	60	30	42	17	41	17	10	24	42	22	33	3166	13	6	10	13	162	320	14	85	34	66	81	68	56	88	72	88
OTU_53	9	5	13	36	13	17	12	9	8	5	7	9	18	6	17	7	11	13	34	21	27	5	14	12	8	15	43	66	27	20	18	9	10	45	42	34	184	16	20	14	5	12	21	64	41	35	25	17	10	25	10	30	11	17	16	89	25	47	31	31	23	36	35	20	26	31	27	40	22	16	54	50	30	35	25	39	41	38	39	43	26	34	1193	4306	24	46	138	28	34	35	35	57	46	328	88	44	47	37	29	19	40	23	46	43	41	16	17	33	23	104	35	317	254	429	117	303	2703	405	407	163
OTU_21	11	13	5	21	6	56	3	1467	59	22	505	134	33	6	8	1	165	20	262	58	12	14	8	6	4	5	11	5	6	16	209	6	9	15	10	6	16	6	3	7	2	19	4	5	6	31	5	12	4	14	4	5	8	11	19	19	14	15	13	22	21	19	82	7	12	4	237	14	2600	20	28	17	37	28	691	27	25	15	35	113	50	27	35	52	0	1	1	2	1	3	1	1	1	3	5	5	2	4	3	0	3	2	8	5	6	0	1	2	0	3	21	4	1	6	4	1	0	5	3	8
OTU_11360	24	25	5	9	32	25	25	19	5	101	27	11	29	14	7	30	2	71	6	13	28	12	13	36	41	47	45	43	56	55	84	50	30	22	28	24	36	33	18	36	2	6	15	16	11	12	7	3	5	12	13	21	34	6	3	6	3	9	12	12	37	17	4	27	11	14	18	10	10	33	11	27	18	8	12	24	97	43	48	18	9	148	19	29	85	65	38	81	74	76	72	80	59	67	58	116	128	94	29	30	27	14	92	86	39	50	44	218	69	33	45	60	62	153	48	437	66	128	42	104
OTU_200	5	7	7	6	5	4	5	6	1461	88	7	31	7	340	9	47	239	15	20	25	25	10	12	7	7	8	10	8	10	10	8	11	6	9	10	6	14	12	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	2	0	0	2	0	1	0	0	0	5	0	1	0	1	0	1	0	0	0	30	0	1	0	0	0	0	1	3	2
OTU_136	0	0	0	0	0	0	0	90	1	0	3	0	1	1	0	0	0	1	2	1	0	0	9	1	0	5	0	0	1	7	9	0	0	0	5	0	12	0	1	6	5	9	3	9	6	17	5	13	5	12	7	9	17	159	16	12	20	20	16	16	10	7	231	9	75	7	30	82	734	41	22	211	2389	1279	5366	14	15	15	11	16	38	14	53	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU_25	4	5	4	5	5	5	3	103	115	3	528	2	5	17	2	2	9	12	756	85	32	9	304	5	4	5	3	3	3	5	10	5	17	10	5	7	21	4	5	4	1	12	6	7	3	19	9	9	5	7	4	6	34	32	20	14	143	24	28	113	20	9	24	6	41	7	62	21	904	119	101	45	236	333	441	18	18	10	13	34	39	5	41	15	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0
OTU_843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	23	15	13	26	26	22	27	17	31	28	23	20	11	10	12	22	11	10	12	10	10	6	10	14	2785	8	53	20	58	111	46	82	71	58	85
OTU_37	2	0	1	1	0	1	2	3	1	27	6	3	5	1	2	2	1538	5	21	23	5	9	6	5	1	5	4	0	4	15	336	4	1	3	2	4	44	0	2	0	0	0	1	0	4	2	0	1	0	1	1	0	22	87	3	47	1	1	1	1	0	0	39	1	10	0	0	1	16	8	2	1	2	4	5	6	1	0	2	1	4	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	0	1	1	0	0	0	0	0	0	2
OTU_15	6	2	3	16	6	4	4	5	1	84	5	8	4	6	8	4	4	245	11	23	41	13	46	9	2	7	8	3	2	4	6	7	4	6	6	5	12	8	2	1	3	2	6	3	6	7	2	1	0	7	609	598	3	20	6	6	3	5	4	4	5	9	3	8	4	5	2	7	7	4	8	6	9	6	3	5	4	10	3	9	11	2	7	3	0	0	1	1	4	3	6	2	6	6	2	2	4	2	4	1	5	2	1	1	1	0	0	1	0	0	3	11	9	5	8	3	12	11	6	13
OTU_4	21	25	33	33	40	36	42	35	46	41	43	45	36	44	59	46	30	126	121	105	62	97	81	66	30	40	67	47	47	45	47	31	31	45	54	56	94	46	0	0	0	4	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	0	2	0	0	2	9	2	3	2	1	2	0	2	1	5	5	2	3	4	4	4	9	3	2	2	4	0	3	2	3	2	3	1	1	1	1	2	1	3	0	12	2	7	16	15	11	12	15	11
OTU_13615	1	0	6	3	0	4	5	1	3	3	5	8	4	12	6	6	3	40	17	7	9	5	9	1	0	5	19	1	8	38	3	1	2	9	7	7	11	19	7	6	3	9	14	16	13	13	7	8	4	5	4	3	6	14	10	40	13	36	82	49	169	16	17	23	7	14	13	212	178	34	34	13	9	11	20	13	28	38	21	30	5	29	11	24	3	4	27	5	8	7	18	10	9	4	30	5	4	12	6	5	11	2	8	14	6	26	2	29	6	113	0	35	37	20	15	12	20	18	20	9
OTU_12	24	20	24	24	30	33	33	34	34	27	46	18	22	29	30	35	30	102	80	57	40	57	64	46	16	30	34	31	33	36	39	22	19	38	45	40	67	17	0	1	0	1	0	1	1	1	1	0	0	1	0	0	1	1	1	1	0	0	2	0	1	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	2	1	0	2	1	0	0	2	5	2	10	7	13	3	5	3	2	0	2	0	3	2	3	2	1	0	1	1	0	1	3	6	3	7	6	11	9	13	12	9
OTU_3	4	12	9	12	23	21	12	21	20	21	29	11	12	22	27	19	21	41	74	46	34	45	33	21	19	20	23	18	18	16	28	18	20	20	35	22	50	20	0	0	0	0	2	0	1	2	1	0	0	0	1	0	0	1	0	0	1	0	0	0	2	1	2	0	1	0	1	0	3	0	2	1	1	3	1	1	3	1	1	7	1	0	3	3	8	9	7	7	21	13	16	14	22	9	9	8	4	8	11	8	20	6	5	7	4	5	5	8	4	8	5	47	25	36	42	25	37	42	26	39
OTU_331	2	5	0	1	1	1	1	1322	0	3	26	1	26	2	2	1	1	3	76	20	14	2	0	0	0	2	5	2	3	3	3	2	2	1	2	4	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	2	1	2	2	0	0	0	0	0	0	0	1	0	0	0	1	1	0	169	0	1	0	0	2	0	2	2	1	1
OTU_1735	3	2	7	7	3	2	1	0	3	3	3	4	0	2	12	4	7	9	11	5	18	41	6	2	4	0	5	6	6	11	4	0	4	31	14	5	16	7	103	3	0	1	1	5	17	5	8	1	7	1	0	1	2	2	3	3	4	10	5	6	3	13	5	0	0	6	3	8	4	1	5	8	2	2	1	10	21	22	24	34	3	0	8	10	5	5	4	4	7	7	4	8	4	18	3	4	8	4	1	1	3	2	3	2	2	1	3	1	1	2	6	42	28	425	18	237	20	81	25	15
OTU_94	0	0	2	0	2	6	0	89	0	0	106	0	0	0	0	0	2	2	3	1	2	2	125	1	0	2	0	0	1	0	1	0	2	0	0	1	1	0	0	0	1	0	0	4	1	3	0	0	1	0	0	0	137	4	1	3	0	7	1	4	2	0	4	0	0	2	157	4	4	81	0	3	2	3	143	1	2	2	1	1	3	4	5	2	4	1	2	4	3	5	3	4	3	4	4	2	2	1	0	2	0	1	1	51	1	40	1	0	1	5	536	4	3	13	3	12	6	6	4	4
OTU_3415	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	11	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	3	1	3	1	2	3	7	1	0	0	3	1	0	1683	18	0	10	2	7	1	0	0	3	0	1	1	2	2	0	135	2	7	36	8	4	7	2	1	0	2	4	6	0	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
OTU_70	0	0	1	3	2	0	2	3	1	1	105	1	2	5	2	1	421	2	164	6	1	7	7	2	1	1	0	4	4	2	200	4	0	4	4	2	3	2	0	0	0	3	1	0	1	7	0	1	0	0	1	1	33	89	1	3	6	2	3	0	2	1	4	2	1	0	4	14	24	9	9	0	5	4	7	0	6	1	0	3	1	0	2	2	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1
OTU_44	1	0	1	3	0	2	0	0	0	0	128	1	2	0	1	1	49	3	62	345	2	3	2	1	0	2	1	1	2	0	0	1	0	0	1	1	3	1	1	3	4	2	1	2	2	5	2	4	0	4	1	0	2	5	6	5	6	13	5	3	5	4	2	1	5	3	8	4	142	3	27	7	297	204	859	4	10	8	1	13	13	5	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1
OTU_1423	29	19	0	1	1	104	1	36	96	2	4	0	96	1	1	1	7	3	43	522	2	3	1	0	0	3	2	0	1	1	1	2	3	5	2	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	44	2	2	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	1	0	1	84	0	0	0	0	0	0	1	0	1	3
OTU_3691	1	2	0	3	2	0	6	10	0	0	13	16	0	11	0	20	1	36	0	1	3	0	19	5	0	2	2	0	1	15	5	0	0	1	2	4	0	0	16	1	0	2	12	2	3	3	1	1	3	2	1	3	7	3	1	2	2	4	22	31	693	9	5	28	3	16	7	27	26	5	5	8	13	13	6	11	11	8	7	7	4	12	4	7	6	5	5	4	9	8	12	14	9	4	9	4	5	12	54	14	10	27	3	12	11	10	4	3	3	6	5	2	2	3	5	4	2	1	2	3
OTU_13859	1	0	1	1	0	0	0	1	1	0	0	0	3	0	1	1	0	1	3	14	0	0	0	1	0	5	18	1	1	2	4	0	1	0	0	0	2	1	0	3	0	0	16	0	0	2	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	29	3	0	2	0	12	0	0	3	0	1	4	2	0	0	0	1	0	1	5	1	15	10	154	14	11	13	9	31	12	15	84	12	15	9	13	8	9	13	7	6	15	12	12	48	13	204	8	25	5	18	16	12	14	16	27	8
