	Kingdom	Phylum	Class	Order	Family	Genus
OTU_1	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia
OTU_10	Bacteria	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus
OTU_100	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	SC-I-84	SC-I-84_ge
OTU_1000	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Kibdelosporangium
OTU_10000	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	BD1-7_clade
OTU_10001	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Acidiferrobacterales	Acidiferrobacteraceae	Sulfurifustis
OTU_10002	Bacteria	Abditibacteriota	Abditibacteria	Abditibacteriales	Abditibacteriaceae	Abditibacterium
OTU_10003	Bacteria	Elusimicrobiota	Lineage_IIc	Lineage_IIc_or	Lineage_IIc_fa	Lineage_IIc_ge
OTU_10004	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaeraceae_ge
OTU_10005	Bacteria	Myxococcota	Myxococcota_unclassified	Myxococcota_unclassified	Myxococcota_unclassified	Myxococcota_unclassified
OTU_10006	Bacteria	unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
OTU_10007	Bacteria	Myxococcota	Myxococcia	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter
OTU_10008	Bacteria	Bacteroidota	Kapabacteria	Kapabacteriales	Kapabacteriales_fa	Kapabacteriales_ge
OTU_10009	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus_Omnitrophus
OTU_1001	Bacteria	Actinobacteriota	Thermoleophilia	uncultured	uncultured_fa	uncultured_ge
OTU_10010	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20_fa	0319-6G20_ge
OTU_10011	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified
OTU_10012	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriales_unclassified	Sphingobacteriales_unclassified
OTU_10013	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	Chloroflexaceae_unclassified
OTU_10014	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	uncultured
OTU_10015	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified
OTU_10016	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Labraceae	Labrys
OTU_10017	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified
OTU_10018	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	Parachlamydiaceae_unclassified
OTU_10019	Bacteria	Dependentiae	Babeliae	Babeliales	Babeliales_unclassified	Babeliales_unclassified
OTU_1002	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
OTU_10020	Bacteria	Myxococcota	Polyangia	Blfdi19	Blfdi19_fa	Blfdi19_ge
OTU_10021	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	uncultured	uncultured_ge
OTU_10022	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS_17	env.OPS_17_ge
OTU_10023	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus
OTU_10024	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	E1B-B3-114
OTU_10025	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	uncultured
OTU_10026	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Candidatus_Ovatusbacter
OTU_10027	Bacteria	Spirochaetota	Leptospirae	Leptospirales	Leptospiraceae	uncultured
OTU_10028	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiales_unclassified	Burkholderiales_unclassified
OTU_10029	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella
OTU_1003	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter
OTU_10030	Bacteria	SAR324_clade	SAR324_clade	SAR324_clade	SAR324_clade	SAR324_clade
OTU_10031	Bacteria	Actinobacteriota	Actinobacteriota_unclassified	Actinobacteriota_unclassified	Actinobacteriota_unclassified	Actinobacteriota_unclassified
OTU_10032	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus
OTU_10033	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Myxococcaceae_unclassified
OTU_10034	Bacteria	unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
OTU_10035	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio
OTU_10036	Bacteria	Firmicutes	Clostridia	Clostridia_or	Hungateiclostridiaceae	Hungateiclostridiaceae_unclassified
OTU_10037	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Labraceae	Labrys
OTU_10038	Bacteria	Firmicutes	Clostridia	Clostridia_unclassified	Clostridia_unclassified	Clostridia_unclassified
OTU_10039	Bacteria	unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
OTU_1004	Bacteria	Myxococcota	Polyangia	Polyangiales	BIrii41	BIrii41_ge
OTU_10040	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	uncultured	uncultured_ge
OTU_10041	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus
OTU_10042	Bacteria	Elusimicrobiota	Lineage_IIb	Lineage_IIb_or	Lineage_IIb_fa	Lineage_IIb_ge
OTU_10043	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Simkaniaceae	Candidatus_Fritschea
OTU_10044	Bacteria	Armatimonadota	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	Fimbriimonadaceae_ge
OTU_10045	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	Vermiphilaceae_ge
OTU_10046	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Streptosporangiaceae_unclassified
OTU_10047	Bacteria	Dependentiae	Babeliae	Babeliales	Babeliales_fa	Babeliales_ge
OTU_10048	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaeraceae_ge
OTU_10049	Bacteria	Firmicutes	Clostridia	Oscillospirales	UCG-010	UCG-010_ge
OTU_1005	Bacteria	Chloroflexi	Dehalococcoidia	SAR202_clade	SAR202_clade_fa	SAR202_clade_ge
OTU_10050	Bacteria	Bacteroidota	Rhodothermia	Rhodothermales	Rhodothermaceae	uncultured
OTU_10051	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Rhodocyclaceae_unclassified
OTU_10052	Bacteria	Firmicutes	Clostridia	Clostridia_or	Hungateiclostridiaceae	Cellulosibacter
OTU_10053	Bacteria	Armatimonadota	uncultured	uncultured_or	uncultured_fa	uncultured_ge
OTU_10054	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_unclassified
OTU_10055	Bacteria	Firmicutes	Desulfotomaculia	Desulfotomaculales	Desulfotomaculales_fa	Desulfotomaculum
OTU_10056	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Tellurimicrobium
OTU_10057	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
OTU_10058	Bacteria	Firmicutes	Clostridia	Clostridia_or	Hungateiclostridiaceae	HN-HF0106
OTU_10059	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Uliginosibacterium
OTU_1006	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus_Nitrocosmicus
OTU_10060	Bacteria	Fibrobacterota	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	uncultured
OTU_10061	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup_13	Subgroup_13_fa	Subgroup_13_ge
OTU_10062	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	uncultured
OTU_10063	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella
OTU_10064	Bacteria	unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
OTU_10065	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	cvE6	cvE6_ge
OTU_10066	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Streptosporangiaceae_unclassified
OTU_10067	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20_fa	0319-6G20_ge
OTU_10068	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rickettsiales	Fokiniaceae	Fokiniaceae_unclassified
OTU_10069	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	P3OB-42
OTU_1007	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter
OTU_10070	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia
OTU_10071	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified
OTU_10072	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio
OTU_10073	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified
OTU_10074	Bacteria	Bacteroidota	Bacteroidota_unclassified	Bacteroidota_unclassified	Bacteroidota_unclassified	Bacteroidota_unclassified
OTU_10075	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20_fa	0319-6G20_ge
OTU_10076	Bacteria	Elusimicrobiota	Lineage_IIa	Lineage_IIa_or	Lineage_IIa_fa	Lineage_IIa_ge
OTU_10077	Bacteria	Elusimicrobiota	Elusimicrobia	MVP-88	MVP-88_fa	MVP-88_ge
OTU_10078	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	JG30-KF-AS9	JG30-KF-AS9_ge
OTU_10079	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacteraceae_unclassified
OTU_1008	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	uncultured
OTU_10080	Bacteria	Patescibacteria	Patescibacteria_unclassified	Patescibacteria_unclassified	Patescibacteria_unclassified	Patescibacteria_unclassified
OTU_10081	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	FCPS473
OTU_10082	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	Parachlamydiaceae_unclassified
OTU_10083	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio
OTU_10084	Bacteria	unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
OTU_10085	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20_fa	0319-6G20_ge
OTU_10086	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20_fa	0319-6G20_ge
OTU_10087	Bacteria	Myxococcota	Polyangia	Polyangia_unclassified	Polyangia_unclassified	Polyangia_unclassified
OTU_10088	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	uncultured	uncultured_ge
OTU_10089	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillaceae_unclassified
OTU_1009	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella
OTU_10090	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	cvE6	cvE6_ge
OTU_10091	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20_fa	0319-6G20_ge
OTU_10092	Bacteria	Desulfobacterota	Desulfuromonadia	PB19	PB19_fa	PB19_ge
OTU_10093	Bacteria	Chloroflexi	Chloroflexi_unclassified	Chloroflexi_unclassified	Chloroflexi_unclassified	Chloroflexi_unclassified
OTU_10094	Bacteria	Armatimonadota	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	Fimbriimonadaceae_ge
OTU_10095	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus
OTU_10096	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacteraceae_unclassified
OTU_10097	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriales_unclassified	Sphingobacteriales_unclassified
OTU_10098	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	Diplorickettsiaceae_ge
OTU_10099	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	Neochlamydia
OTU_101	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
OTU_1010	Bacteria	Chloroflexi	TK10	TK10_or	TK10_fa	TK10_ge
OTU_10100	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium
OTU_10101	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	Ktedonobacteraceae_unclassified
OTU_10102	Bacteria	Bdellovibrionota	Oligoflexia	Silvanigrellales	Silvanigrellaceae	Silvanigrella
OTU_10103	Bacteria	Gemmatimonadota	Longimicrobia	Longimicrobiales	Longimicrobiaceae	Longimicrobiaceae_ge
OTU_10104	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	Ohtaekwangia
OTU_10105	Bacteria	Firmicutes	Clostridia	Clostridia_unclassified	Clostridia_unclassified	Clostridia_unclassified
OTU_10106	Bacteria	Firmicutes	Bacilli	Aneurinibacillales	Aneurinibacillaceae	Aneurinibacillus
OTU_10107	Bacteria	Myxococcota	Myxococcota_unclassified	Myxococcota_unclassified	Myxococcota_unclassified	Myxococcota_unclassified
OTU_10108	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Streptosporangiales_unclassified	Streptosporangiales_unclassified
OTU_10109	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified
OTU_1011	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Oxalobacteraceae_unclassified
OTU_10110	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	uncultured	uncultured_ge
OTU_10111	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	uncultured
OTU_10112	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardiaceae_unclassified
OTU_10113	Bacteria	Myxococcota	Polyangia	Nannocystales	Nannocystaceae	Nannocystis
OTU_10114	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	P3OB-42
OTU_10115	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Phycisphaeraceae_unclassified
OTU_10116	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	uncultured	uncultured_ge
OTU_10117	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus_Omnitrophus
OTU_10118	Bacteria	Chloroflexi	TK10	TK10_or	TK10_fa	TK10_ge
OTU_10119	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcales_unclassified	Myxococcales_unclassified
OTU_1012	Bacteria	Chloroflexi	Dehalococcoidia	S085	S085_fa	S085_ge
OTU_10120	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	JG30-KF-AS9	JG30-KF-AS9_ge
OTU_10121	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Chlamydiales_unclassified	Chlamydiales_unclassified
OTU_10122	Bacteria	Acidobacteriota	Vicinamibacteria	Subgroup_17	Subgroup_17_fa	Subgroup_17_ge
OTU_10123	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	Candidatus_Protochlamydia
OTU_10124	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Chlamydiales_unclassified	Chlamydiales_unclassified
OTU_10125	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcales-Tissierellales_fa	Tepidimicrobium
OTU_10126	Bacteria	Gemmatimonadota	Longimicrobia	Longimicrobiales	Longimicrobiaceae	Longimicrobiaceae_ge
OTU_10127	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_unclassified
OTU_10128	Bacteria	Armatimonadota	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	Fimbriimonadaceae_ge
OTU_10129	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	AKIW781_ge
OTU_1013	Bacteria	Actinobacteriota	MB-A2-108	MB-A2-108_or	MB-A2-108_fa	MB-A2-108_ge
OTU_10130	Bacteria	Firmicutes	Clostridia	uncultured	uncultured_fa	uncultured_ge
OTU_10131	Bacteria	Firmicutes	Clostridia	Clostridia_or	Hungateiclostridiaceae	Hungateiclostridiaceae_unclassified
OTU_10132	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12	SM2D12_ge
OTU_10133	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02
OTU_10134	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02
OTU_10135	Bacteria	unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
OTU_10136	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02
OTU_10137	Bacteria	Myxococcota	Polyangia	Polyangiales	Sandaracinaceae	Sandaracinaceae_unclassified
OTU_10138	Bacteria	Myxococcota	Polyangia	Blfdi19	Blfdi19_fa	Blfdi19_ge
OTU_10139	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellales_unclassified	Gaiellales_unclassified
OTU_1014	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	P3OB-42
OTU_10140	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	Chloronema
OTU_10141	Bacteria	Chloroflexi	Dehalococcoidia	S085	S085_fa	S085_ge
OTU_10142	Bacteria	Elusimicrobiota	Elusimicrobia	MVP-88	MVP-88_fa	MVP-88_ge
OTU_10143	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	P3OB-42
OTU_10144	Bacteria	Myxococcota	Polyangia	Blfdi19	Blfdi19_fa	Blfdi19_ge
OTU_10145	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus_Solibacter
OTU_10146	Bacteria	Acidobacteriota	Vicinamibacteria	Subgroup_9	Subgroup_9_fa	Subgroup_9_ge
OTU_10147	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20_fa	0319-6G20_ge
OTU_10148	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	Candidatus_Chloroploca
OTU_10149	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Herbinix
OTU_1015	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Dokdonella
OTU_10150	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	uncultured
OTU_10151	Bacteria	Planctomycetota	Phycisphaerae	CCM11a	CCM11a_fa	CCM11a_ge
OTU_10152	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	Vermiphilaceae_ge
OTU_10153	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	I-8
OTU_10154	Bacteria	unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
OTU_10155	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	uncultured
OTU_10156	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	I-8
OTU_10157	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiales_unclassified	Burkholderiales_unclassified
OTU_10158	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	uncultured
OTU_10159	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	uncultured	uncultured_ge
OTU_1016	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	uncultured
OTU_10160	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiales_unclassified	Burkholderiales_unclassified
OTU_10161	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	OM27_clade
OTU_10162	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified
OTU_10163	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	P3OB-42
OTU_10164	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio
OTU_10165	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter
OTU_10166	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	uncultured
OTU_10167	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	uncultured
OTU_10168	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonadaceae_unclassified
OTU_10169	Bacteria	SAR324_clade	SAR324_clade	SAR324_clade	SAR324_clade	SAR324_clade
OTU_1017	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_unclassified	Rhizobiales_unclassified
OTU_10170	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS_17	env.OPS_17_ge
OTU_10171	Bacteria	Myxococcota	bacteriap25	bacteriap25_or	bacteriap25_fa	bacteriap25_ge
OTU_10172	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	Vermiphilaceae_ge
OTU_10173	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadales_fa	Saccharimonadales_ge
OTU_10174	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae_unclassified
OTU_10175	Bacteria	Planctomycetota	Phycisphaerae	mle1-8	mle1-8_fa	mle1-8_ge
OTU_10176	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup_10
OTU_10177	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	uncultured
OTU_10178	Bacteria	Chloroflexi	JG30-KF-CM66	JG30-KF-CM66_or	JG30-KF-CM66_fa	JG30-KF-CM66_ge
OTU_10179	Bacteria	Gemmatimonadota	Longimicrobia	Longimicrobiales	Longimicrobiaceae	Longimicrobiaceae_ge
OTU_1018	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup_10
OTU_10180	Bacteria	Actinobacteriota	Acidimicrobiia	Actinomarinales	uncultured	uncultured_ge
OTU_10181	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Spirosoma
OTU_10182	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacteraceae_unclassified
OTU_10183	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Chitinibacteraceae	Chitinibacteraceae_unclassified
OTU_10189	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Tepidimonas
OTU_1019	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Salinisphaerales	Solimonadaceae	Solimonadaceae_unclassified
OTU_102	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	uncultured
OTU_1020	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	uncultured	uncultured_ge
OTU_10200	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum
OTU_10203	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella
OTU_1021	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Tistrellales	Geminicoccaceae	uncultured
OTU_1022	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Elsterales	uncultured	uncultured_ge
OTU_10220	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified
OTU_10221	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_unclassified	Rhizobiales_unclassified
OTU_10224	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
OTU_10225	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_unclassified
OTU_10226	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Acaricomes
OTU_10227	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexales_unclassified	Chloroflexales_unclassified
OTU_10228	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderiaceae_unclassified
OTU_10229	Bacteria	unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
OTU_1023	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichales_unclassified	Microtrichales_unclassified
OTU_10230	Bacteria	Bdellovibrionota	Oligoflexia	Silvanigrellales	Silvanigrellaceae	uncultured
OTU_10231	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Xanthobacteraceae_unclassified
OTU_10233	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderiaceae_unclassified
OTU_10234	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Azospirillum
OTU_10236	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderiaceae_unclassified
OTU_10237	Bacteria	Acidobacteriota	Holophagae	Holophagales	Holophagaceae	Holophagaceae_unclassified
