	Kingdom	Phylum	Class	Order	Family	Genus
OTU_4964	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio
OTU_4965	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20_fa	0319-6G20_ge
OTU_4966	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Rhodomicrobiaceae	Rhodomicrobium
OTU_4967	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriae_unclassified	Acidobacteriae_unclassified	Acidobacteriae_unclassified
OTU_4968	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	Vermiphilaceae_ge
OTU_4969	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus
OTU_497	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Pleomorphomonadaceae	uncultured
OTU_4970	Bacteria	Firmicutes	Bacilli	Thermoactinomycetales	Thermoactinomycetaceae	Kroppenstedtia
OTU_4971	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	Neochlamydia
OTU_4972	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	P3OB-42
OTU_4973	Bacteria	Actinobacteriota	Actinobacteriota_unclassified	Actinobacteriota_unclassified	Actinobacteriota_unclassified	Actinobacteriota_unclassified
OTU_4974	Bacteria	Entotheonellaeota	Entotheonellia	Entotheonellales	Entotheonellaceae	Entotheonellaceae_ge
OTU_4975	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcales-Tissierellales_fa	Anaerosalibacter
OTU_4976	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cytophagaceae	Sporocytophaga
OTU_4977	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	uncultured
OTU_4978	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	mle1-7
OTU_4979	Bacteria	Bacteroidota	Rhodothermia	Rhodothermales	Rhodothermaceae	Rhodothermaceae_unclassified
OTU_498	Bacteria	Armatimonadota	Armatimonadia	Armatimonadales	Armatimonadales_fa	Armatimonadales_ge
OTU_4980	Bacteria	Chloroflexi	Chloroflexi_unclassified	Chloroflexi_unclassified	Chloroflexi_unclassified	Chloroflexi_unclassified
OTU_4981	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS_17	env.OPS_17_ge
OTU_4982	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae	Magnetospirillaceae_unclassified
OTU_4983	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Chlamydiales_unclassified	Chlamydiales_unclassified
OTU_4984	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	uncultured
