#SampleID	Env	SourceSink	id
RYCNPKM7	Rhizosphere Soil	Sink	114
RYCNPKM8	Rhizosphere Soil	Sink	115
RYCNPKM9	Rhizosphere Soil	Sink	116
RYYCK2	Rhizosphere Soil	Sink	117
RYYCK3	Rhizosphere Soil	Sink	118
RYYCK4	Rhizosphere Soil	Sink	119
RYYCK5	Rhizosphere Soil	Sink	120
RYYCK6	Rhizosphere Soil	Sink	121
RYYCK7	Rhizosphere Soil	Sink	122
RYYCK8	Rhizosphere Soil	Sink	123
RYYCK9	Rhizosphere Soil	Sink	124
RYYNPK1	Rhizosphere Soil	Sink	125
RYYNPK2	Rhizosphere Soil	Sink	126
RYYNPK3	Rhizosphere Soil	Sink	127
RYYNPK4	Rhizosphere Soil	Sink	128
RYYNPK5	Rhizosphere Soil	Sink	129
RYYNPK6	Rhizosphere Soil	Sink	130
RYYNPK7	Rhizosphere Soil	Sink	131
RYYNPK8	Rhizosphere Soil	Sink	132
RYYNPK9	Rhizosphere Soil	Sink	133
RYYNPKM1	Rhizosphere Soil	Sink	134
RYYNPKM2	Rhizosphere Soil	Sink	135
RYYNPKM3	Rhizosphere Soil	Sink	136
RYYNPKM4	Rhizosphere Soil	Sink	137
RYYNPKM5	Rhizosphere Soil	Sink	138
RYYNPKM6	Rhizosphere Soil	Sink	139
RYYNPKM7	Rhizosphere Soil	Sink	140
RYYNPKM8	Rhizosphere Soil	Sink	141
RYYNPKM9	Rhizosphere Soil	Sink	142
