	site1	site2	comm_sim	site_dis	compartment
87	SECCCK2	SEQYCK9	0.595818181818182	2254915.66494674	SE
88	SECCCK2	SEQYNPK1	0.673636363636364	2254915.66494674	SE
89	SECCCK2	SEQYNPK2	0.494227272727273	2254915.66494674	SE
90	SECCCK2	SEQYNPK3	0.0922272727272727	2254915.66494674	SE
91	SECCCK2	SEQYNPK4	0.109818181818182	2254915.66494674	SE
92	SECCCK2	SEQYNPK5	0.766772727272727	2254915.66494674	SE
93	SECCCK2	SEQYNPK6	0.664590909090909	2254915.66494674	SE
94	SECCCK2	SEQYNPK7	0.638818181818182	2254915.66494674	SE
95	SECCCK2	SEQYNPK8	0.767090909090909	2254915.66494674	SE
96	SECCCK2	SEQYNPK9	0.684545454545455	2254915.66494674	SE
97	SECCCK2	SEQYNPKM1	0.642409090909091	2254915.66494674	SE
98	SECCCK2	SEQYNPKM2	0.7715	2254915.66494674	SE
99	SECCCK2	SEQYNPKM3	0.776227272727273	2254915.66494674	SE
100	SECCCK2	SEQYNPKM4	0.524909090909091	2254915.66494674	SE
101	SECCCK2	SEQYNPKM5	0.679545454545455	2254915.66494674	SE
102	SECCCK2	SEQYNPKM6	0.697545454545454	2254915.66494674	SE
103	SECCCK2	SEQYNPKM7	0.734636363636364	2254915.66494674	SE
104	SECCCK2	SEQYNPKM8	0.582954545454546	2254915.66494674	SE
105	SECCCK2	SEQYNPKM9	0.640454545454545	2254915.66494674	SE
106	SECCCK2	SEYCCK1	0.329181818181818	1078859.66222909	SE
107	SECCCK2	SEYCCK2	0.133909090909091	1078859.66222909	SE
108	SECCCK2	SEYCCK3	0.0100454545454546	1078859.66222909	SE
109	SECCCK2	SEYCCK4	0.0161363636363636	1078859.66222909	SE
110	SECCCK2	SEYCCK5	0.112318181818182	1078859.66222909	SE
111	SECCCK2	SEYCCK6	0.0499545454545455	1078859.66222909	SE
112	SECCCK2	SEYCCK7	0.0834545454545454	1078859.66222909	SE
113	SECCCK2	SEYCCK8	0.0741363636363637	1078859.66222909	SE
114	SECCCK2	SEYCCK9	0.0100454545454546	1078859.66222909	SE
115	SECCCK2	SEYCNPK2	0.0112272727272728	1078859.66222909	SE
116	SECCCK2	SEYCNPK3	0.0184545454545455	1078859.66222909	SE
117	SECCCK2	SEYCNPK4	0.214545454545455	1078859.66222909	SE
118	SECCCK2	SEYCNPK5	0.2445	1078859.66222909	SE
119	SECCCK2	SEYCNPK6	0.0355454545454545	1078859.66222909	SE
120	SECCCK2	SEYCNPK7	0.121636363636364	1078859.66222909	SE
121	SECCCK2	SEYCNPK8	0.270318181818182	1078859.66222909	SE
122	SECCCK2	SEYCNPK9	0.634227272727273	1078859.66222909	SE
123	SECCCK2	SEYCNPKM1	0.527	1078859.66222909	SE
124	SECCCK2	SEYCNPKM2	0.735045454545455	1078859.66222909	SE
125	SECCCK2	SEYCNPKM3	0.103772727272727	1078859.66222909	SE
126	SECCCK2	SEYCNPKM4	0.7885	1078859.66222909	SE
127	SECCCK2	SEYCNPKM5	0.789727272727273	1078859.66222909	SE
128	SECCCK2	SEYCNPKM6	0.561409090909091	1078859.66222909	SE
129	SECCCK2	SEYCNPKM7	0.275045454545455	1078859.66222909	SE
130	SECCCK2	SEYCNPKM8	0.590545454545454	1078859.66222909	SE
131	SECCCK2	SEYCNPKM9	0.453772727272727	1078859.66222909	SE
132	SECCCK2	SEYYCK1	0.787545454545455	1402842.13363643	SE
133	SECCCK2	SEYYCK2	0.640909090909091	1402842.13363643	SE
134	SECCCK2	SEYYCK3	0.660181818181818	1402842.13363643	SE
135	SECCCK2	SEYYCK4	0.0694090909090909	1402842.13363643	SE
136	SECCCK2	SEYYCK5	0.679	1402842.13363643	SE
137	SECCCK2	SEYYCK6	0.753	1402842.13363643	SE
138	SECCCK2	SEYYCK7	0.441545454545455	1402842.13363643	SE
139	SECCCK2	SEYYCK8	0.610454545454545	1402842.13363643	SE
140	SECCCK2	SEYYCK9	0.0357727272727273	1402842.13363643	SE
141	SECCCK2	SEYYNPK1	0.721136363636364	1402842.13363643	SE
142	SECCCK2	SEYYNPK2	0.763	1402842.13363643	SE
143	SECCCK2	SEYYNPK3	0.788681818181818	1402842.13363643	SE
144	SECCCK2	SEYYNPK4	0.787909090909091	1402842.13363643	SE
145	SECCCK2	SEYYNPK5	0.620363636363636	1402842.13363643	SE
146	SECCCK2	SEYYNPK6	0.814409090909091	1402842.13363643	SE
147	SECCCK2	SEYYNPK7	0.788545454545455	1402842.13363643	SE
148	SECCCK2	SEYYNPK8	0.736454545454545	1402842.13363643	SE
149	SECCCK2	SEYYNPK9	0.781136363636364	1402842.13363643	SE
150	SECCCK2	SEYYNPKM1	0.339909090909091	1402842.13363643	SE
151	SECCCK2	SEYYNPKM2	0.544863636363636	1402842.13363643	SE
152	SECCCK2	SEYYNPKM3	0.382545454545455	1402842.13363643	SE
153	SECCCK2	SEYYNPKM4	0.781045454545455	1402842.13363643	SE
154	SECCCK2	SEYYNPKM5	0.734272727272727	1402842.13363643	SE
155	SECCCK2	SEYYNPKM6	0.0465909090909091	1402842.13363643	SE
156	SECCCK2	SEYYNPKM7	0.769227272727273	1402842.13363643	SE
157	SECCCK2	SEYYNPKM8	0.00822727272727275	1402842.13363643	SE
158	SECCCK2	SEYYNPKM9	0.122818181818182	1402842.13363643	SE
159	SECCCK3	SEQYCK1	0.00895454545454544	2254915.66494674	SE
160	SECCCK3	SEQYCK2	0.118727272727273	2254915.66494674	SE
161	SECCCK3	SEQYCK3	0.117454545454545	2254915.66494674	SE
162	SECCCK3	SEQYCK4	0.0188181818181818	2254915.66494674	SE
163	SECCCK3	SEQYCK5	0.642818181818182	2254915.66494674	SE
164	SECCCK3	SEQYCK6	0.462590909090909	2254915.66494674	SE
165	SECCCK3	SEQYCK7	0.443045454545455	2254915.66494674	SE
166	SECCCK3	SEQYCK9	0.645772727272727	2254915.66494674	SE
167	SECCCK3	SEQYNPK1	0.667318181818182	2254915.66494674	SE
168	SECCCK3	SEQYNPK2	0.535772727272727	2254915.66494674	SE
169	SECCCK3	SEQYNPK3	0.0962727272727273	2254915.66494674	SE
170	SECCCK3	SEQYNPK4	0.113909090909091	2254915.66494674	SE
171	SECCCK3	SEQYNPK5	0.684818181818182	2254915.66494674	SE
172	SECCCK3	SEQYNPK6	0.649545454545455	2254915.66494674	SE
173	SECCCK3	SEQYNPK7	0.694	2254915.66494674	SE
174	SECCCK3	SEQYNPK8	0.712227272727273	2254915.66494674	SE
175	SECCCK3	SEQYNPK9	0.708954545454545	2254915.66494674	SE
176	SECCCK3	SEQYNPKM1	0.6495	2254915.66494674	SE
177	SECCCK3	SEQYNPKM2	0.694136363636364	2254915.66494674	SE
178	SECCCK3	SEQYNPKM3	0.706136363636364	2254915.66494674	SE
179	SECCCK3	SEQYNPKM4	0.498181818181818	2254915.66494674	SE
180	SECCCK3	SEQYNPKM5	0.680590909090909	2254915.66494674	SE
181	SECCCK3	SEQYNPKM6	0.685227272727273	2254915.66494674	SE
182	SECCCK3	SEQYNPKM7	0.687954545454545	2254915.66494674	SE
183	SECCCK3	SEQYNPKM8	0.563272727272727	2254915.66494674	SE
184	SECCCK3	SEQYNPKM9	0.627772727272727	2254915.66494674	SE
185	SECCCK3	SEYCCK1	0.478136363636364	1078859.66222909	SE
186	SECCCK3	SEYCCK2	0.288227272727273	1078859.66222909	SE
187	SECCCK3	SEYCCK3	0.150227272727273	1078859.66222909	SE
188	SECCCK3	SEYCCK4	0.228863636363636	1078859.66222909	SE
189	SECCCK3	SEYCCK5	0.3095	1078859.66222909	SE
190	SECCCK3	SEYCCK6	0.224818181818182	1078859.66222909	SE
191	SECCCK3	SEYCCK7	0.291409090909091	1078859.66222909	SE
192	SECCCK3	SEYCCK8	0.287863636363636	1078859.66222909	SE
193	SECCCK3	SEYCCK9	0.113272727272727	1078859.66222909	SE
194	SECCCK3	SEYCNPK2	0.231636363636364	1078859.66222909	SE
195	SECCCK3	SEYCNPK3	0.217954545454545	1078859.66222909	SE
196	SECCCK3	SEYCNPK4	0.430181818181818	1078859.66222909	SE
197	SECCCK3	SEYCNPK5	0.4505	1078859.66222909	SE
198	SECCCK3	SEYCNPK6	0.152136363636364	1078859.66222909	SE
199	SECCCK3	SEYCNPK7	0.332227272727273	1078859.66222909	SE
200	SECCCK3	SEYCNPK8	0.455363636363636	1078859.66222909	SE
201	SECCCK3	SEYCNPK9	0.673272727272727	1078859.66222909	SE
202	SECCCK3	SEYCNPKM1	0.662409090909091	1078859.66222909	SE
203	SECCCK3	SEYCNPKM2	0.702909090909091	1078859.66222909	SE
204	SECCCK3	SEYCNPKM3	0.262727272727273	1078859.66222909	SE
205	SECCCK3	SEYCNPKM4	0.705409090909091	1078859.66222909	SE
206	SECCCK3	SEYCNPKM5	0.699409090909091	1078859.66222909	SE
207	SECCCK3	SEYCNPKM6	0.682909090909091	1078859.66222909	SE
208	SECCCK3	SEYCNPKM7	0.398227272727273	1078859.66222909	SE
209	SECCCK3	SEYCNPKM8	0.680181818181818	1078859.66222909	SE
210	SECCCK3	SEYCNPKM9	0.5975	1078859.66222909	SE
211	SECCCK3	SEYYCK1	0.708545454545455	1402842.13363643	SE
212	SECCCK3	SEYYCK2	0.760318181818182	1402842.13363643	SE
213	SECCCK3	SEYYCK3	0.683727272727273	1402842.13363643	SE
214	SECCCK3	SEYYCK4	0.0756363636363636	1402842.13363643	SE
215	SECCCK3	SEYYCK5	0.746227272727273	1402842.13363643	SE
216	SECCCK3	SEYYCK6	0.769909090909091	1402842.13363643	SE
217	SECCCK3	SEYYCK7	0.567136363636364	1402842.13363643	SE
218	SECCCK3	SEYYCK8	0.717727272727273	1402842.13363643	SE
219	SECCCK3	SEYYCK9	0.0417272727272727	1402842.13363643	SE
220	SECCCK3	SEYYNPK1	0.7295	1402842.13363643	SE
221	SECCCK3	SEYYNPK2	0.696409090909091	1402842.13363643	SE
222	SECCCK3	SEYYNPK3	0.686545454545455	1402842.13363643	SE
223	SECCCK3	SEYYNPK4	0.700272727272727	1402842.13363643	SE
224	SECCCK3	SEYYNPK5	0.679727272727273	1402842.13363643	SE
225	SECCCK3	SEYYNPK6	0.701454545454545	1402842.13363643	SE
226	SECCCK3	SEYYNPK7	0.697272727272727	1402842.13363643	SE
227	SECCCK3	SEYYNPK8	0.673863636363636	1402842.13363643	SE
228	SECCCK3	SEYYNPK9	0.7085	1402842.13363643	SE
229	SECCCK3	SEYYNPKM1	0.528681818181818	1402842.13363643	SE
230	SECCCK3	SEYYNPKM2	0.673772727272727	1402842.13363643	SE
231	SECCCK3	SEYYNPKM3	0.472409090909091	1402842.13363643	SE
232	SECCCK3	SEYYNPKM4	0.712045454545455	1402842.13363643	SE
233	SECCCK3	SEYYNPKM5	0.751272727272727	1402842.13363643	SE
234	SECCCK3	SEYYNPKM6	0.158	1402842.13363643	SE
235	SECCCK3	SEYYNPKM7	0.712818181818182	1402842.13363643	SE
236	SECCCK3	SEYYNPKM8	0.0157272727272727	1402842.13363643	SE
237	SECCCK3	SEYYNPKM9	0.319772727272727	1402842.13363643	SE
238	SECCNPK1	SEQYCK1	0.00845454545454549	2254915.66494674	SE
239	SECCNPK1	SEQYCK2	0.126318181818182	2254915.66494674	SE
240	SECCNPK1	SEQYCK3	0.127772727272727	2254915.66494674	SE
241	SECCNPK1	SEQYCK4	0.0292727272727272	2254915.66494674	SE
242	SECCNPK1	SEQYCK5	0.583045454545455	2254915.66494674	SE
243	SECCNPK1	SEQYCK6	0.478590909090909	2254915.66494674	SE
244	SECCNPK1	SEQYCK7	0.554090909090909	2254915.66494674	SE
245	SECCNPK1	SEQYCK9	0.604818181818182	2254915.66494674	SE
246	SECCNPK1	SEQYNPK1	0.588227272727273	2254915.66494674	SE
247	SECCNPK1	SEQYNPK2	0.655045454545454	2254915.66494674	SE
248	SECCNPK1	SEQYNPK3	0.0996818181818182	2254915.66494674	SE
249	SECCNPK1	SEQYNPK4	0.122454545454545	2254915.66494674	SE
250	SECCNPK1	SEQYNPK5	0.5885	2254915.66494674	SE
251	SECCNPK1	SEQYNPK6	0.562272727272727	2254915.66494674	SE
252	SECCNPK1	SEQYNPK7	0.578681818181818	2254915.66494674	SE
