	XEQYCK1	XEQYCK4	XEQYCK5	XEQYCK6	XEQYCK7	XEQYCK8	XEQYCK9	XEQYNPK1	XEQYNPK2	XEQYNPK4	XEQYNPK6	XEQYNPK7	XEQYNPK8	XEQYNPK9	XEQYNPKM1	XEQYNPKM2	XEQYNPKM3	XEQYNPKM4	XEQYNPKM5	XEQYNPKM6	XEQYNPKM7	XEQYNPKM8	XEQYNPKM9	XEYCCK1	XEYCCK2	XEYCCK3	XEYCCK4	XEYCCK5	XEYCCK6	XEYCCK7	XEYCCK8	XEYCCK9	XEYCNPK1	XEYCNPK2	XEYCNPK3	XEYCNPK4	XEYCNPK5	XEYCNPK6	XEYCNPK7	XEYCNPK8	XEYCNPK9	XEYCNPKM1	XEYCNPKM2	XEYCNPKM3	XEYCNPKM4	XEYCNPKM5	XEYCNPKM6	XEYCNPKM7	XEYCNPKM8	XEYCNPKM9	XEYYCK1	XEYYCK2	XEYYCK4	XEYYCK5	XEYYCK6	XEYYCK7	XEYYCK8	XEYYCK9	XEYYNPK1	XEYYNPK2	XEYYNPK3	XEYYNPK4	XEYYNPK5	XEYYNPK6	XEYYNPK8	XEYYNPK9	XEYYNPKM1	XEYYNPKM2	XEYYNPKM3	XEYYNPKM4	XEYYNPKM5	XEYYNPKM6	XEYYNPKM7	XEYYNPKM8	XEYYNPKM9	XECCCK1	XECCCK2	XECCCK3	XECCNPK1	XECCNPK2	XECCNPK3	XECCNPKM1	XECCNPKM2	XECCNPKM3	XEJX20CK1	XEJX20CK2	XEJX20CK3	XEJX20CK4	XEJX20CK5	XEJX20CK6	XEJX20CK7	XEJX20CK8	XEJX20CK9	XEJX20NPK1	XEJX20NPK2	XEJX20NPK3	XEJX20NPK4	XEJX20NPK5	XEJX20NPK6	XEJX20NPK7	XEJX20NPK8	XEJX20NPK9	XEJX20NPKM1	XEJX20NPKM2	XEJX20NPKM3	XEJX20NPKM4	XEJX20NPKM5	XEJX20NPKM6	XEJX20NPKM7	XEJX20NPKM8	XEJX20NPKM9	XEHL20CK1	XEHL20CK2	XEHL20CK3	XEHL20NPK2	XEHL20NPK3	XEHL20NPKM1	XEHL20NPKM2	XEHL20NPKM3
OTU_18	4	1	3	3	1	33	1	9	3	43	11	6	2	2	4	4	8	10	37	48	3	15	17	1	3	7	7	5	5	4	6	4	10	8	7	3	9	10	3	3	1	4	0	4	2	4	5	11	1	2	4	2	5	143	0	4	10	34	41	9	3	6	402	3	7	5	8	73	71	5	22	6	150	193	7	5	4	2	3	8	8	2	9	7	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	1	1
OTU_1423	41	30	0	1	1	137	1	40	135	1	3	1	168	0	0	0	7	4	64	762	2	1	6	2	0	0	0	1	2	1	2	8	1	4	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	74	0	2	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	133	1	1	0	0	0	1	1	1	1
OTU_7781	0	2	0	1261	2	30	3	5	3	0	1	0	1	1	1	2	1	8	6	8	5	4	6	2	0	2	2	2	2	0	2	3	1	1	4	2	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	2	7	1	1	4	5	2	5	2	3	4	4	4	6	2	4	2	2	3	3	4	5	1122	3	3	2	6	5	14	0	9	7
OTU_1	6	14	11	17	15	10	19	18	9	8	12	7	8	10	14	8	11	23	32	41	16	29	17	8	11	14	10	17	14	14	15	5	5	14	12	13	23	11	7	9	5	12	11	8	5	11	13	13	5	10	4	8	7	7	11	13	14	15	13	10	18	15	10	9	16	7	11	10	24	7	20	11	29	12	13	15	14	5	12	23	29	13	22	19	1	1	3	1	0	15	7	6	9	0	0	2	3	2	1	1	5	3	1	0	3	1	0	2	3	1	2	6	1	12	1	7	10	8	3
OTU_139	1	0	1	1	2	1	0	3	8	150	5	0	6	4	33	5	7	23	7	7	10	571	1	0	1	2	2	1	3	3	5	2	3	1	2	2	4	2	1	1	0	5	3	1	0	203	2	0	0	2	1	0	1	2	3	9	2	1	1	2	1	2	1	0	3	0	0	1	0	0	4	0	0	3	1	1	0	0	1	3	3	1	1	0	0	0	0	0	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
OTU_1199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	4	5	15	2	6	12	6	1	7	4	2	2	0	2	5	0	3	2	0	0	1	1	2	701	1	11	3	14	10	8	8	8	17
OTU_12319	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	3	2	0	53	0	0	1	45	0	10	0	1	0	0	1	1	3	2	0	1	3	1	0	1	0	1	1	2	1	0	0	1	1	0	2	0	1	3	0	1	1	1	3	0	1	2	1	0	0	3	105	74	82	81	151	9	53	2	6	0	0	1	1	0	4	4	1	0	2	1	1	2	3	11	4	5	7	4	6	4	4
OTU_11839	0	1	0	0	1	1	0	4	0	0	2	0	0	2	0	1	0	3	1	6	1	0	0	3	1	0	0	3	1	1	1	0	0	0	0	1	2	0	4	4	1	0	4	5	1	0	1	0	0	3	4	1	12	3	1	4	1	1	3	6	9	4	1	6	16	5	6	1	8	1	7	9	13	12	6	16	106	16	49	193	14	20	32	19	1	0	2	1	2	2	1	2	0	1	3	0	1	0	1	4	0	0	1	1	0	0	1	0	0	0	44	2	0	2	1	1	3	0	3
OTU_11889	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	4	0	2	2	2	85	0	0	0	67	1	13	3	10	0	0	3	1	1	2	4	2	5	1	2	6	4	0	2	4	1	1	0	0	2	2	4	1	2	2	0	2	1	3	11	3	4	5	1	1	2	2	55	42	57	51	123	4	38	1	0	2	0	0	1	0	4	0	0	2	0	0	2	2	0	1	2	5	3	5	0	2	5
OTU_48	2	1	6	25	8	4	3	9	7	5	8	5	3	6	8	9	4	15	23	21	3	11	3	4	2	7	9	3	3	7	8	3	2	8	7	4	11	3	5	3	1	4	3	4	3	7	6	3	2	6	1	6	5	4	3	15	8	6	9	5	7	5	6	5	2	0	4	4	7	3	7	8	6	5	15	8	9	3	5	9	12	9	13	7	1	1	0	0	2	11	10	5	8	7	2	1	2	0	2	1	4	1	1	1	0	1	0	0	0	3	0	3	2	2	3	2	7	3	5
OTU_10	6	3	6	4	7	1	7	4	5	5	4	4	2	6	5	7	4	18	12	15	9	7	7	6	2	9	8	9	8	5	11	6	2	6	12	4	14	6	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	3	0	0	0	0	0	0	0	3	6	6	1	10	20	13	30	22	8	11	3	7	2	7	7	11	6	3	5	0	5	1	12	2	6	5	18	6	17	14	7	21	25	6
OTU_7	4	7	8	9	11	11	8	14	15	17	13	6	9	7	15	10	11	40	31	31	16	28	20	21	7	11	10	9	13	14	17	6	5	10	13	12	17	5	0	3	0	1	0	0	3	4	2	0	0	1	0	2	1	1	2	2	1	4	3	0	1	4	0	0	0	0	0	1	1	0	0	0	2	0	1	1	0	2	1	2	4	1	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	2	0	1	2	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU_14	7	5	3	4	8	8	13	11	18	7	8	7	4	12	19	9	9	22	30	27	19	23	14	12	4	13	8	16	11	11	12	4	8	4	9	10	15	8	0	1	0	6	0	0	0	1	0	1	0	0	0	0	3	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	1	3	0	0	0	2	2	2	1	4	3	1	7	7	0	4	0	2	1	0	0	4	0	3	1	0	0	1	1	2	0	0	4	1	6	1	3	6	11	2
OTU_20	5	8	10	8	14	9	9	7	19	10	15	8	9	13	14	11	6	29	23	24	15	16	22	12	7	11	14	8	17	15	9	12	8	15	11	11	18	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_13	1	2	2	5	3	3	4	3	4	69	19	2	4	6	4	4	4	19	23	17	5	9	36	3	1	6	4	6	6	3	3	1	1	6	6	7	13	4	0	0	0	2	0	0	0	11	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	5	0	1	1	0	1	0	0	1	2	0	1	3	2	2	5	5	5	4	3	5	4	1	0	0	6	0	1	1	1	2	0	0	2	1	1	10	3	8	7	8	14	3	14
OTU_10588	0	0	0	1	1	1	2	0	7	115	1	2	1	9	1	1	1	1	4	5	15	1	2	1	0	1	2	0	2	4	2	0	0	1	1	0	38	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	22	1	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0	1	0	1	0	8	0	0	1	0	0	0	0	0	2	0	0	1	2	3	5	2	4	3	1	2	0	1	1	1	2	22	1	0	0	0	0	0	0	1	0	94	3	3	7	5	3	4	7	0
OTU_10916	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	1	0	2	405	2	1	0	2	0	1	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_16	5	4	8	5	6	3	8	9	9	7	11	7	11	4	16	6	7	24	24	21	11	27	19	14	7	11	10	8	4	11	8	8	5	10	9	10	23	3	0	0	0	2	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	1	2	1	0	0	0	0	0	3	0	1	2	0	0	0	0	0	0	1	0	0	0	2	0	2	0	1	1	0	0
OTU_45	0	3	2	1	3	1	1	151	6	0	1	0	3	1	3	0	2	7	156	6	4	1	3	0	0	3	3	1	2	3	4	0	1	2	2	3	5	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	3	3	0	1	0	0	1	0	2	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	1	1	6
OTU_5226	1	0	1	0	1	0	0	1	0	1	1	2	0	0	1	0	3	2	1	2	4	2	0	3	0	1	1	0	1	0	0	0	1	9	4	0	13	4	0	0	0	2	8	1	0	1	1	1	2	0	0	1	2	0	1	0	2	2	0	0	1	1	3	1	3	3	1	0	1	0	3	1	2	1	2	0	2	2	2	5	4	3	56	161	0	0	1	0	0	0	0	1	0	0	2	3	1	0	2	0	0	0	0	0	0	0	2	1	1	0	0	0	0	3	2	46	2	0	3
OTU_8155	1	3	6	2	5	4	3	5	2	1	4	5	5	0	4	7	5	5	6	2	4	4	7	6	5	3	4	5	2	4	3	2	2	4	1	1	9	1	4	3	2	3	6	5	8	3	4	2	3	6	4	0	3	2	3	1	6	12	9	9	10	3	12	4	7	4	9	6	1	8	20	12	4	6	3	5	12	8	5	5	3	10	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
OTU_9951	6	4	5	11	6	3	4	7	1	3	12	8	1	12	4	14	4	9	11	3	10	3	10	1	1	4	4	4	3	7	3	0	2	10	7	7	14	2	4	1	0	1	3	1	0	0	0	1	0	2	2	0	0	1	0	9	2	6	3	4	6	12	4	10	2	9	2	7	2	0	1	7	2	3	5	4	5	1	5	2	2	1	2	4	0	0	0	0	1	0	2	1	2	5	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	2	4	5	0	0	2	18	1
OTU_28	6	4	6	4	9	6	8	9	8	4	10	5	6	4	4	8	4	25	20	18	14	17	8	8	6	8	11	11	10	9	9	6	7	8	7	4	12	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	2	0	1	2	0	0	1	1	0	0	0	0	2	0	1	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	3	1	1
OTU_11849	1	0	0	0	0	3	0	11	1	0	169	0	9	1	0	0	0	1	4	4	2	0	4	0	0	0	0	0	0	0	4	1	2	3	0	0	2	0	0	0	0	0	1	1	1	5	0	1	0	3	1	0	7	2	0	0	0	0	0	0	0	0	5	0	1	0	3	0	13	2	6	0	7	7	25	0	2	1	1	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_9437	0	1	0	1	0	222	1	4	0	2	1	1	1	0	1	0	2	2	35	5	2	2	0	2	1	0	0	0	2	1	1	1	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1	1	1	2	1	1	1	1
OTU_31	2	3	3	1	2	4	4	0	4	10	4	2	2	4	4	2	3	8	27	7	1	14	6	5	5	2	3	1	5	6	1	2	3	3	2	6	8	4	0	1	0	5	0	2	0	47	1	0	0	4	1	1	0	2	0	0	0	0	1	0	3	3	0	0	1	0	0	0	1	0	0	1	1	3	0	0	1	1	0	0	1	0	2	4	0	1	0	0	1	1	0	1	5	1	0	1	0	0	2	1	2	0	0	0	1	1	0	0	0	0	0	1	1	3	1	2	1	2	1
OTU_9006	1	2	4	2	6	3	3	3	4	3	1	3	2	3	6	2	3	6	7	15	7	7	5	5	2	3	5	2	8	4	5	3	4	1	2	8	7	2	0	1	0	4	0	2	0	2	0	1	0	1	1	0	1	3	1	3	4	2	2	1	1	0	1	2	0	0	0	1	1	0	1	1	1	2	2	1	3	4	0	3	4	1	3	3	2	2	2	0	0	2	3	1	3	2	5	1	0	2	0	0	3	0	0	0	0	3	0	1	1	2	1	4	2	3	3	5	2	2	3
OTU_7904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	5	2	2	2	0	4	0	0	0	0	0	3	0	0	1	0	1	0	1	0	220	0	2	4	6	2	2	4	3	7
OTU_6375	80	89	1	0	1	7	2	0	0	0	0	0	0	0	0	0	0	2	9	0	1	3	0	0	0	1	0	0	0	1	1	0	0	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	14	0	1	3	0	0	30	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4223	3	3	4	1	4	6	2	2	8	1	4	1	3	4	3	9	2	16	8	6	8	2	7	7	4	6	10	4	1	1	4	6	5	5	17	2	14	8	1	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	1	0	2	0	1	2	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	4	1	1	10
OTU_11363	1	3	3	4	3	1	1	2	3	2	0	1	1	3	2	0	3	3	1	1	2	2	3	3	0	3	5	2	4	1	1	1	0	3	4	3	5	4	2	1	3	0	4	0	2	2	2	1	4	1	1	1	4	2	0	1	2	6	2	3	9	12	2	6	3	3	3	3	0	4	8	6	4	3	2	3	2	4	3	3	0	10	7	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_2454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	6	1	0	0	1	1	1	208	2	1	0	0	1	2	2	1	0
OTU_385	0	1	0	0	1	1	0	3	14	0	2	0	1	0	1	0	1	0	6	14	2	0	3	0	0	0	0	0	0	0	0	0	0	34	0	0	2	1	0	0	0	1	0	1	1	0	1	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	1	1	0	1	3	0	5	49	1	1	0	0	1	1	0	3	0	0	1	0	0	1	0	0	1	0	2	1	0	1	0	0	0	1	0	0	0	0	8	32	0	0	0	0	8	0	2	1	1	0	1	1	0	0	0
OTU_12309	2	1	1	3	4	1	3	2	8	2	2	3	2	3	2	2	3	4	2	8	6	3	3	3	5	3	3	3	3	1	3	4	5	3	1	1	3	2	0	2	0	1	1	3	0	0	2	1	1	2	0	0	1	1	2	2	0	2	0	0	2	0	1	0	0	0	1	1	0	0	1	3	2	0	1	0	2	2	1	1	0	0	2	2	1	1	1	1	3	2	6	1	3	2	3	1	1	1	1	0	5	1	1	1	1	0	0	1	2	2	0	4	1	6	3	2	4	3	4
OTU_9	0	0	0	0	1	2	1	0	0	2	3	0	1	1	0	0	51	1	0	3	3	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	10	1	1	0	0	1	2	0	2	0	1	1	5	2	2	1	4	2	3	3	2	1	15	38	0	0	0	0	1	0	23	1	2	4	2	1	1	0	2	1	2
OTU_954	1	1	0	0	0	0	0	1	0	7	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	1	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	143	1	0	0	4	1	0	0	0	0	0	0	2	1	1	0	0	10	0	0	0	1	0	0	1	1	1	5	1	0	2	0	0	1	2	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
OTU_141	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	11	0	0	1	69	0	1	0	3	0	1	0	1	0	0	2	1	3	1	0	0	0	0	1	0	0	1	1	1	1	0	2	3	0	2	0	2	3	0	0	0	0	0	0	0	1	0	2	5	4	7	2	1	0	0	0	0	0	0	14	0	1	3	1	0	0	0	0	0	0	2	0	0	1	2	3	0	34
OTU_119	0	2	1	1	7	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	2	1	34	3	0	0	0	4	14	1	2	7	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	1	0	42	1	0	0	0	4	0	1	6	0	2	0	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	27	0	2	0	0	0	0	0	0	0
OTU_167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	1	0	1	0	0	4	0	1	1	0	1	0	0	0	162	0	1	0	2	0	2	0	0	0
OTU_143	2	0	1	0	0	2	0	2	0	0	0	0	1	1	1	0	0	1	3	0	0	3	14	0	0	0	0	1	0	0	4	0	0	2	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	6	0	0	0	1	0	1	0	0	0	1	0	1	0	0	1	3	1	0	0	33	65	1	1	0	1	0	4	1	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_12398	0	0	0	2	0	1	0	0	1	0	1	0	0	0	0	0	0	1	2	1	1	0	1	1	0	1	0	2	1	8	2	0	2	6	7	1	1	0	7	0	1	0	3	0	4	1	2	0	4	8	0	1	0	3	0	2	1	0	2	0	1	18	3	1	0	0	0	1	0	1	0	2	3	1	1	5	11	0	8	3	0	0	0	5	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	12	0	0	0	0
OTU_295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	2	1	0	0	0	0	3	1	1	0	0	0	1	1	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_26	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	1	0	0	1	0	1	0	0	1	0	1	0	2	2	2	0	0	10	2	17	0	6	1	1	9	0	17	0	7	2	0	0	1	0	2	0	1	1	1	2	13	2	1	2	0	4	1	2	0	0	1	2	3	2	2	0	2	0	0	0	2	0	0	4	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	139	1	0	0	0	0	1	0	0	0
OTU_13029	0	0	0	2	0	3	0	1	0	0	1	0	0	0	0	0	2	1	0	3	1	1	1	1	0	0	2	1	0	0	0	0	0	1	0	0	2	0	0	2	0	1	0	2	0	2	2	3	2	7	0	3	1	1	1	2	4	6	2	2	2	11	5	4	2	2	0	2	4	3	1	4	4	3	4	1	3	5	2	0	0	4	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	50	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	2	0	0	4	0	3	3	3	7	1	0	0	0	1	5	4	10	3	1	0	0	0	0	0	1	0	12	0	0	1	0	0	0	0	0	0	0	2	0	0	0	2	0	0	9
OTU_78	0	1	1	1	1	3	1	0	1	1	1	0	1	4	2	0	0	1	3	1	4	5	4	1	0	1	2	0	1	2	2	3	0	2	7	1	3	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	1	2	4	2	3	1	2	3	1	1	2	1	0	0	0	1	0	1	1	0	0	0	1	0	4	2	4	3	6	7	2	3
OTU_936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	1	0	0	0	2	0	0	1	4	0	72	16	2	1	0	1	0	2	0	11	0	0	0	0	0	3	0	1	2	0	0	0	1	1	0	2	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_17	2	1	3	3	3	3	1	4	0	1	4	3	0	2	4	1	0	4	10	6	0	5	3	1	2	1	2	2	1	2	2	2	1	1	4	0	4	0	0	0	0	6	0	0	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	1	1	2	0	0	1	0	0	1	0	1	0	0	0	0	4
OTU_50	2	0	1	3	0	2	2	1	2	2	2	0	3	4	6	1	2	5	8	9	4	6	6	7	1	2	2	0	6	3	3	1	2	1	2	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	9
OTU_4895	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	7	0	1	0	0	0	0	0	1	0	4	0	0	2	2	0	0	9	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	4	0	2	1	0	3	5	0	0	7	0	1	0	1	1	32	0	5	4	1	1	0	0	0	0	1	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	1	0	0	1	0	0	1	0
