	XEQYCK1	XEQYCK4	XEQYCK5	XEQYCK6	XEQYCK7	XEQYCK8	XEQYCK9	XEQYNPK1	XEQYNPK2	XEQYNPK4	XEQYNPK6	XEQYNPK7	XEQYNPK8	XEQYNPK9	XEQYNPKM1	XEQYNPKM2	XEQYNPKM3	XEQYNPKM4	XEQYNPKM5	XEQYNPKM6	XEQYNPKM7	XEQYNPKM8	XEQYNPKM9	XEYCCK1	XEYCCK2	XEYCCK3	XEYCCK4	XEYCCK5	XEYCCK6	XEYCCK7	XEYCCK8	XEYCCK9	XEYCNPK1	XEYCNPK2	XEYCNPK3	XEYCNPK4	XEYCNPK5	XEYCNPK6	XEYCNPK7	XEYCNPK8	XEYCNPK9	XEYCNPKM1	XEYCNPKM2	XEYCNPKM3	XEYCNPKM4	XEYCNPKM5	XEYCNPKM6	XEYCNPKM7	XEYCNPKM8	XEYCNPKM9	XEYYCK1	XEYYCK2	XEYYCK4	XEYYCK5	XEYYCK6	XEYYCK7	XEYYCK8	XEYYCK9	XEYYNPK1	XEYYNPK2	XEYYNPK3	XEYYNPK4	XEYYNPK5	XEYYNPK6	XEYYNPK8	XEYYNPK9	XEYYNPKM1	XEYYNPKM2	XEYYNPKM3	XEYYNPKM4	XEYYNPKM5	XEYYNPKM6	XEYYNPKM7	XEYYNPKM8	XEYYNPKM9	XECCCK1	XECCCK2	XECCCK3	XECCNPK1	XECCNPK2	XECCNPK3	XECCNPKM1	XECCNPKM2	XECCNPKM3	XEJX20CK1	XEJX20CK2	XEJX20CK3	XEJX20CK4	XEJX20CK5	XEJX20CK6	XEJX20CK7	XEJX20CK8	XEJX20CK9	XEJX20NPK1	XEJX20NPK2	XEJX20NPK3	XEJX20NPK4	XEJX20NPK5	XEJX20NPK6	XEJX20NPK7	XEJX20NPK8	XEJX20NPK9	XEJX20NPKM1	XEJX20NPKM2	XEJX20NPKM3	XEJX20NPKM4	XEJX20NPKM5	XEJX20NPKM6	XEJX20NPKM7	XEJX20NPKM8	XEJX20NPKM9	XEHL20CK1	XEHL20CK2	XEHL20CK3	XEHL20NPK2	XEHL20NPK3	XEHL20NPKM1	XEHL20NPKM2	XEHL20NPKM3
OTU_136	0	0	0	0	0	1	2	145	1	0	1	0	2	1	0	1	1	3	1	1	1	1	14	1	0	5	1	1	0	6	14	1	2	0	9	0	31	1	7	6	5	17	5	9	10	23	12	12	2	17	8	12	28	282	28	17	19	41	20	26	25	15	319	11	129	9	48	120	1164	61	34	317	3656	1912	8225	21	21	17	27	37	45	16	65	22	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_77	6	6	3	12	13	5	15	181	1004	333	73	15	10	16	10	141	83	30	12	31	20	10	203	19	768	41	29	56	12	45	393	17	74	157	16	22	22	12	10	31	5	7	18	71	9	13	13	5	5	15	19	13	52	960	13	16	14	1772	29	29	35	24	260	13	2660	84	15	21	16	15	20	27	652	75	228	40	30	32	33	56	50	25	41	237	1	2	4	19	317	57	35	24	15	2	0	1	2	3	1	2	37	2	2	2	0	0	4	3	1	5	0	4	1	7	2	2	2	7	1
OTU_21	20	17	12	19	6	79	2	2270	87	22	809	177	42	11	15	8	268	28	442	86	16	25	14	7	8	12	13	9	13	37	342	14	9	28	21	10	28	7	7	8	8	29	4	13	13	37	10	9	1	21	8	5	9	25	25	28	29	18	47	35	25	33	147	11	17	20	371	22	3924	22	42	26	54	47	1037	37	43	29	42	143	62	28	56	91	0	1	3	1	2	2	5	3	2	8	3	6	1	2	1	2	6	2	14	9	6	1	0	0	0	4	29	3	2	5	2	0	4	3	15
OTU_30	3	8	6	6	5	11	10	10	14	5	14	6	6	12	9	7	11	25	23	84	14	14	23	12	3	166	384	5	5	1206	1215	51	8	304	22	15	13	9	1	0	0	13	0	77	2	59	0	0	1	2	1	0	1	11	0	1	2	4	7	1	2	5	2	1	3	1	1	1	2	0	3	1	5	4	1	1	31	54	0	2	3	1	16	2	25	35	35	34	77	86	75	145	107	43	75	25	66	31	23	26	56	26	72	4855	21	14	15	29	270	476	31	103	55	100	118	96	127	110	123
OTU_3459	23	30	16	88	28	36	23	21	13	20	62	59	45	23	12	77	16	61	16	85	17	13	48	178	31	37	35	29	33	66	162	20	71	19	34	57	32	31	29	11	5	3	36	13	7	11	18	6	23	10	53	67	24	14	5	4	7	9	13	24	125	16	11	135	18	92	29	18	108	31	18	41	28	35	46	47	353	492	305	81	26	102	22	234	176	180	175	158	204	230	241	261	179	258	194	216	215	137	173	120	96	122	150	100	192	94	111	1385	123	119	77	73	32	67	384	104	33	73	69
OTU_4175	50	47	51	57	79	109	79	47	60	4593	64	50	62	63	60	62	42	190	106	65	120	95	102	108	58	95	118	79	99	70	65	61	906	100	127	103	148	59	1	4	5	3	5	16	4	6	6	3	4	8	2	1	4	8	1	1	4	4	13	7	4	8	1	7	3	2	4	4	8	2	6	4	5	6	6	6	12	7	6	5	12	6	27	103	1	0	0	0	3	1	0	1	0	1	1	0	2	0	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	4	0	92	1	2	0
OTU_25	8	4	8	3	13	9	6	138	157	5	803	4	10	22	13	5	28	24	1145	116	50	10	480	10	4	7	7	4	4	16	13	11	17	9	6	7	28	5	4	10	8	23	8	11	6	15	10	5	7	19	10	7	53	56	30	26	269	35	42	175	29	16	48	7	83	11	100	17	1318	209	162	60	397	498	674	29	31	20	18	46	63	13	36	30	0	1	0	0	1	2	1	2	0	1	0	0	1	0	0	0	3	0	0	16	0	0	0	0	0	5	0	2	0	0	0	2	1	1	1
OTU_11360	46	34	14	20	53	38	35	14	8	173	53	23	53	23	6	40	9	105	18	16	39	7	29	54	53	76	45	62	86	101	116	60	46	37	37	54	38	60	31	61	0	12	30	27	13	23	18	6	6	23	33	36	63	10	6	7	3	11	15	15	69	23	6	49	19	20	32	16	16	58	16	49	27	23	23	23	109	87	52	26	14	204	49	38	136	87	56	135	101	116	113	136	108	91	82	158	180	130	56	32	27	33	125	159	65	93	90	281	98	46	59	113	84	303	724	85	188	77	152
OTU_39	38	47	19	76	31	50	20	35	36	23	50	20	19	33	44	27	38	90	108	695	42	64	44	37	16	30	33	7	42	26	39	30	20	29	35	50	50	19	8	5	2	12	5	8	8	16	21	6	3	18	3	5	7	20	12	25	15	22	47	28	20	2957	18	7	47	2	12	16	61	16	18	26	33	24	13	21	16	6	13	40	38	12	330	12	0	0	0	0	1	1	4	3	0	55	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	1
OTU_843	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	26	15	21	35	29	28	44	26	46	39	29	38	28	19	16	36	23	23	18	12	10	12	20	24	4226	25	89	35	108	81	131	111	81	108
OTU_200	4	7	7	9	13	5	10	12	2212	122	21	68	11	515	17	92	392	22	42	38	19	24	18	18	6	11	18	6	13	15	16	6	10	13	24	11	16	5	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	3	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	2	0	0	2	0	0	1	0	8	0	1	0	0	0	0	1	0	0	48	1	2	1	2	0	2	3	1
OTU_44	2	0	0	3	2	1	3	2	2	0	214	3	9	6	1	0	59	4	80	560	3	3	1	1	1	2	2	1	1	1	3	2	3	0	2	2	2	0	3	3	3	4	0	7	6	8	6	2	1	8	0	0	3	14	9	12	8	8	8	4	8	7	4	3	8	3	8	3	212	11	36	11	498	345	1381	13	8	10	2	18	16	7	14	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
