	ed1	ed2	comm_sim	dist.eda	Compartment
87	SECCCK2	SEQYCK7	0.418727272727273	2.76374911463304	SE
88	SECCCK2	SEQYCK9	0.595818181818182	3.79937504630957	SE
89	SECCCK2	SEQYNPK1	0.673636363636364	2.45981966192666	SE
90	SECCCK2	SEQYNPK2	0.494227272727273	2.58604627057429	SE
91	SECCCK2	SEQYNPK3	0.0922272727272727	2.56021257021647	SE
92	SECCCK2	SEQYNPK4	0.109818181818182	3.35057460611567	SE
93	SECCCK2	SEQYNPK5	0.766772727272727	3.13040368998356	SE
94	SECCCK2	SEQYNPK6	0.664590909090909	2.88155575308841	SE
95	SECCCK2	SEQYNPK7	0.638818181818182	2.95310026066701	SE
96	SECCCK2	SEQYNPK8	0.767090909090909	2.90374873628542	SE
97	SECCCK2	SEQYNPK9	0.684545454545455	2.73790701861149	SE
98	SECCCK2	SEQYNPKM1	0.642409090909091	5.08932779551433	SE
99	SECCCK2	SEQYNPKM2	0.7715	4.48640777062848	SE
100	SECCCK2	SEQYNPKM3	0.776227272727273	5.81906058424716	SE
101	SECCCK2	SEQYNPKM4	0.524909090909091	5.69743796407455	SE
102	SECCCK2	SEQYNPKM5	0.679545454545455	4.35661578641323	SE
103	SECCCK2	SEQYNPKM6	0.697545454545454	5.23860756929361	SE
104	SECCCK2	SEQYNPKM7	0.734636363636364	4.84684109518482	SE
105	SECCCK2	SEQYNPKM8	0.582954545454546	5.63404831413045	SE
106	SECCCK2	SEQYNPKM9	0.640454545454545	4.89286857693179	SE
107	SECCCK2	SEYCCK1	0.329181818181818	3.24036939556973	SE
108	SECCCK2	SEYCCK2	0.133909090909091	3.32086706182813	SE
109	SECCCK2	SEYCCK3	0.0100454545454546	3.45459124697943	SE
110	SECCCK2	SEYCCK4	0.0161363636363636	3.5060552398758	SE
111	SECCCK2	SEYCCK5	0.112318181818182	3.36984898838148	SE
112	SECCCK2	SEYCCK6	0.0499545454545455	3.32956657534387	SE
113	SECCCK2	SEYCCK7	0.0834545454545454	3.04993136962841	SE
114	SECCCK2	SEYCCK8	0.0741363636363637	3.19016939939734	SE
115	SECCCK2	SEYCCK9	0.0100454545454546	3.43486716684141	SE
116	SECCCK2	SEYCNPK2	0.0112272727272728	3.15563525524185	SE
117	SECCCK2	SEYCNPK3	0.0184545454545455	3.12045745869134	SE
118	SECCCK2	SEYCNPK4	0.214545454545455	3.64479348996687	SE
119	SECCCK2	SEYCNPK5	0.2445	3.2129623064637	SE
120	SECCCK2	SEYCNPK6	0.0355454545454545	3.12693200110067	SE
121	SECCCK2	SEYCNPK7	0.121636363636364	3.15952658080096	SE
122	SECCCK2	SEYCNPK8	0.270318181818182	3.05399857066774	SE
123	SECCCK2	SEYCNPK9	0.634227272727273	3.10760654391193	SE
124	SECCCK2	SEYCNPKM1	0.527	2.83168981084294	SE
125	SECCCK2	SEYCNPKM2	0.735045454545455	3.01253935716166	SE
126	SECCCK2	SEYCNPKM3	0.103772727272727	3.25625100254816	SE
127	SECCCK2	SEYCNPKM4	0.7885	2.72545179028513	SE
128	SECCCK2	SEYCNPKM5	0.789727272727273	2.7589297947611	SE
129	SECCCK2	SEYCNPKM6	0.561409090909091	3.25510559940747	SE
130	SECCCK2	SEYCNPKM7	0.275045454545455	4.23093025571216	SE
131	SECCCK2	SEYCNPKM8	0.590545454545454	3.57156081417267	SE
132	SECCCK2	SEYCNPKM9	0.453772727272727	2.72454514666069	SE
133	SECCCK2	SEYYCK1	0.787545454545455	3.06675949827167	SE
134	SECCCK2	SEYYCK2	0.640909090909091	3.2376890545616	SE
135	SECCCK2	SEYYCK3	0.660181818181818	3.29931363111737	SE
136	SECCCK2	SEYYCK4	0.0694090909090909	3.61991271202276	SE
137	SECCCK2	SEYYCK5	0.679	3.47503358322807	SE
138	SECCCK2	SEYYCK6	0.753	3.31903642545872	SE
139	SECCCK2	SEYYCK7	0.441545454545455	3.06323975017609	SE
140	SECCCK2	SEYYCK8	0.610454545454545	3.28568201631917	SE
141	SECCCK2	SEYYCK9	0.0357727272727273	3.53041167389894	SE
142	SECCCK2	SEYYNPK1	0.721136363636364	3.44919614229561	SE
143	SECCCK2	SEYYNPK2	0.763	4.6088127503916	SE
144	SECCCK2	SEYYNPK3	0.788681818181818	3.43741609201863	SE
145	SECCCK2	SEYYNPK4	0.787909090909091	3.76289295526322	SE
146	SECCCK2	SEYYNPK5	0.620363636363636	4.34133691517131	SE
147	SECCCK2	SEYYNPK6	0.814409090909091	4.89233708085617	SE
148	SECCCK2	SEYYNPK7	0.788545454545455	4.14468752499592	SE
149	SECCCK2	SEYYNPK8	0.736454545454545	3.95717805744604	SE
150	SECCCK2	SEYYNPK9	0.781136363636364	3.87888724569186	SE
151	SECCCK2	SEYYNPKM1	0.339909090909091	3.40673884671261	SE
152	SECCCK2	SEYYNPKM2	0.544863636363636	3.34286059254884	SE
153	SECCCK2	SEYYNPKM3	0.382545454545455	3.40973875386388	SE
154	SECCCK2	SEYYNPKM4	0.781045454545455	3.37468516497138	SE
155	SECCCK2	SEYYNPKM5	0.734272727272727	4.03417990228064	SE
156	SECCCK2	SEYYNPKM6	0.0465909090909091	3.61553306129515	SE
157	SECCCK2	SEYYNPKM7	0.769227272727273	3.43770417995671	SE
