Sample	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	robbins	simpson	shannon_e	shannon_2	shannon_10
BQYNPKM5	0.0221	0.0244	2087	0.996	0.822	326.3	536	22000	2083	0.408	0.0043	6.28	9.07	2.73
BQYNPKM6	0.0175	0.0261	2101.1	0.996	0.831	355.1	574.8	22000	2098	0.386	0.00392	6.35	9.17	2.76
BQYNPKM7	0.0238	0.0266	2202.8	0.996	0.828	343	584.4	22000	2200	0.382	0.00426	6.37	9.19	2.77
BQYNPKM8	0.0195	0.0297	2350.7	0.996	0.835	386.5	653.4	22000	2347	0.402	0.0038	6.48	9.35	2.82
BQYNPKM9	0.0201	0.0257	2183.3	0.996	0.825	334.6	566.3	22000	2180	0.394	0.00431	6.34	9.15	2.75
BYCCK1	0.0265	0.0322	2609.2	0.996	0.834	380.6	708	22000	2606	0.397	0.00419	6.56	9.47	2.85
BYCCK2	0.0245	0.0346	2685.8	0.996	0.84	417.9	760.6	22000	2683	0.39	0.00376	6.63	9.57	2.88
BYCCK3	0.026	0.0338	2619.1	0.996	0.84	406	744	22000	2616	0.379	0.0039	6.61	9.54	2.87
BYCCK4	0.0323	0.0355	2676.2	0.996	0.844	420	780.6	22000	2673	0.382	0.00394	6.66	9.61	2.89
BYCCK5	0.0318	0.0325	2668.8	0.996	0.833	372.8	714.4	22000	2666	0.399	0.00444	6.57	9.48	2.85
BYCCK6	0.0289	0.0345	2719.7	0.996	0.839	401.5	759.6	22000	2717	0.388	0.00409	6.63	9.57	2.88
BYCCK7	0.0224	0.0337	2716.5	0.996	0.836	390.3	741.8	22000	2714	0.382	0.00413	6.61	9.53	2.87
BYCCK8	0.029	0.0312	2574	0.995	0.832	357.3	686.6	22000	2571	0.379	0.00457	6.53	9.42	2.84
BYCCK9	0.0264	0.0313	2645.2	0.995	0.829	357.2	689.2	22000	2642	0.401	0.00454	6.54	9.43	2.84
BYCNPK1	0.028	0.0346	2741.7	0.996	0.838	406.4	761.6	22000	2739	0.391	0.00398	6.64	9.57	2.88
BYCNPK2	0.032	0.0311	2634.8	0.995	0.829	346.8	684.4	22000	2632	0.391	0.00484	6.53	9.42	2.84
BYCNPK3	0.0281	0.0347	2720.8	0.996	0.84	410	764	22000	2718	0.386	0.00393	6.64	9.58	2.88
BYCNPK4	0.0362	0.0325	2601.5	0.995	0.836	371.4	714.3	22000	2598	0.393	0.00456	6.57	9.48	2.85
BYCNPK5	0.0377	0.0312	2506.1	0.995	0.835	359.3	685.8	22000	2503	0.384	0.0047	6.53	9.42	2.84
BYCNPK6	0.0222	0.0338	2582.9	0.996	0.842	420.5	743.3	22000	2580	0.386	0.00366	6.61	9.54	2.87
BYCNPK7	0.037	0.0311	2534.5	0.995	0.833	358.6	683.9	22000	2531	0.398	0.00468	6.53	9.42	2.83
BYCNPK8	0.03	0.0317	2537.2	0.996	0.835	375.6	697	22000	2534	0.391	0.00431	6.55	9.45	2.84
BYCNPK9	0.0326	0.0345	2722	0.996	0.839	398.4	758.5	22000	2719	0.389	0.00416	6.63	9.57	2.88
BYCNPKM1	0.0329	0.0357	2788.7	0.996	0.84	402.1	784.9	22000	2786	0.379	0.00423	6.67	9.62	2.89
BYCNPKM2	0.0288	0.0366	2866.2	0.996	0.841	420.2	806.3	22000	2863	0.399	0.00394	6.69	9.66	2.91
BYCNPKM3	0.0262	0.0341	2709.7	0.996	0.838	399.7	750.6	22000	2707	0.386	0.004	6.62	9.55	2.88
BYCNPKM4	0.0243	0.0305	2625.1	0.995	0.827	350.2	671.8	22000	2622	0.401	0.00457	6.51	9.39	2.83
BYCNPKM5	0.0235	0.0314	2612	0.996	0.831	361.8	691.7	22000	2609	0.389	0.00444	6.54	9.43	2.84
BYCNPKM6	0.0275	0.0292	2570.4	0.995	0.824	330.7	643.4	22000	2567	0.404	0.0049	6.47	9.33	2.81
BYCNPKM7	0.0227	0.0333	2658.9	0.996	0.837	402.6	732.5	22000	2656	0.391	0.00384	6.6	9.52	2.86
BYCNPKM8	0.0282	0.0305	2630.1	0.996	0.827	356.7	670.5	22000	2627	0.411	0.00441	6.51	9.39	2.83
BYCNPKM9	0.023	0.0308	2643.9	0.996	0.827	355.1	678	22000	2641	0.393	0.00445	6.52	9.41	2.83
BYYCK1	0.0285	0.0336	2737.3	0.996	0.835	385.6	739.7	22000	2734	0.397	0.00426	6.61	9.53	2.87
BYYCK2	0.0265	0.0334	2681.8	0.996	0.836	391.3	734.2	22000	2679	0.385	0.00407	6.6	9.52	2.87
BYYCK3	0.0341	0.0297	2505.7	0.995	0.828	344.2	652.9	22000	2503	0.382	0.00468	6.48	9.35	2.81
BYYCK4	0.0383	0.03	2570.6	0.995	0.827	339	659.6	22000	2568	0.391	0.00491	6.49	9.37	2.82
BYYCK5	0.0327	0.0339	2746.2	0.996	0.836	392.8	746	22000	2743	0.401	0.00417	6.61	9.54	2.87
BYYCK6	0.0302	0.0338	2739.6	0.996	0.835	389.4	743.7	22000	2737	0.389	0.00422	6.61	9.54	2.87
BYYCK7	0.0272	0.0372	2881.5	0.996	0.842	425.5	818.3	22000	2879	0.385	0.00393	6.71	9.68	2.91
BYYCK8	0.033	0.0335	2707.7	0.996	0.835	378.6	736.2	22000	2705	0.38	0.00442	6.6	9.52	2.87
BYYCK9	0.0309	0.0323	2733	0.995	0.83	363.7	709.7	22000	2730	0.406	0.00452	6.56	9.47	2.85
BYYNPK1	0.0237	0.0368	2814.8	0.996	0.843	430.8	808.5	22000	2812	0.39	0.00374	6.7	9.66	2.91
BYYNPK2	0.0205	0.033	2567	0.996	0.839	411.8	726.4	22000	2564	0.389	0.00369	6.59	9.5	2.86
BYYNPK3	0.0202	0.0306	2455.1	0.996	0.834	375.8	672.5	22000	2452	0.384	0.00405	6.51	9.39	2.83
BYYNPK4	0.0183	0.0335	2575.9	0.996	0.841	417.3	736.7	22000	2573	0.391	0.00364	6.6	9.52	2.87
BYYNPK5	0.0253	0.0305	2476.6	0.996	0.833	367.5	672	22000	2473	0.39	0.00426	6.51	9.39	2.83
BYYNPK6	0.023	0.0337	2654.9	0.996	0.839	399	742.5	22000	2652	0.387	0.00401	6.61	9.54	2.87
BYYNPK7	0.0291	0.0349	2709	0.996	0.841	412.3	768.9	22000	2706	0.387	0.00393	6.64	9.59	2.89
BYYNPK8	0.0187	0.0357	2745.9	0.997	0.842	439	785.8	22000	2743	0.396	0.00349	6.67	9.62	2.9
BYYNPK9	0.0247	0.0327	2602.4	0.996	0.837	393.1	719.7	22000	2600	0.379	0.00399	6.58	9.49	2.86
BYYNPKM1	0.0274	0.0347	2835.2	0.996	0.835	391.5	763.3	22000	2832	0.402	0.00421	6.64	9.58	2.88
BYYNPKM2	0.0242	0.0331	2753.4	0.996	0.832	378.1	727.3	22000	2750	0.401	0.00425	6.59	9.51	2.86
BYYNPKM3	0.0245	0.0319	2719	0.996	0.829	359.9	700.9	22000	2716	0.404	0.00449	6.55	9.45	2.85
BYYNPKM4	0.0253	0.0313	2630.5	0.995	0.83	357.2	689.6	22000	2628	0.385	0.00454	6.54	9.43	2.84
BYYNPKM5	0.0269	0.0316	2569.8	0.996	0.834	371	694.7	22000	2567	0.371	0.00426	6.54	9.44	2.84
BYYNPKM6	0.0272	0.0325	2692.7	0.996	0.832	367.3	715.1	22000	2690	0.394	0.00448	6.57	9.48	2.85
BYYNPKM7	0.0293	0.0307	2585.6	0.995	0.829	352.1	674.8	22000	2583	0.382	0.00457	6.51	9.4	2.83
BYYNPKM8	0.0287	0.0283	2535.5	0.995	0.821	322	622.8	22000	2532	0.413	0.00495	6.43	9.28	2.79
BYYNPKM9	0.0283	0.032	2603	0.996	0.834	369.1	703.1	22000	2600	0.383	0.00437	6.56	9.46	2.85
BCCCK1	0.032	0.0285	2389.1	0.995	0.828	339.2	627.6	22000	2386	0.393	0.00474	6.44	9.29	2.8
BCCCK2	0.0336	0.0293	2474	0.995	0.828	339.6	645.4	22000	2471	0.392	0.00484	6.47	9.33	2.81
BCCCK3	0.031	0.032	2612.2	0.996	0.834	376.3	704.7	22000	2609	0.398	0.0043	6.56	9.46	2.85
BCCNPK1	0.0193	0.0377	2658.7	0.997	0.852	488.5	828.6	22000	2655	0.385	0.00309	6.72	9.69	2.92
BCCNPK2	0.022	0.0382	2677.6	0.997	0.853	493.1	839.4	22000	2675	0.376	0.00309	6.73	9.71	2.92
BCCNPK3	0.0244	0.0325	2474.8	0.996	0.841	411.3	715	22000	2472	0.382	0.00372	6.57	9.48	2.85
BCCNPKM1	0.0241	0.0302	2342.5	0.996	0.838	380.5	665.3	22000	2340	0.364	0.00399	6.5	9.38	2.82
BCCNPKM2	0.0213	0.0315	2522	0.996	0.835	387.4	692.4	22000	2519	0.381	0.00392	6.54	9.44	2.84
BCCNPKM3	0.0236	0.0323	2470.2	0.996	0.841	407.7	710	22000	2467	0.387	0.00374	6.57	9.47	2.85
RQYCK1	0.0364	0.0172	1724.4	0.993	0.796	210.2	377.8	22000	1721	0.382	0.00716	5.93	8.56	2.58
RQYCK2	0.0314	0.0185	1738.5	0.994	0.805	235	405.9	22000	1736	0.366	0.00622	6.01	8.67	2.61
RQYCK3	0.0283	0.0214	1975.2	0.995	0.811	269.8	470.7	22000	1972	0.389	0.0054	6.15	8.88	2.67
RQYCK4	0.0399	0.0205	1887.2	0.994	0.81	261.3	450.8	22000	1883	0.402	0.0057	6.11	8.82	2.65
RQYCK5	0.0508	0.0177	1833.6	0.992	0.794	207.9	390	22000	1830	0.398	0.00758	5.97	8.61	2.59
RQYCK6	0.0333	0.0202	1929.5	0.994	0.806	256.1	444.4	22000	1926	0.402	0.00568	6.1	8.8	2.65
RQYCK7	0.0352	0.0196	1912	0.994	0.803	244.1	431.3	22000	1909	0.397	0.00606	6.07	8.75	2.63
RQYCK8	0.0236	0.0222	1882.5	0.995	0.821	296.4	487.5	22000	1879	0.378	0.00476	6.19	8.93	2.69
RQYCK9	0.035	0.0206	1847.2	0.995	0.813	270.5	452.7	22000	1844	0.38	0.00531	6.12	8.82	2.66
RQYNPK1	0.0381	0.0166	1909.1	0.992	0.781	185.6	364.6	22000	1906	0.41	0.00846	5.9	8.51	2.56
RQYNPK2	0.0532	0.0133	1734.5	0.989	0.762	147.2	293.2	22000	1731	0.427	0.0107	5.68	8.2	2.47
RQYNPK3	0.0385	0.0161	1741.4	0.992	0.786	193.5	353.2	22000	1738	0.391	0.00775	5.87	8.46	2.55
RQYNPK4	0.0418	0.012	1563.3	0.989	0.758	138.7	264	22000	1560	0.406	0.0109	5.58	8.04	2.42
RQYNPK5	0.0488	0.0111	1612.9	0.987	0.745	119.3	244.5	22000	1610	0.408	0.013	5.5	7.93	2.39
RQYNPK6	0.0415	0.0141	1720.3	0.99	0.77	160.1	309.4	22000	1717	0.406	0.00957	5.73	8.27	2.49
RQYNPK7	0.0577	0.0124	1579.1	0.989	0.762	142.9	272.3	22000	1575	0.425	0.0108	5.61	8.09	2.44
RQYNPK8	0.0518	0.0133	1571.6	0.99	0.772	154.9	293.5	22000	1568	0.403	0.01	5.68	8.2	2.47
RQYNPK9	0.0506	0.011	1490.2	0.988	0.751	128.4	241.1	22000	1486	0.429	0.0116	5.49	7.91	2.38
RQYNPKM1	0.0726	0.0162	2033.7	0.987	0.771	143	355.9	22000	2031	0.397	0.0133	5.87	8.48	2.55
RQYNPKM2	0.0401	0.0242	2172.9	0.994	0.817	279.5	532.7	22000	2169	0.386	0.00586	6.28	9.06	2.73
RQYNPKM3	0.039	0.0223	2175.1	0.993	0.806	248.3	490.9	22000	2172	0.387	0.00657	6.2	8.94	2.69
RQYNPKM4	0.0509	0.0232	2145.5	0.994	0.813	265.7	510.6	22000	2143	0.38	0.00634	6.24	9	2.71
RQYNPKM5	0.0637	0.0216	2217	0.992	0.8	220.3	474.4	22000	2214	0.397	0.00831	6.16	8.89	2.68
RQYNPKM6	0.0663	0.02	2128.8	0.991	0.795	202.5	441	22000	2126	0.387	0.00901	6.09	8.78	2.64
RQYNPKM7	0.0187	0.029	2319.9	0.996	0.833	378.2	637.7	22000	2317	0.387	0.00381	6.46	9.32	2.8
RQYNPKM8	0.0205	0.0258	2200.6	0.995	0.824	323.3	567.9	22000	2197	0.382	0.00457	6.34	9.15	2.75
RQYNPKM9	0.0309	0.0236	2295	0.994	0.808	261.9	518.7	22000	2292	0.389	0.00613	6.25	9.02	2.71
RYCCK1	0.0254	0.0321	2623.9	0.996	0.833	380.8	706.4	22000	2621	0.398	0.00417	6.56	9.46	2.85
RYCCK2	0.135	0.0173	2336.5	0.978	0.766	112.9	380.5	22000	2334	0.403	0.0218	5.94	8.57	2.58
RYCCK3	0.0901	0.0203	2453.6	0.987	0.782	159.6	446.9	22000	2451	0.399	0.0134	6.1	8.8	2.65
RYCCK4	0.0989	0.015	1884.7	0.985	0.769	131.3	329.1	22000	1881	0.4	0.0152	5.8	8.36	2.52
RYCCK5	0.0465	0.0197	2012.8	0.992	0.799	215.3	434.2	22000	2010	0.38	0.0078	6.07	8.76	2.64
RYCCK6	0.0592	0.0206	2034	0.992	0.803	217.8	452.7	22000	2031	0.374	0.00815	6.12	8.82	2.66
RYCCK7	0.0422	0.0195	1948.7	0.993	0.801	219.5	429.9	22000	1946	0.374	0.00738	6.06	8.75	2.63
RYCCK8	0.11	0.0145	1818.3	0.983	0.769	121.6	319.6	22000	1815	0.382	0.0173	5.77	8.32	2.5
RYCCK9	0.203	0.0102	1843.6	0.955	0.719	54.4	223.3	22000	1840	0.399	0.0449	5.41	7.8	2.35
RYCNPK1	0.348	0.00477	1718.9	0.876	0.625	17.6	105	22000	1716	0.399	0.124	4.65	6.71	2.02
RYCNPK2	0.232	0.00706	1795.4	0.939	0.673	35.8	155.2	22000	1792	0.4	0.0615	5.04	7.28	2.19
RYCNPK3	0.214	0.00684	1770	0.943	0.671	37.1	150.5	22000	1766	0.431	0.0566	5.01	7.23	2.18
RYCNPK4	0.409	0.00298	1575.7	0.83	0.568	11.5	65.6	22000	1572	0.414	0.17	4.18	6.04	1.82
RYCNPK5	0.315	0.00532	1714.5	0.897	0.64	21.3	117	22000	1711	0.401	0.103	4.76	6.87	2.07
RYCNPK6	0.112	0.0119	1866.5	0.978	0.74	89.7	262.8	22000	1863	0.401	0.0225	5.57	8.04	2.42
RYCNPK7	0.0815	0.0167	2005.3	0.987	0.777	148.6	367.3	22000	2002	0.392	0.0131	5.91	8.52	2.57
RYCNPK8	0.0247	0.0258	2141.4	0.995	0.827	321.1	568.5	22000	2139	0.358	0.0047	6.34	9.15	2.75
RYCNPK9	0.184	0.0101	1893.1	0.96	0.716	57.3	222.6	22000	1890	0.39	0.0401	5.41	7.8	2.35
RYCNPKM1	0.154	0.0122	1976.4	0.971	0.737	78	268.7	22000	1973	0.394	0.0294	5.59	8.07	2.43
RYCNPKM2	0.21	0.0104	1954.8	0.952	0.717	51.6	228.9	22000	1951	0.393	0.048	5.43	7.84	2.36
RYCNPKM3	0.0181	0.0283	2272.7	0.996	0.832	368	621.9	22000	2270	0.373	0.00388	6.43	9.28	2.79
RYCNPKM4	0.251	0.00782	1824.8	0.933	0.686	35.7	172.1	22000	1822	0.403	0.0668	5.15	7.43	2.24
RYCNPKM5	0.0824	0.0148	1874.6	0.987	0.768	138	324.9	22000	1872	0.379	0.0133	5.78	8.34	2.51
RYCNPKM6	0.149	0.0138	2018.2	0.974	0.752	90.1	304.3	22000	2015	0.394	0.0265	5.72	8.25	2.48
RYCNPKM7	0.025	0.026	2213.1	0.995	0.824	324.2	571.2	22000	2210	0.377	0.00459	6.35	9.16	2.76
RYCNPKM8	0.185	0.00815	1711	0.954	0.697	46.9	179.3	22000	1708	0.386	0.0458	5.19	7.49	2.25
RYCNPKM9	0.109	0.0157	1921.7	0.984	0.773	132.2	345.7	22000	1919	0.381	0.0162	5.85	8.43	2.54
RYYCK2	0.171	0.00732	1742.3	0.961	0.681	49.8	161	22000	1739	0.416	0.0393	5.08	7.33	2.21
RYYCK3	0.0542	0.0148	1904	0.989	0.766	148	325.2	22000	1901	0.39	0.0113	5.78	8.35	2.51
RYYCK4	0.0975	0.00607	1521.5	0.97	0.668	53.2	133.6	22000	1518	0.436	0.0297	4.89	7.06	2.13
RYYCK5	0.226	0.00472	1549.5	0.936	0.632	29.8	103.8	22000	1546	0.429	0.0637	4.64	6.7	2.02
RYYCK6	0.292	0.00346	1456.3	0.901	0.595	18.9	76	22000	1453	0.416	0.0991	4.33	6.25	1.88
RYYCK7	0.0956	0.00663	1589.6	0.972	0.676	57.4	145.8	22000	1586	0.422	0.0277	4.98	7.19	2.16
RYYCK8	0.112	0.00751	1620.4	0.972	0.691	61.4	165.3	22000	1617	0.412	0.0279	5.11	7.37	2.22
RYYCK9	0.221	0.00505	1430.2	0.94	0.648	32.7	111	22000	1427	0.404	0.0596	4.71	6.79	2.05
RYYNPK1	0.0664	0.00997	1619.6	0.982	0.73	93.2	219.4	22000	1617	0.386	0.0177	5.39	7.78	2.34
RYYNPK2	0.137	0.00729	1515	0.969	0.694	57.6	160.4	22000	1511	0.4	0.0314	5.08	7.33	2.21
RYYNPK3	0.197	0.00608	1478.6	0.951	0.671	40.6	133.8	22000	1475	0.409	0.0488	4.9	7.06	2.13
RYYNPK4	0.0511	0.0116	1696.3	0.986	0.745	115.5	254.3	22000	1693	0.394	0.0139	5.54	7.99	2.41
RYYNPK5	0.131	0.00693	1473.7	0.971	0.689	59.5	152.4	22000	1470	0.414	0.0291	5.03	7.25	2.18
RYYNPK6	0.0666	0.0117	1687.3	0.985	0.747	111.7	257.4	22000	1684	0.388	0.0151	5.55	8.01	2.41
RYYNPK7	0.0723	0.0117	1671.7	0.985	0.748	113	256.4	22000	1668	0.398	0.015	5.55	8	2.41
RYYNPK8	0.119	0.00788	1502.1	0.974	0.705	68.8	173.4	22000	1498	0.419	0.0255	5.16	7.44	2.24
RYYNPK9	0.146	0.0108	1773.1	0.972	0.731	77.1	237	22000	1770	0.391	0.0279	5.47	7.89	2.37
RYYNPKM1	0.204	0.0057	1459.4	0.948	0.663	38.3	125.4	22000	1456	0.406	0.0516	4.83	6.97	2.1
RYYNPKM2	0.298	0.00459	1567.1	0.906	0.628	22.2	101	22000	1564	0.408	0.0944	4.62	6.66	2
RYYNPKM3	0.169	0.0106	1812	0.967	0.727	68.1	233.2	22000	1809	0.38	0.0335	5.45	7.87	2.37
RYYNPKM4	0.115	0.0121	1762	0.98	0.747	98	265.8	22000	1759	0.38	0.0204	5.58	8.05	2.42
RYYNPKM5	0.197	0.0087	1807.2	0.955	0.701	50.1	191.4	22000	1804	0.397	0.0447	5.25	7.58	2.28
RYYNPKM6	0.233	0.00715	1670	0.941	0.682	38.1	157.2	22000	1667	0.402	0.0595	5.06	7.3	2.2
RYYNPKM7	0.173	0.00732	1476.3	0.962	0.697	53.5	161.1	22000	1473	0.395	0.0377	5.08	7.33	2.21
RYYNPKM8	0.113	0.00739	1655.3	0.967	0.687	54.7	162.5	22000	1652	0.407	0.0328	5.09	7.34	2.21
RYYNPKM9	0.12	0.00909	1699.6	0.974	0.713	71.4	200	22000	1696	0.403	0.026	5.3	7.64	2.3
RCCSCK1	0.11	0.0111	1878.1	0.975	0.73	79.1	244.7	22000	1874	0.408	0.0251	5.5	7.93	2.39
RCCSCK2	0.0439	0.0193	2055.6	0.992	0.793	202.5	423.9	22000	2052	0.4	0.00832	6.05	8.73	2.63
RCCSCK3	0.045	0.0199	2138	0.991	0.794	195.9	438.8	22000	2134	0.399	0.00909	6.08	8.78	2.64
RCCSNPK1	0.0511	0.0224	2141.9	0.993	0.809	236.7	493.9	22000	2139	0.376	0.00744	6.2	8.95	2.69
RCCSNPK2	0.0435	0.0166	1960.1	0.991	0.779	174.5	366	22000	1957	0.405	0.00937	5.9	8.52	2.56
RCCSNPK3	0.0373	0.02	1982.3	0.993	0.802	226.6	440	22000	1979	0.375	0.00704	6.09	8.78	2.64
RCCSNPKM1	0.043	0.0249	2208	0.994	0.819	285.2	548.7	22000	2205	0.369	0.00581	6.31	9.1	2.74
RCCSNPKM2	0.0352	0.0224	2185.8	0.994	0.806	254.2	492.4	22000	2183	0.383	0.00624	6.2	8.94	2.69
RCCSNPKM3	0.0326	0.0237	2175.6	0.994	0.814	275	521	22000	2173	0.372	0.00574	6.26	9.03	2.72
RCCLCK1	0.0744	0.0176	2076	0.989	0.781	170	387.9	22000	2073	0.395	0.0108	5.96	8.6	2.59
RCCLCK2	0.183	0.0125	2097.8	0.963	0.735	67.4	275.7	22000	2095	0.395	0.0373	5.62	8.11	2.44
RCCLCK3	0.35	0.00483	1891.2	0.875	0.619	17.3	106.3	22000	1888	0.425	0.125	4.67	6.73	2.03
RCCLNPK1	0.0688	0.0211	2173.6	0.991	0.799	204.2	463.9	22000	2171	0.371	0.0094	6.14	8.86	2.67
RCCLNPK2	0.189	0.0106	1933.6	0.96	0.72	59.3	232.8	22000	1931	0.399	0.0403	5.45	7.86	2.37
RCCLNPK3	0.137	0.00833	1902.4	0.961	0.69	51.5	183.3	22000	1899	0.421	0.039	5.21	7.52	2.26
RCCLNPKM1	0.049	0.0192	1973.7	0.992	0.797	204.2	421.4	22000	1971	0.367	0.0083	6.04	8.72	2.62
RCCLNPKM2	0.0293	0.019	2008.7	0.993	0.794	212.3	418.5	22000	2006	0.382	0.00739	6.04	8.71	2.62
RCCLNPKM3	0.0496	0.0253	2204.8	0.994	0.821	285.3	556.4	22000	2202	0.372	0.00605	6.32	9.12	2.75
REQYCK1	0.0665	0.0061	1200.1	0.979	0.691	68.5	134.3	22000	1197	0.399	0.0208	4.9	7.07	2.13
REQYCK2	0.0698	0.00944	1464.7	0.985	0.732	102.8	207.7	22000	1461	0.408	0.0149	5.34	7.7	2.32
REQYCK3	0.043	0.00871	1313.8	0.987	0.732	104.6	191.7	22000	1310	0.387	0.0133	5.26	7.58	2.28
REQYCK4	0.197	0.00465	1204.2	0.952	0.653	38.2	102.4	22000	1201	0.415	0.0484	4.63	6.68	2.01
REQYCK5	0.171	0.00194	860.2	0.928	0.556	19.7	42.7	22000	855	0.473	0.0724	3.76	5.42	1.63
REQYCK6	0.159	0.00339	1002.9	0.953	0.624	33.1	74.5	22000	1000	0.417	0.0466	4.31	6.22	1.87
REQYCK7	0.164	0.00353	1022.2	0.957	0.629	35.9	77.7	22000	1016	0.454	0.0433	4.35	6.28	1.89
REQYCK8	0.068	0.00665	1183.2	0.981	0.705	76	146.3	22000	1180	0.41	0.0192	4.99	7.19	2.17
REQYCK9	0.119	0.00556	1163.6	0.973	0.681	59.2	122.3	22000	1160	0.425	0.0265	4.81	6.93	2.09
REQYNPK1	0.12	0.00249	774.8	0.953	0.603	29.2	54.9	22000	769	0.468	0.0472	4.01	5.78	1.74
REQYNPK2	0.155	0.0027	876.6	0.948	0.603	28.3	59.3	22000	871	0.471	0.0517	4.08	5.89	1.77
REQYNPK3	0.131	0.00342	884.8	0.961	0.637	37.6	75.3	22000	881	0.414	0.0388	4.32	6.23	1.88
REQYNPK4	0.159	0.00183	725	0.929	0.562	19.7	40.2	22000	717	0.478	0.0715	3.69	5.33	1.6
REQYNPK5	0.156	0.00198	606.5	0.937	0.59	22.7	43.5	22000	600	0.473	0.0626	3.77	5.44	1.64
REQYNPK6	0.143	0.00186	661.2	0.937	0.572	21.8	41	22000	655	0.5	0.0628	3.71	5.36	1.61
REQYNPK7	0.12	0.00265	698.2	0.958	0.622	32.6	58.3	22000	692	0.472	0.0422	4.07	5.87	1.77
REQYNPK8	0.417	0.00101	603.8	0.811	0.485	8.35	22.2	22000	599	0.475	0.189	3.1	4.47	1.35
REQYNPK9	0.303	0.000998	587.2	0.864	0.485	10.3	21.9	22000	581	0.495	0.136	3.09	4.46	1.34
REQYNPKM1	0.241	0.00105	610.3	0.892	0.49	12.1	23	22000	604	0.488	0.108	3.14	4.52	1.36
REQYNPKM2	0.154	0.00174	678.4	0.934	0.56	20.3	38.3	22000	672	0.48	0.0663	3.65	5.26	1.58
REQYNPKM3	0.127	0.00357	1147.8	0.951	0.62	31.5	78.6	22000	1145	0.411	0.0494	4.36	6.3	1.9
REQYNPKM4	0.248	0.00241	1068	0.92	0.569	20.2	52.9	22000	1064	0.465	0.0801	3.97	5.73	1.72
REQYNPKM5	0.487	0.000754	753.2	0.75	0.424	6.04	16.6	22000	749	0.485	0.25	2.81	4.05	1.22
REQYNPKM6	0.24	0.00271	1099.3	0.923	0.584	21.6	59.7	22000	1096	0.433	0.0769	4.09	5.9	1.78
REQYNPKM7	0.124	0.00244	875.8	0.95	0.588	27.1	53.6	22000	872	0.446	0.0501	3.98	5.74	1.73
REQYNPKM8	0.187	0.00268	1132.9	0.926	0.58	21.6	59	22000	1129	0.45	0.0735	4.08	5.88	1.77
REQYNPKM9	0.162	0.00338	1164.9	0.947	0.61	29.4	74.3	22000	1161	0.434	0.0533	4.31	6.22	1.87
REYCCK1	0.109	0.00845	1557.3	0.977	0.711	74.4	185.9	22000	1554	0.411	0.0234	5.23	7.54	2.27
REYCCK2	0.0655	0.00821	1536.3	0.982	0.708	82.7	180.5	22000	1534	0.399	0.0183	5.2	7.5	2.26
REYCCK3	0.097	0.00583	1207	0.977	0.684	64.1	128.3	22000	1203	0.442	0.0232	4.85	7	2.11
REYCCK4	0.0897	0.00549	1385.3	0.97	0.663	51.3	120.8	22000	1380	0.453	0.0304	4.79	6.92	2.08
REYCCK5	0.111	0.00456	1215.7	0.965	0.649	44	100.4	22000	1212	0.442	0.0349	4.61	6.65	2
REYCCK6	0.247	0.00273	1137.4	0.918	0.583	20.6	60.1	22000	1132	0.457	0.0821	4.1	5.91	1.78
REYCCK7	0.113	0.00463	1150.9	0.962	0.657	42.6	101.9	22000	1145	0.443	0.0378	4.62	6.67	2.01
REYCCK8	0.137	0.00429	1192.8	0.956	0.642	37.5	94.5	22000	1188	0.452	0.0435	4.55	6.56	1.98
REYCCK9	0.399	0.00167	1052.9	0.832	0.518	10.3	36.7	22000	1048	0.472	0.168	3.6	5.2	1.56
REYCNPK1	0.156	0.00354	959.7	0.958	0.635	36.8	78	22000	955	0.456	0.0419	4.36	6.28	1.89
REYCNPK2	0.297	0.00147	846.1	0.881	0.516	12.8	32.3	22000	838	0.514	0.119	3.47	5.01	1.51
REYCNPK3	0.312	0.00175	996.1	0.876	0.529	13	38.6	22000	992	0.458	0.124	3.65	5.27	1.59
REYCNPK4	0.108	0.00352	1039.7	0.961	0.627	36.7	77.5	22000	1035	0.454	0.0393	4.35	6.28	1.89
REYCNPK5	0.056	0.00679	1217.4	0.982	0.705	78.2	149.3	22000	1214	0.408	0.0181	5.01	7.22	2.17
REYCNPK6	0.143	0.00351	1078.4	0.953	0.623	33.1	77.3	22000	1075	0.437	0.0471	4.35	6.27	1.89
REYCNPK7	0.0886	0.00748	1212.3	0.981	0.719	81.5	164.7	22000	1208	0.394	0.019	5.1	7.36	2.22
REYCNPK8	0.108	0.00619	1145.3	0.976	0.698	65	136.1	22000	1142	0.403	0.0243	4.91	7.09	2.13
REYCNPK9	0.134	0.00574	1038.2	0.972	0.697	59.8	126.4	22000	1034	0.402	0.028	4.84	6.98	2.1
REYCNPKM1	0.327	0.000869	660.6	0.828	0.455	8.05	19.1	22000	657	0.433	0.172	2.95	4.26	1.28
REYCNPKM2	0.103	0.00318	788.5	0.963	0.638	37.6	70	22000	781	0.446	0.0371	4.25	6.13	1.85
REYCNPKM3	0.108	0.00476	1021.6	0.971	0.671	52	104.6	22000	1018	0.415	0.0286	4.65	6.71	2.02
REYCNPKM4	0.414	0.000464	551.7	0.731	0.369	4.75	10.2	22000	546	0.477	0.269	2.32	3.35	1.01
REYCNPKM5	0.366	0.000852	517.6	0.836	0.47	8.73	18.7	22000	512	0.456	0.164	2.93	4.23	1.27
