	SEQYCK1	SEQYCK2	SEQYCK3	SEQYCK4	SEQYCK5	SEQYCK6	SEQYCK7	SEQYCK9	SEQYNPK1	SEQYNPK2	SEQYNPK3	SEQYNPK4	SEQYNPK5	SEQYNPK6	SEQYNPK7	SEQYNPK8	SEQYNPK9	SEQYNPKM1	SEQYNPKM2	SEQYNPKM3	SEQYNPKM4	SEQYNPKM5	SEQYNPKM6	SEQYNPKM7	SEQYNPKM8	SEQYNPKM9	SEYCCK1	SEYCCK2	SEYCCK3	SEYCCK4	SEYCCK5	SEYCCK6	SEYCCK7	SEYCCK8	SEYCCK9	SEYCNPK2	SEYCNPK3	SEYCNPK4	SEYCNPK5	SEYCNPK6	SEYCNPK7	SEYCNPK8	SEYCNPK9	SEYCNPKM1	SEYCNPKM2	SEYCNPKM3	SEYCNPKM4	SEYCNPKM5	SEYCNPKM6	SEYCNPKM7	SEYCNPKM8	SEYCNPKM9	SEYYCK1	SEYYCK2	SEYYCK3	SEYYCK4	SEYYCK5	SEYYCK6	SEYYCK7	SEYYCK8	SEYYCK9	SEYYNPK1	SEYYNPK2	SEYYNPK3	SEYYNPK4	SEYYNPK5	SEYYNPK6	SEYYNPK7	SEYYNPK8	SEYYNPK9	SEYYNPKM1	SEYYNPKM2	SEYYNPKM3	SEYYNPKM4	SEYYNPKM5	SEYYNPKM6	SEYYNPKM7	SEYYNPKM8	SEYYNPKM9	SECCCK1	SECCCK2	SECCCK3	SECCNPK1	SECCNPK2	SECCNPK3	SECCNPKM1	SECCNPKM2	SECCNPKM3	SEJX20CK1	SEJX20CK2	SEJX20CK3	SEJX20CK4	SEJX20CK5	SEJX20CK6	SEJX20CK7	SEJX20CK9	SEJX20NPK1	SEJX20NPK2	SEJX20NPK3	SEJX20NPK4	SEJX20NPK5	SEJX20NPK6	SEJX20NPK7	SEJX20NPK8	SEJX20NPK9	SEJX20NPKM1	SEJX20NPKM2	SEJX20NPKM3	SEJX20NPKM4	SEJX20NPKM5	SEJX20NPKM8	SEJX20NPKM9	SEHL20CK1	SEHL20CK2	SEHL20CK3	SEHL20NPK1	SEHL20NPK2	SEHL20NPK3	SEHL20NPKM1	SEHL20NPKM2
OTU_1	0	1279	1169	0	7370	5486	4180	6508	7152	5148	1133	1169	9277	7831	7404	8732	7725	7129	8845	8716	5535	7556	7816	7821	6250	7474	3492	1315	1	6	1075	378	755	670	0	0	0	2203	2430	296	996	2875	6862	5911	8786	915	10080	10702	6106	3078	6999	4956	10764	7532	7705	469	7780	9673	5389	6928	212	8444	8947	10581	11307	7230	10319	10186	9088	9872	3409	6331	3819	10450	8435	367	9519	0	1079	9866	8868	7617	6323	7463	10124	7218	97	0	9096	8490	7544	384	9535	8246	9264	6879	9415	1248	7807	5644	224	199	123	4894	5494	6399	4799	7715	395	363	0	1508	2738	2821	3532	3968	471	775	453	666
OTU_9	20956	18323	18161	20461	15	73	20	8	13	340	19046	18457	60	25	8	16	73	7	17	55	113	14	30	4	6	2	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	10	3	0	0	1	9	6	0	2	0	0	1	0	19052	0	59	0	0	19674	0	1	2	2	0	4	0	0	0	0	48	0	38	1	0	0	20298	0	0	0	0	0	14	17	0	0	0	566	820	0	19097	0	1691	0	312	0	0	544	0	19635	19515	20153	1046	2063	2067	0	2359	19127	18933	0	0	1772	1666	1375	1854	1169	18665	19764	19077
OTU_48	0	559	554	0	2824	1818	1598	2687	3032	1950	370	596	3107	2303	2374	3332	2647	2772	3270	3662	1771	2682	2897	3365	2452	2775	1389	548	0	0	430	139	259	178	0	0	0	852	805	66	402	984	2511	2183	2732	293	3826	3859	2608	1087	2208	1500	3719	2535	2534	550	2721	3249	1521	2587	228	2922	3217	3826	3597	2286	3945	3567	2929	3410	1243	2018	1318	3477	3136	0	3055	0	336	4577	4098	3476	2689	3444	4505	3098	0	0	5079	3915	4363	208	5792	3903	5914	4966	6251	696	3826	3637	143	126	75	2949	3134	4153	2478	4231	225	248	0	553	2211	1705	2659	2459	237	546	268	436
OTU_5	0	349	441	399	186	0	2620	516	98	3978	247	364	97	87	146	229	183	134	115	166	250	193	118	0	0	3	1883	8785	782	6532	10290	14731	3385	5102	5648	6818	5429	4195	1559	12609	2818	3011	203	5562	1765	1899	152	69	481	1214	2942	4046	14	987	24	697	40	87	147	467	1110	67	0	0	15	52	36	1	12	18	6561	340	565	0	118	16530	76	1130	1649	5	4	152	5428	157	0	0	6603	1	2	0	24	1602	0	0	0	20	0	4033	0	0	1385	1507	1197	5	41	63	916	47	1564	1749	1113	3094	55	62	43	86	470	797	800	817
OTU_9006	0	0	0	0	1794	1213	1015	1538	1809	1075	0	0	1678	1399	1496	1992	1931	1724	1848	2167	983	1482	1653	1975	1526	1626	832	377	7	25	314	130	238	164	0	0	0	508	560	82	254	638	1587	1327	1957	244	2656	2447	1205	590	1307	995	2122	1703	1547	92	1771	1874	907	1459	51	2015	2037	2200	2149	1488	2303	2225	1779	2075	893	1402	872	2196	1857	141	2062	0	276	2626	2187	1828	1556	1956	2484	1837	200	14	2837	2153	2256	57	3280	1992	3416	2746	3361	408	2109	1851	31	23	15	1599	1448	2145	1471	2156	68	63	0	406	1261	921	1504	1480	129	133	14	103
OTU_2	0	77	116	0	119	149	245	541	71	445	49	76	63	133	1422	88	343	201	65	72	103	162	85	0	20	6	2171	875	2531	5622	3318	1948	3581	2071	704	3594	2198	3290	2166	1113	3810	2431	577	2092	242	10652	37	0	3006	742	1192	1296	15	2273	321	42	2980	1354	9036	1797	24	820	87	0	27	733	89	23	97	96	2191	2899	1501	33	1122	1239	403	0	9421	22	89	1957	174	421	0	0	1897	3	0	1	0	25	0	0	0	195	0	4565	0	0	13	11	0	4	245	36	1196	0	38	44	294	4360	49	134	32	906	13021	80	12	71
OTU_321	0	78	67	0	361	296	523	551	656	615	51	81	1020	852	759	875	900	791	1009	938	560	835	782	1038	720	861	307	162	0	0	129	32	95	101	0	0	0	283	231	22	140	209	853	639	726	126	1160	1670	591	301	735	523	981	548	1056	11	937	973	658	1018	4	814	781	1279	908	765	1252	1071	880	1156	411	423	540	1502	1136	38	964	0	102	784	671	613	434	533	808	646	0	0	576	499	528	32	588	712	569	725	737	139	867	519	16	15	5	291	319	388	361	530	22	29	0	125	152	110	365	558	28	58	32	37
OTU_365	0	29	26	0	106	0	424	186	50	414	3	20	40	102	75	73	81	46	50	60	90	275	124	0	25	0	921	3511	400	2349	2854	1260	1681	4687	1067	1906	1714	2137	2108	738	5041	1219	330	917	398	1038	22	23	329	1611	230	2063	0	172	66	41	56	177	218	162	22	51	116	0	3	158	19	25	81	46	1619	461	311	25	209	177	0	41	1814	3	9	1924	180	205	0	6	405	2	1	0	475	35	39	4	8	147	0	724	2	0	29	32	16	2	98	79	2465	23	37	40	179	607	23	12	35	57	1521	46	31	37
OTU_408	0	111	80	0	260	384	255	515	891	452	92	102	814	459	522	879	464	622	910	839	418	657	646	563	632	658	306	108	0	33	90	34	89	60	0	0	0	139	224	12	87	269	688	471	786	88	961	840	548	227	783	274	815	574	652	52	733	720	357	639	25	680	933	1168	752	577	813	825	564	924	347	493	336	921	690	47	1015	0	74	831	503	525	385	488	871	702	0	0	852	554	561	56	678	853	933	609	562	123	502	417	25	18	6	1258	933	383	546	640	24	25	0	96	638	686	859	370	46	83	30	59
OTU_671	0	0	0	26	19	0	52	55	31	98	0	0	23	16	35	34	43	41	27	59	59	73	58	0	0	0	4648	2287	16502	545	254	1100	494	250	1233	903	4353	2182	1092	1601	673	326	126	429	75	266	69	48	92	95	16	14	0	58	0	22	0	1	3	153	9	5	1	0	0	0	1	0	0	0	13	6	7	0	1	9	0	5	15	0	0	12	14	1	0	0	7	0	0	0	0	0	0	0	0	3707	0	661	0	0	0	0	0	0	2	0	32	0	1	4	16	171	1	26	7	17	76	10	0	3
OTU_8	0	0	0	0	42	0	68	62	21	90	0	0	23	32	127	33	56	28	24	41	37	52	20	0	0	0	883	939	504	713	896	314	5835	755	168	4315	1937	2258	289	365	2750	2222	788	280	208	996	70	88	3480	435	636	302	0	360	179	0	756	51	129	3231	0	205	180	15	24	396	13	0	12	771	342	17	391	0	95	433	47	0	258	1	9	49	23	12	0	41	30	1	0	0	1	0	0	0	0	15	0	13	0	0	0	0	0	0	162	0	73	0	0	0	4	147	2	4	0	2	7	1	0	0
OTU_194	0	0	0	0	7	0	137	366	12	76	0	0	19	27	25	20	667	18	21	41	21	18	12	8	0	0	1103	63	283	957	142	445	1166	2462	159	1458	1797	1173	981	328	396	1393	103	26	0	289	0	0	636	96	759	590	124	1766	471	0	52	729	296	580	0	1697	0	0	20	639	51	5	118	10	1824	420	2524	179	107	524	30	0	401	40	46	332	16	145	0	0	43	9	0	0	1	0	0	1	0	40	0	88	0	0	1	0	0	1	5	20	1442	3	1	1	14	3011	4	1	6	3	22	3	4	3
OTU_30	0	0	0	2	38	0	42	48	54	46	0	0	31	70	37	51	62	66	26	71	97	65	58	0	4	0	0	1061	0	2921	703	104	671	2912	12348	402	1039	144	663	3613	150	2565	196	1	45	1630	107	61	13	594	129	383	67	1	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	1	0	0	16	0	0	163	2	0	59	4	0	122	0	0	0	0	16	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	348	0	0	0	536	42	1	2	0	1	2	1	0	1
OTU_99	0	2	1	0	94	141	96	70	196	5	0	0	19	1611	39	29	22	85	53	36	18	56	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	71	49	9	20	109	26	81	10	28	0	46	7	44	35	0	37	25	68	96	27	145	36	117	45	3	66	17	222	148	1	67	0	3	42	0	0	0	0	0	0	0	21459	22	0	0	2	19	0	0	0	28	0	9	13	1	1	3	5	13	319	0	50	2	1	0	0	3	1	88	0	0	2	1	2
OTU_5916	0	0	0	0	213	134	116	221	296	163	0	7	298	208	237	279	212	243	287	259	154	265	279	259	180	118	85	24	0	0	17	3	12	12	0	0	0	47	65	4	28	68	184	171	232	15	310	365	227	79	168	148	320	236	215	0	288	275	136	196	0	231	333	361	360	228	368	347	253	308	104	176	123	348	270	0	401	0	11	325	586	495	418	437	512	444	200	9	252	284	278	10	320	240	379	281	430	33	222	250	3	4	1	153	190	262	171	277	12	10	0	0	97	88	144	116	18	18	23	21
OTU_36	0	25	44	25	32	0	153	28	10	165	25	28	6	9	14	12	16	5	8	7	22	27	18	0	4	0	208	487	118	310	281	439	406	572	133	920	759	194	130	244	173	182	54	533	32	515	10	6	20	132	29	122	0	55	0	28	0	6	18	13	16	1	3	0	0	9	0	0	14	0	301	26	71	0	11	298	19	3	883	41	2	141	97	48	0	0	92	0	1	0	1	10	0	3	0	6	0	7586	0	0	1	3	0	9	5	7	158	8	8	4	74	1496	4	5	6	34	847	10	8	27
OTU_107	36	50	40	42	269	171	184	0	0	0	44	33	0	0	352	0	0	2	0	1	0	1	1	0	0	0	184	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	31	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	64	0	1	0	11	0	0	189	0	1	0	1	0	0	1	696	3197	2641	2	0	1	0	0	0	78	1754	5169	0	0	0	12	27	24	0	31	4	3	0	113	22	471	702	32	14	30	5	22
OTU_135	43	74	58	46	725	0	27	98	24	105	57	70	28	122	8	225	557	28	127	29	679	629	292	175	169	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	9	0	33	0	185	0	212	4	18	37	18	5	99	123	33	59	27	21	18	21	40	41	63	19	3	19	35	27	13	25	16	4	19	6	51	2	0	15	25	77	39	4	0	86	10	374	353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	9	648	456	531	11	11	0	0	2368	2631	1534	755	18	31	0	30
OTU_10	0	2	0	6	3	5	13	421	5	242	0	3	5	408	5	162	1118	131	4	11	9	8	8	0	0	0	0	179	23	0	0	6	45	0	0	40	50	212	1202	15	585	283	1072	0	259	0	16	7	88	55	704	215	767	0	467	0	0	0	0	212	0	282	1080	8	160	1395	3	0	13	407	0	300	55	391	2	236	527	0	3	443	0	243	0	290	80	130	0	0	1	8	6	8	0	0	0	0	0	0	8	4	0	1	0	1	1	5	0	3	0	0	0	0	291	5	1	288	0	0	0	2
OTU_25	0	0	0	0	26	0	0	5	18	41	0	0	33	21	12	74	104	16	30	23	29	142	58	0	0	13	0	0	0	0	0	0	0	93	0	0	0	0	2312	0	125	140	246	0	0	1159	0	0	15	9768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1129	11	5	4	75	7	2	0	0
OTU_69	0	32	16	0	4	28	17	12	2	6	5	9	5	9	15	3	15	6	6	0	7	4	7	0	0	0	319	65	229	175	39	83	314	180	36	771	125	98	102	41	82	369	61	15	0	107	0	0	32	21	31	16	14	517	6	4	13	55	1536	103	2	31	0	0	4	237	21	0	14	5	474	100	56	0	359	246	0	0	1980	17	11	251	31	49	0	0	0	7	1	0	0	2	0	0	4	42	0	305	7	18	0	0	0	3	52	6	19	3	5	2	17	1790	4	11	4	404	1233	4	11	12
OTU_2792	0	23	16	0	16	157	70	65	149	81	15	28	133	233	131	251	120	120	134	248	47	78	124	137	160	105	19	17	1	0	36	9	12	7	0	0	2	60	52	3	18	49	142	217	190	18	171	255	156	46	148	61	239	122	112	1	213	91	90	111	4	142	213	148	330	201	189	262	212	244	70	128	84	104	191	18	109	0	13	133	187	103	79	151	141	99	0	0	35	153	129	3	301	132	107	128	5	28	76	25	7	4	3	209	274	134	43	134	4	6	0	29	193	130	214	6	7	11	1	8
OTU_209	117	136	124	108	188	76	61	129	115	72	95	123	147	115	92	133	139	112	164	133	84	108	135	166	95	155	41	14	0	3	14	2	7	6	0	0	0	31	35	7	11	61	111	114	157	14	202	138	91	42	95	50	173	111	102	93	90	121	52	73	99	110	131	152	165	91	169	136	143	143	25	102	62	176	131	3	211	85	20	176	167	103	61	105	147	96	0	2	126	116	88	105	131	112	141	91	143	13	96	95	102	124	98	57	78	102	75	126	79	79	0	2	63	51	35	56	12	57	86	46
OTU_45	37	46	56	32	69	0	29	14	32	74	43	44	298	91	23	39	60	4	2	5	506	129	129	169	45	33	0	0	0	0	0	0	0	0	0	0	0	27	90	0	4	4	0	2	2	13	2	3	2	3	3	10	66	2	13	45	9	10	0	9	18	0	0	0	8	1	6	9	0	5	67	31	8	0	11	1	0	17	2	30	219	79	275	480	128	101	0	28	0	14	0	3	0	0	0	0	0	0	0	37	0	0	0	122	132	164	77	40	5	16	0	50	730	3791	1079	325	17	19	0	10
OTU_55	0	2	0	0	192	473	514	74	245	103	0	0	115	34	205	67	200	665	125	101	52	110	111	56	267	448	16	15	0	0	18	0	3	4	0	0	0	22	50	0	10	66	64	35	10	0	31	58	11	15	171	20	34	4	24	0	56	106	87	231	0	95	16	115	83	72	75	84	583	98	24	997	866	100	325	9	44	0	110	45	11	1	12	14	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	7	0	19	0	1	0	0	0	34	0	28	25	0	0	0	0	0
OTU_57	0	0	1	0	91	43	38	5	149	69	1	2	125	155	303	213	146	74	108	140	230	165	209	136	60	173	25	14	3	3	7	5	34	13	0	0	1	20	62	6	12	41	220	48	14	8	304	163	113	28	55	24	379	133	66	0	191	450	116	43	0	135	68	284	170	198	141	214	87	176	62	56	99	178	20	9	184	0	14	103	116	141	27	41	91	66	0	0	69	42	80	3	31	189	9	133	153	16	29	222	0	0	0	0	67	9	5	28	2	0	0	9	21	10	96	65	3	8	0	1
OTU_645	13	18	22	17	0	0	0	0	0	0	10	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	1	3	14	1	1	0	2	8	2	0	1	1	0	1	1	1	0	0	0	1	0	709	0	0	2	2	0	1	0	0	0	0	0	0	1	25	17	20	1	0	2	42	4	0	0	21	2	0	1	0	3	12	364	107	126	4	5	6093	13	5	13	14	6	6	12	0	3
OTU_6	0	0	0	0	16	1	2	145	8	4	0	0	7	9	14	4	4	11	4	5	14	7	11	0	0	4	100	30	37	21	135	2	69	38	9	46	35	126	250	38	311	31	275	8	61	280	0	0	55	75	310	311	16	464	1432	0	252	10	39	21	0	110	0	0	14	63	5	6	16	6	99	338	72	74	9	14	0	0	12	5	0	0	0	0	0	12	140	0	0	0	5	0	35	0	0	0	0	0	1	0	0	0	0	0	25	0	0	0	0	0	0	12	17	1	6	223	1	2	0	1
OTU_41	0	0	0	4	6	0	73	7	13	8	0	0	149	411	2	14	4	390	133	14	21	290	964	0	373	2315	178	1	0	0	1	0	15	0	0	0	0	14	225	3	0	2	1	0	7	0	13	16	0	0	1	0	0	2	0	0	0	2	1	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	731	0	0	2	2	1	0	1	2	1	0	1	6	1	0	1	0	1	1	1	0	2	15	0	1	1	2	3	0	0
OTU_70	0	5	6	0	15	0	110	82	19	56	4	3	36	63	13	16	42	9	29	11	71	47	16	0	40	86	17	45	0	34	30	62	98	106	2	0	37	14	467	53	65	94	156	41	124	195	0	5	26	282	66	193	0	57	243	3	27	85	6	55	0	29	54	32	4	103	29	49	42	28	210	93	94	29	91	98	0	0	769	0	0	0	0	0	0	0	0	0	46	5	19	0	34	61	0	0	10	0	36	3	0	0	0	22	43	1	62	3	2	2	0	14	236	303	28	25	2	1	0	5
OTU_12447	0	9	8	6	1429	1235	470	21	303	11	0	0	33	11	258	12	32	85	25	22	41	22	35	8	21	131	10	0	0	0	2	0	0	0	0	0	0	1	18	0	2	16	22	11	2	0	7	6	4	0	0	0	14	1	0	3	24	44	80	5	0	16	22	34	48	26	18	47	125	101	16	359	55	70	0	11	47	0	23	1	39	0	0	0	24	0	0	11	41	7	0	0	5	0	6	0	0	2	38	91	1	0	0	8	5	0	0	2	1	0	0	2	10	16	224	25	1	0	0	0
OTU_26	0	10	7	17	12	1	7	5	9	4	5	5	4	15	4	5	5	12	5	14	10	14	7	0	0	0	683	10	136	962	0	22	469	3	28	105	7	107	48	25	136	50	13	34	241	14	4	9	193	0	4	37	0	69	466	16	35	40	0	1	29	81	7	2	38	766	34	2	1	117	25	0	19	0	0	384	48	2	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	47	58	28	0	0	5	11	0	33	52	0	0	3	0	1	3	3	25	29	12
OTU_143	0	0	0	0	1	0	43	47	12	6	0	0	4	3	6	17	5	0	368	25	488	98	52	126	69	12	6	10	8	0	4	14	20	91	5	11	18	20	33	11	40	19	190	15	128	10	0	16	18	4	45	0	0	0	274	0	13	86	25	117	0	4	2	0	5	25	1	56	0	14	14	3	160	0	82	0	193	0	153	0	231	68	138	241	1	27	1512	0	0	0	0	0	0	0	0	1	0	0	1	2	1	0	0	32	6	0	24	0	0	0	2	5	3	20	27	0	3	1	2	0
OTU_32	0	0	0	0	36	0	159	21	3	264	0	0	0	15	0	1	12	4	24	9	27	5	3	0	16	0	33	45	4	93	23	7	23	289	20	0	5	16	214	11	130	50	201	12	218	18	6	0	233	93	65	349	62	85	74	0	31	33	0	33	0	26	0	0	35	8	5	23	0	55	48	100	12	0	57	5	102	0	9	1	15	0	0	0	0	0	781	27	0	0	0	0	23	1	0	0	0	0	0	0	0	0	0	2	27	242	458	2	0	0	0	49	131	36	11	95	1	1	0	0
OTU_629	0	1	3	12	1	659	636	4	7	0	2	2	2	0	2	1	0	0	0	1	3	1	72	0	250	0	0	0	0	0	0	0	0	0	0	0	0	55	137	0	0	118	0	0	0	0	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	697	1	0	1	0	0	54	6	16	493	0	0	0	0	1	0	0	0	1	0	0	95	53	424	0	0	0	0	0	0	0	0	0	0	0	102	808	13	0	0	0	0	0	0	0	0	0	0	0	23	633	3	0	3	20	1	0	2
OTU_11	0	0	0	0	864	0	0	63	103	40	0	0	0	0	0	8	11	120	65	19	24	42	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	80	93	3	77	2606	116	24	52	0	424	39	1	0	0	8	49	66	0	33	11	15	0	0	23	38	28	31	0	15	0	5
OTU_843	6	1	7	17	0	0	0	0	0	0	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	5	0	1	0	16	0	14	0	15	0	0	0	0	0	5	12	42	0	64	0	1	4867	52	6	5	3	6	9	2	0	2
OTU_11849	0	0	0	2	1	0	13	51	4	21	0	0	13	26	0	38	28	9	17	1	43	8	1	0	24	0	46	7	0	33	27	97	16	36	3	28	81	13	74	7	112	75	112	0	65	60	4	26	35	18	26	667	0	97	0	0	0	12	1	3	0	19	1	10	2	7	7	0	1	15	39	10	24	0	27	60	14	0	69	11	1201	10	0	111	13	5	1230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	60	18	0	0	0	0	0	68	1	0	0	0	0	0
OTU_22	0	0	1	0	139	260	215	36	202	11	0	0	51	13	63	14	42	74	54	33	43	24	30	28	74	95	16	16	0	0	7	1	0	1	0	0	0	139	8	1	14	5	20	30	7	0	13	11	10	7	21	30	18	31	39	0	58	4	11	122	0	231	0	31	40	582	32	43	90	75	56	227	308	19	226	48	57	0	115	69	54	20	32	0	26	8	71	21	38	10	0	1	32	0	31	22	0	0	39	17	0	0	0	15	16	6	59	21	0	1	0	0	37	23	21	50	0	4	0	3
OTU_88	0	3	3	0	88	35	53	22	59	33	4	4	28	33	45	47	55	19	93	35	83	59	51	29	56	147	11	8	1	0	11	7	8	15	1	0	0	21	25	2	2	26	63	61	108	7	44	143	71	26	109	9	84	40	66	0	32	80	26	35	1	33	69	86	91	78	76	97	58	125	31	19	16	87	8	0	68	0	11	159	83	56	37	16	44	33	0	37	103	42	131	2	106	71	109	120	89	16	54	77	1	3	0	66	34	65	25	41	0	1	0	11	37	57	85	45	3	5	0	2
OTU_7	0	3	0	0	200	244	128	294	114	340	0	0	16	20	68	22	28	34	8	4	19	16	7	11	3	24	47	31	1	0	1	0	1	2	0	0	0	3	62	0	52	56	55	6	42	10	6	12	8	10	34	16	20	8	31	0	117	24	0	22	0	4	5	37	39	40	33	8	106	11	4	53	65	14	50	0	12	0	309	4	29	0	0	0	0	39	0	6	0	13	0	0	0	0	0	0	2	0	1	7	0	0	0	0	2	896	0	21	0	2	0	8	8	2	2	1	0	0	0	0
OTU_7175	0	0	0	0	3	2	3	6	3	5	0	0	2	11	12	3	1	0	9	4	19	6	16	0	0	3	59	97	54	11	24	4	340	203	191	27	19	94	297	38	744	51	141	86	171	116	11	5	22	274	28	206	0	17	0	0	15	9	4	1	1	0	13	0	1	1	3	0	10	5	3	15	5	0	0	13	4	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	19	3	44	81	1	39	105	0	0	0	0	0	2	0	0	0	1	0	177	1	1	0	1	1	1	0	1
OTU_62	15	11	14	24	5	8	117	235	87	67	11	24	11	139	91	66	138	87	46	162	98	205	163	57	125	81	36	17	0	0	20	2	2	12	0	0	0	33	20	0	1	51	52	0	8	0	12	9	0	0	0	0	0	0	0	17	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	1	0	0	0	0	0	1	3	22	2	2	12	0	1	1	0	6	4	8	5	3	324	264	82	8	14	3	3	0	0	197	147	230	173	13	16	2	14
OTU_92	1	6	9	0	30	119	60	27	18	21	1	3	42	30	29	29	43	59	62	55	28	57	68	54	21	136	47	1	0	0	7	2	1	1	0	0	0	8	16	0	5	16	23	21	9	4	59	42	44	25	72	18	67	18	65	0	64	78	20	68	0	44	104	113	97	63	42	69	59	65	39	60	23	93	12	4	13	0	0	109	36	30	31	28	55	10	0	12	144	37	69	1	104	28	46	29	31	1	55	24	0	0	0	24	28	8	28	66	1	0	0	2	32	31	25	52	5	3	2	5
OTU_2833	211	184	163	188	16	0	1	2	2	1170	149	177	6	1	2	4	0	5	3	4	21	3	7	1	27	0	1	0	0	0	2	0	0	0	0	0	0	1	1	3	0	1	1	4	2	0	6	12	0	0	0	0	2	0	0	159	0	3	0	0	84	1	0	0	0	0	0	0	0	0	2	2	2	1	1	0	1	91	0	0	0	0	1	54	3	0	0	0	6	2	0	68	0	4	0	6	0	0	2	0	64	73	79	10	1	11	0	7	70	72	0	7	8	9	13	14	14	117	103	114
OTU_2558	3	3	65	2	35	270	62	23	51	0	2	1	4	2	49	0	2	7	0	0	4	5	2	10	0	0	0	2	0	0	0	0	0	0	0	0	0	0	11	5	4	29	0	7	17	0	21	44	65	2	46	17	0	8	212	0	33	2	29	3	0	0	41	6	14	19	23	3	45	27	75	97	1789	111	0	0	38	0	0	1	27	52	7	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	29	3	1	1	0	0	1	0	3	4	0	1	23	0	3	6	3	38	3	1	0	2
OTU_265	0	0	1	0	1	1	0	2	162	0	0	0	1	0	0	0	1	2	1	3	4	3	1	0	199	357	0	0	0	0	24	0	0	0	0	0	0	0	0	7	0	44	0	0	0	0	1	99	2	0	0	0	0	0	89	0	0	0	0	0	0	0	2	0	230	611	252	0	372	64	11	177	32	44	225	0	164	0	0	0	0	0	0	0	96	0	0	0	0	1	0	1	0	3	0	0	0	0	3	185	0	0	0	0	0	0	3	0	0	0	0	156	1	0	0	1	0	0	1	1
OTU_39	9	9	53	9	2	50	13	3	6	3	10	6	43	4	42	2	0	2	33	1	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	2	30	5	0	0	2	41	1	0	2	2	7	15	0	19	1	8	11	7	0	2	2	19	3	3	7	12	5	21	1	2	7	59	2563	17	0	0	22	0	2	0	39	9	0	0	14	0	0	0	0	32	0	1	0	1	56	0	26	0	0	13	0	0	0	8	61	20	47	2	1	0	0	0	16	20	7	27	0	6	0	3
OTU_11823	0	1	1	0	36	19	23	55	52	40	1	1	77	50	39	66	62	39	49	45	23	38	54	67	47	33	20	5	0	3	8	1	3	5	0	0	1	7	11	1	8	16	39	31	48	4	81	54	37	16	22	21	63	37	46	0	63	60	40	49	0	25	60	65	62	42	58	63	61	60	23	29	20	61	54	6	43	0	5	70	63	40	37	25	72	54	10	0	27	38	33	2	40	31	37	35	41	8	22	24	0	0	0	16	23	27	30	24	3	0	0	8	13	11	10	16	2	1	0	2
OTU_2486	1	4	6	2	4	3	12	0	24	62	2	4	69	69	2	49	24	3	7	7	132	141	53	62	12	0	0	6	0	0	0	0	0	0	0	0	0	6	80	0	6	47	23	8	70	103	3	3	11	19	0	105	0	2	16	4	2	0	1	32	3	0	0	0	0	0	0	21	8	1	35	0	2	0	9	1	5	2	5	18	122	19	8	229	30	152	132	9	1	0	0	6	0	3	0	6	0	0	4	0	1	0	0	2	5	24	57	42	3	0	0	97	246	34	227	382	6	6	0	1
