	SEQYCK1	SEQYCK2	SEQYCK3	SEQYCK4	SEQYCK5	SEQYCK6	SEQYCK7	SEQYCK9	SEQYNPK1	SEQYNPK2	SEQYNPK3	SEQYNPK4	SEQYNPK5	SEQYNPK6	SEQYNPK7	SEQYNPK8	SEQYNPK9	SEQYNPKM1	SEQYNPKM2	SEQYNPKM3	SEQYNPKM4	SEQYNPKM5	SEQYNPKM6	SEQYNPKM7	SEQYNPKM8	SEQYNPKM9	SEYCCK1	SEYCCK2	SEYCCK3	SEYCCK4	SEYCCK5	SEYCCK6	SEYCCK7	SEYCCK8	SEYCCK9	SEYCNPK2	SEYCNPK3	SEYCNPK4	SEYCNPK5	SEYCNPK6	SEYCNPK7	SEYCNPK8	SEYCNPK9	SEYCNPKM1	SEYCNPKM2	SEYCNPKM3	SEYCNPKM4	SEYCNPKM5	SEYCNPKM6	SEYCNPKM7	SEYCNPKM8	SEYCNPKM9	SEYYCK1	SEYYCK2	SEYYCK3	SEYYCK4	SEYYCK5	SEYYCK6	SEYYCK7	SEYYCK8	SEYYCK9	SEYYNPK1	SEYYNPK2	SEYYNPK3	SEYYNPK4	SEYYNPK5	SEYYNPK6	SEYYNPK7	SEYYNPK8	SEYYNPK9	SEYYNPKM1	SEYYNPKM2	SEYYNPKM3	SEYYNPKM4	SEYYNPKM5	SEYYNPKM6	SEYYNPKM7	SEYYNPKM8	SEYYNPKM9	SECCCK1	SECCCK2	SECCCK3	SECCNPK1	SECCNPK2	SECCNPK3	SECCNPKM1	SECCNPKM2	SECCNPKM3	SEJX20CK1	SEJX20CK2	SEJX20CK3	SEJX20CK4	SEJX20CK5	SEJX20CK6	SEJX20CK7	SEJX20CK9	SEJX20NPK1	SEJX20NPK2	SEJX20NPK3	SEJX20NPK4	SEJX20NPK5	SEJX20NPK6	SEJX20NPK7	SEJX20NPK8	SEJX20NPK9	SEJX20NPKM1	SEJX20NPKM2	SEJX20NPKM3	SEJX20NPKM4	SEJX20NPKM5	SEJX20NPKM8	SEJX20NPKM9	SEHL20CK1	SEHL20CK2	SEHL20CK3	SEHL20NPK1	SEHL20NPK2	SEHL20NPK3	SEHL20NPKM1	SEHL20NPKM2
OTU_1311	0	0	0	0	12	0	0	18	0	0	0	0	0	0	0	22	0	16	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	2	0	0	0	0	0	1	0	0	17	0	0	1	0	0	0	0	3	0	51	0	5	0	1	23	5	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	18	0	0	0	0	0	0	0	0	13	0	0	0	0	1	0
OTU_199	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	148	0	0	0	0	0	0	0	9	1	20	44	3	2	2	0
OTU_4063	0	0	0	0	0	12	1	1	0	0	0	0	0	0	31	0	1	0	0	0	0	0	0	0	0	0	0	18	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	89	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	2	0	24	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_63	0	1	0	1	0	12	35	3	18	0	0	0	0	0	0	1	10	13	1	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	1	0	0	1	0	0	2	0	0	0	24	1	0	2	1	0	0	0	0	1	0	10	0	0	0	0	0	7	0	8	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	5	17	0	0	0	0	0	0	0	13	30	20	19	1	0	0	0
OTU_131	0	0	0	0	0	0	0	0	4	1	1	0	11	5	0	8	0	24	18	8	4	7	0	8	14	12	1	0	0	0	0	1	4	0	0	0	0	1	4	0	1	0	1	2	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	2	0	0	0	1	1	23	62	1	0	0	0	0	1	2	5	14	14	2	0	0	1	0
OTU_173	0	0	2	0	0	0	24	0	7	3	0	1	0	0	0	0	0	0	22	0	1	0	0	4	0	0	4	0	0	0	2	0	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	13	0	0	1	0	3	7	0	0	0	0	0	0	0	0	0	0	0	9	4	3	0	0	0	0	0	0	0	0	0	7	0	37	0	0	0	0	0	0	23	9	1	0	3	1	0	0	5	18	7	17	32	1	0	0	0
OTU_181	0	0	0	0	0	0	4	32	10	8	0	0	19	1	0	3	10	5	11	2	3	7	10	10	28	16	10	0	0	2	0	0	2	1	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	1	0	1	18	1	0	0	1	0	0	1	0	20	24	6	0	0	0	0	0
OTU_12399	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	1	0	78	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	2	0	14	0	0	9	0	2	13	0	8	17	0	9	1	30	11	1	0	13	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1134	0	0	0	0	16	0	135	13	25	4	0	0	30	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	1	0	8	2	3	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	4	0	0	1	0
OTU_179	0	0	0	0	0	0	6	21	4	13	0	0	2	6	7	9	1	8	1	15	1	1	9	17	13	19	5	1	0	0	2	1	0	1	0	0	0	4	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	15	15	0	4	10	0	0	0	0	20	7	10	15	1	1	1	0
