OTUID	BS	P	LE	RS	RE	SE	VE
OTU_6881	9.44E-04	0.00E+00	0.00E+00	1.30E-04	3.96E-06	0.00E+00	0.00E+00
OTU_6882	5.97E-04	0.00E+00	0.00E+00	3.47E-04	0.00E+00	0.00E+00	0.00E+00
OTU_6883	6.08E-04	0.00E+00	0.00E+00	9.37E-05	2.62E-05	0.00E+00	0.00E+00
OTU_6884	4.87E-04	0.00E+00	0.00E+00	3.68E-04	0.00E+00	0.00E+00	0.00E+00
OTU_6885	1.06E-03	3.01E-06	0.00E+00	2.53E-04	4.30E-06	0.00E+00	0.00E+00
OTU_6886	3.69E-05	0.00E+00	0.00E+00	3.45E-04	1.53E-04	0.00E+00	0.00E+00
OTU_6887	1.10E-03	1.87E-05	0.00E+00	5.99E-04	1.31E-03	3.51E-05	0.00E+00
OTU_6888	1.84E-03	0.00E+00	0.00E+00	5.93E-04	0.00E+00	0.00E+00	0.00E+00
OTU_6889	4.00E-04	0.00E+00	0.00E+00	2.79E-04	9.45E-05	0.00E+00	0.00E+00
OTU_689	4.68E-02	0.00E+00	3.59E-06	5.07E-03	3.61E-04	0.00E+00	0.00E+00
OTU_6890	2.04E-04	0.00E+00	0.00E+00	4.62E-05	1.23E-05	0.00E+00	0.00E+00
OTU_6891	3.11E-04	0.00E+00	0.00E+00	3.26E-04	1.01E-04	0.00E+00	0.00E+00
OTU_6892	3.30E-02	3.88E-06	1.20E-05	3.37E-03	2.31E-04	1.44E-05	0.00E+00
OTU_6893	1.39E-05	0.00E+00	0.00E+00	2.05E-04	2.74E-05	0.00E+00	0.00E+00
OTU_6894	5.77E-05	3.19E-04	0.00E+00	3.93E-04	2.97E-05	0.00E+00	0.00E+00
OTU_6895	3.69E-03	3.87E-06	1.36E-05	1.81E-03	9.10E-05	0.00E+00	0.00E+00
OTU_6896	1.41E-03	0.00E+00	0.00E+00	3.40E-04	7.18E-06	0.00E+00	0.00E+00
OTU_6897	4.05E-04	0.00E+00	0.00E+00	1.26E-04	0.00E+00	0.00E+00	0.00E+00
OTU_6898	2.84E-04	0.00E+00	0.00E+00	1.23E-04	6.87E-06	9.69E-04	0.00E+00
OTU_6899	1.40E-04	0.00E+00	0.00E+00	3.64E-04	5.42E-05	0.00E+00	0.00E+00
OTU_69	5.22E-03	3.05E+00	3.65E+00	3.00E-01	2.93E+00	4.96E-01	1.87E+00
OTU_690	1.79E-02	1.29E-06	0.00E+00	1.13E-02	3.64E-03	9.63E-05	0.00E+00
OTU_6900	2.71E-04	0.00E+00	0.00E+00	3.33E-04	1.17E-05	0.00E+00	0.00E+00
OTU_6901	7.73E-04	0.00E+00	0.00E+00	1.49E-04	0.00E+00	0.00E+00	0.00E+00
