OTUID	BS	P	LE	RS	RE	SE	VE
OTU_1	1.98E-02	1.22E-01	6.10E-01	7.55E-02	4.30E-01	2.27E+01	4.78E-02
OTU_10	1.54E-03	4.99E+00	4.08E+00	3.03E-03	2.03E-03	6.67E-01	2.36E-02
OTU_100	3.68E-01	4.52E-04	3.72E-04	2.70E-01	2.26E-02	1.13E-01	5.25E-05
OTU_1000	3.91E-03	2.77E-05	1.15E-05	2.83E-03	2.25E-02	0.00E+00	1.04E-05
OTU_10000	1.74E-04	0.00E+00	0.00E+00	4.97E-05	8.62E-06	0.00E+00	0.00E+00
OTU_10001	5.12E-04	0.00E+00	0.00E+00	9.64E-05	3.63E-05	0.00E+00	0.00E+00
OTU_10002	9.67E-05	0.00E+00	0.00E+00	1.18E-04	6.00E-06	0.00E+00	0.00E+00
OTU_10003	3.72E-04	0.00E+00	0.00E+00	4.19E-05	0.00E+00	0.00E+00	0.00E+00
OTU_10004	3.25E-03	3.25E-06	0.00E+00	2.82E-03	7.86E-05	4.32E-05	0.00E+00
OTU_10005	1.15E-04	0.00E+00	0.00E+00	7.41E-05	4.61E-06	0.00E+00	0.00E+00
OTU_10006	5.75E-05	0.00E+00	0.00E+00	7.81E-05	1.28E-05	0.00E+00	0.00E+00
OTU_10007	1.74E-03	0.00E+00	0.00E+00	1.31E-03	5.61E-05	4.09E-06	0.00E+00
OTU_10008	1.08E-03	9.20E-06	0.00E+00	4.40E-04	5.61E-05	4.37E-05	0.00E+00
OTU_10009	2.48E-04	0.00E+00	0.00E+00	2.84E-05	0.00E+00	0.00E+00	0.00E+00
OTU_1001	7.76E-03	2.29E-05	2.51E-06	7.89E-03	8.36E-04	3.59E-05	5.88E-06
OTU_10010	2.59E-04	0.00E+00	0.00E+00	8.99E-05	1.73E-05	0.00E+00	0.00E+00
OTU_10011	7.95E-05	0.00E+00	0.00E+00	2.16E-04	7.02E-05	0.00E+00	0.00E+00
OTU_10012	6.01E-04	0.00E+00	0.00E+00	1.04E-04	7.18E-06	0.00E+00	0.00E+00
OTU_10013	2.42E-05	1.31E-04	6.99E-06	7.60E-05	0.00E+00	0.00E+00	0.00E+00
OTU_10014	1.62E-04	0.00E+00	0.00E+00	2.39E-04	1.32E-04	0.00E+00	0.00E+00
OTU_10015	1.98E-05	0.00E+00	0.00E+00	9.97E-05	5.28E-05	0.00E+00	0.00E+00
OTU_10016	6.81E-05	3.49E-06	0.00E+00	3.30E-04	1.25E-04	0.00E+00	0.00E+00
OTU_10017	1.87E-05	0.00E+00	0.00E+00	7.45E-05	1.10E-04	0.00E+00	0.00E+00
OTU_10018	6.16E-04	0.00E+00	0.00E+00	5.80E-04	3.35E-05	0.00E+00	0.00E+00
OTU_10019	1.33E-04	0.00E+00	0.00E+00	8.37E-06	0.00E+00	0.00E+00	0.00E+00
OTU_1002	3.44E-02	3.41E-05	5.40E-05	1.92E-02	8.46E-04	9.43E-04	0.00E+00
OTU_10020	2.15E-04	0.00E+00	0.00E+00	6.57E-05	0.00E+00	0.00E+00	0.00E+00
OTU_10021	3.15E-04	2.70E-05	0.00E+00	3.63E-05	0.00E+00	0.00E+00	0.00E+00
OTU_10022	6.19E-04	5.85E-06	0.00E+00	1.53E-04	1.94E-06	0.00E+00	0.00E+00
OTU_10023	5.77E-04	3.77E-06	0.00E+00	4.60E-04	5.36E-05	0.00E+00	0.00E+00
OTU_10024	1.20E-04	1.16E-04	8.83E-06	2.41E-04	0.00E+00	2.09E-04	0.00E+00
OTU_10025	1.39E-04	0.00E+00	0.00E+00	2.21E-04	4.18E-05	0.00E+00	0.00E+00
OTU_10026	5.59E-05	0.00E+00	1.63E-06	4.54E-05	1.18E-05	0.00E+00	0.00E+00
OTU_10027	8.30E-05	0.00E+00	0.00E+00	4.99E-06	0.00E+00	0.00E+00	0.00E+00
OTU_10028	3.53E-05	0.00E+00	0.00E+00	1.53E-05	0.00E+00	0.00E+00	0.00E+00
OTU_10029	3.76E-04	0.00E+00	0.00E+00	1.75E-04	5.36E-05	0.00E+00	0.00E+00
OTU_1003	7.18E-03	4.49E-05	9.88E-06	1.83E-02	4.10E-04	1.05E-03	0.00E+00
OTU_10030	1.09E-04	0.00E+00	0.00E+00	4.40E-05	2.10E-06	0.00E+00	0.00E+00
OTU_10031	6.16E-05	0.00E+00	0.00E+00	7.22E-05	1.29E-05	0.00E+00	0.00E+00
OTU_10032	1.36E-04	1.13E-05	0.00E+00	1.38E-04	0.00E+00	6.06E-06	0.00E+00
OTU_10033	2.37E-04	0.00E+00	0.00E+00	3.07E-04	4.25E-05	3.60E-06	0.00E+00
OTU_10034	4.03E-05	0.00E+00	0.00E+00	1.17E-05	7.96E-05	0.00E+00	0.00E+00
OTU_10035	2.60E-05	0.00E+00	0.00E+00	8.60E-05	3.39E-04	0.00E+00	4.39E-06
OTU_10036	3.12E-04	0.00E+00	0.00E+00	1.11E-04	2.56E-05	0.00E+00	0.00E+00
OTU_10037	1.03E-04	0.00E+00	0.00E+00	1.52E-04	1.26E-04	0.00E+00	0.00E+00
OTU_10038	4.52E-05	0.00E+00	0.00E+00	8.13E-05	7.37E-06	0.00E+00	0.00E+00
OTU_10039	1.29E-04	0.00E+00	0.00E+00	1.06E-05	0.00E+00	0.00E+00	0.00E+00
OTU_1004	2.04E-02	1.79E-05	3.08E-06	1.12E-02	1.75E-02	3.23E-04	0.00E+00
OTU_10040	2.16E-04	0.00E+00	0.00E+00	4.39E-06	0.00E+00	0.00E+00	0.00E+00
OTU_10041	1.05E-03	7.35E-05	5.73E-05	2.51E-03	4.01E-05	1.91E-05	1.70E-05
OTU_10042	2.18E-03	0.00E+00	0.00E+00	4.25E-04	0.00E+00	0.00E+00	0.00E+00
OTU_10043	6.38E-06	0.00E+00	0.00E+00	1.37E-05	4.55E-05	0.00E+00	0.00E+00
OTU_10044	1.36E-03	0.00E+00	9.11E-06	8.24E-04	3.11E-06	2.57E-05	0.00E+00
OTU_10045	1.05E-04	0.00E+00	0.00E+00	7.59E-05	1.59E-06	0.00E+00	0.00E+00
OTU_10046	4.56E-04	6.12E-05	5.98E-06	3.61E-04	1.57E-06	0.00E+00	0.00E+00
OTU_10047	3.03E-05	0.00E+00	0.00E+00	3.33E-05	9.60E-06	0.00E+00	0.00E+00
OTU_10048	1.46E-03	0.00E+00	0.00E+00	2.09E-04	7.08E-06	0.00E+00	0.00E+00
OTU_10049	1.95E-04	3.86E-06	0.00E+00	4.15E-05	0.00E+00	0.00E+00	0.00E+00
OTU_1005	2.13E-02	0.00E+00	3.70E-06	6.00E-03	1.05E-04	0.00E+00	0.00E+00
OTU_10050	3.63E-04	0.00E+00	0.00E+00	2.72E-05	6.86E-06	2.11E-05	0.00E+00
OTU_10051	4.05E-05	1.17E-06	0.00E+00	8.24E-05	1.63E-05	0.00E+00	0.00E+00
OTU_10052	1.02E-04	0.00E+00	1.71E-06	7.72E-05	4.86E-06	0.00E+00	0.00E+00
OTU_10053	6.02E-05	0.00E+00	0.00E+00	1.49E-04	0.00E+00	5.28E-05	0.00E+00
OTU_10054	5.51E-04	0.00E+00	0.00E+00	5.15E-04	1.91E-05	9.36E-05	0.00E+00
OTU_10055	1.92E-04	3.74E-06	0.00E+00	1.71E-04	0.00E+00	0.00E+00	0.00E+00
OTU_10056	2.98E-05	0.00E+00	0.00E+00	3.88E-05	0.00E+00	0.00E+00	0.00E+00
OTU_10057	8.37E-03	9.87E-06	0.00E+00	6.32E-03	5.14E-04	6.24E-04	0.00E+00
OTU_10058	8.58E-04	7.16E-06	0.00E+00	4.32E-04	2.43E-05	0.00E+00	0.00E+00
OTU_10059	1.58E-04	0.00E+00	0.00E+00	2.85E-05	1.81E-05	4.59E-06	0.00E+00
OTU_1006	1.29E-02	2.15E-05	0.00E+00	8.63E-03	8.25E-05	0.00E+00	0.00E+00
OTU_10060	7.31E-06	0.00E+00	0.00E+00	2.24E-04	2.11E-05	0.00E+00	0.00E+00
OTU_10061	8.62E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
OTU_10062	6.10E-05	0.00E+00	0.00E+00	1.11E-04	0.00E+00	0.00E+00	0.00E+00
OTU_10063	3.91E-05	0.00E+00	0.00E+00	4.60E-05	8.72E-06	0.00E+00	0.00E+00
OTU_10064	7.73E-05	0.00E+00	0.00E+00	3.12E-05	0.00E+00	0.00E+00	0.00E+00
OTU_10065	4.47E-04	0.00E+00	0.00E+00	1.11E-04	3.44E-06	0.00E+00	0.00E+00
OTU_10066	1.85E-04	0.00E+00	0.00E+00	2.04E-05	0.00E+00	0.00E+00	0.00E+00
OTU_10067	1.60E-04	0.00E+00	0.00E+00	5.37E-05	2.80E-05	0.00E+00	0.00E+00
OTU_10068	6.51E-06	0.00E+00	0.00E+00	3.69E-05	0.00E+00	0.00E+00	0.00E+00
OTU_10069	7.07E-04	0.00E+00	0.00E+00	7.36E-04	5.74E-05	0.00E+00	0.00E+00
OTU_1007	8.89E-06	1.42E-02	6.20E-03	6.89E-05	1.21E-05	3.39E-04	0.00E+00
OTU_10070	9.51E-05	0.00E+00	0.00E+00	7.38E-05	0.00E+00	0.00E+00	0.00E+00
OTU_10071	5.05E-05	2.35E-05	0.00E+00	2.35E-05	3.24E-06	0.00E+00	0.00E+00
OTU_10072	1.35E-04	4.57E-06	0.00E+00	3.22E-04	4.18E-04	0.00E+00	0.00E+00
OTU_10073	1.59E-04	0.00E+00	2.83E-06	1.70E-04	7.32E-05	0.00E+00	0.00E+00
OTU_10074	3.82E-05	0.00E+00	0.00E+00	8.18E-06	0.00E+00	0.00E+00	0.00E+00
OTU_10075	1.61E-04	0.00E+00	0.00E+00	1.43E-04	9.24E-06	0.00E+00	0.00E+00
OTU_10076	1.51E-04	0.00E+00	1.62E-06	1.31E-04	3.56E-06	0.00E+00	0.00E+00
OTU_10077	1.40E-04	0.00E+00	0.00E+00	5.66E-05	0.00E+00	0.00E+00	0.00E+00
OTU_10078	2.29E-05	0.00E+00	0.00E+00	6.91E-05	0.00E+00	0.00E+00	0.00E+00
OTU_10079	8.55E-05	0.00E+00	0.00E+00	4.76E-05	0.00E+00	0.00E+00	0.00E+00
OTU_1008	1.73E-02	5.85E-06	0.00E+00	1.56E-02	6.86E-04	1.53E-05	0.00E+00
OTU_10080	7.54E-05	0.00E+00	0.00E+00	3.32E-05	0.00E+00	4.95E-06	0.00E+00
OTU_10081	3.34E-05	0.00E+00	0.00E+00	6.43E-05	1.30E-05	0.00E+00	0.00E+00
OTU_10082	6.40E-05	0.00E+00	0.00E+00	4.38E-04	1.03E-04	0.00E+00	0.00E+00
OTU_10083	6.62E-05	0.00E+00	0.00E+00	7.14E-05	0.00E+00	0.00E+00	0.00E+00
OTU_10084	1.73E-04	0.00E+00	0.00E+00	3.74E-05	0.00E+00	0.00E+00	0.00E+00
OTU_10085	1.17E-04	0.00E+00	0.00E+00	8.73E-05	0.00E+00	0.00E+00	0.00E+00
OTU_10086	8.47E-05	0.00E+00	0.00E+00	5.21E-05	0.00E+00	0.00E+00	0.00E+00
OTU_10087	1.13E-05	0.00E+00	0.00E+00	8.08E-05	2.31E-05	0.00E+00	0.00E+00
OTU_10088	8.12E-05	0.00E+00	0.00E+00	2.88E-05	4.89E-05	0.00E+00	0.00E+00
OTU_10089	7.89E-05	3.43E-06	0.00E+00	7.24E-05	2.59E-05	0.00E+00	0.00E+00
OTU_1009	1.11E-01	1.60E-04	4.14E-05	5.75E-02	3.01E-03	6.21E-03	1.03E-05
OTU_10090	4.86E-04	0.00E+00	0.00E+00	2.34E-04	3.83E-05	0.00E+00	0.00E+00
OTU_10091	9.42E-04	0.00E+00	0.00E+00	2.67E-04	2.14E-05	0.00E+00	0.00E+00
OTU_10092	1.10E-04	0.00E+00	0.00E+00	1.84E-04	7.80E-06	0.00E+00	0.00E+00
OTU_10093	9.15E-05	0.00E+00	0.00E+00	3.80E-05	8.60E-06	0.00E+00	0.00E+00
OTU_10094	3.22E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
OTU_10095	9.66E-04	1.69E-05	0.00E+00	2.07E-04	4.45E-06	2.33E-04	0.00E+00
OTU_10096	1.77E-04	0.00E+00	0.00E+00	9.49E-05	1.05E-05	0.00E+00	0.00E+00
OTU_10097	3.25E-04	0.00E+00	0.00E+00	1.22E-04	3.07E-06	0.00E+00	0.00E+00
OTU_10098	5.23E-04	0.00E+00	0.00E+00	1.74E-04	6.89E-05	0.00E+00	0.00E+00
OTU_10099	1.10E-04	0.00E+00	0.00E+00	9.34E-05	3.53E-05	0.00E+00	0.00E+00
OTU_101	6.95E-01	4.41E-03	2.58E-03	8.60E-01	1.34E-01	1.31E-02	1.42E-04
OTU_1010	1.79E-02	5.97E-05	6.35E-05	2.42E-02	1.22E-03	7.28E-04	5.13E-06
OTU_10100	4.12E-04	0.00E+00	0.00E+00	1.63E-05	0.00E+00	0.00E+00	0.00E+00
OTU_10101	6.07E-05	0.00E+00	0.00E+00	3.39E-05	0.00E+00	4.15E-05	0.00E+00
OTU_10102	0.00E+00	0.00E+00	0.00E+00	5.88E-06	3.44E-06	0.00E+00	0.00E+00
OTU_10103	3.18E-05	0.00E+00	0.00E+00	0.00E+00	1.94E-05	0.00E+00	0.00E+00
OTU_10104	1.35E-03	0.00E+00	0.00E+00	3.84E-04	2.09E-03	0.00E+00	0.00E+00
OTU_10105	2.74E-04	0.00E+00	0.00E+00	2.66E-04	0.00E+00	0.00E+00	0.00E+00
OTU_10106	5.02E-04	2.99E-05	8.93E-05	3.90E-04	0.00E+00	0.00E+00	5.77E-06
OTU_10107	7.79E-04	0.00E+00	0.00E+00	2.20E-04	1.53E-05	0.00E+00	0.00E+00
OTU_10108	2.28E-05	3.97E-06	0.00E+00	9.98E-06	1.44E-05	0.00E+00	0.00E+00
OTU_10109	7.11E-05	0.00E+00	0.00E+00	5.04E-05	3.12E-05	0.00E+00	0.00E+00
OTU_1011	2.70E-02	4.11E-04	1.87E-04	1.56E-01	2.74E-02	3.40E-03	5.79E-05
OTU_10110	1.39E-02	0.00E+00	7.34E-06	8.15E-03	3.15E-04	2.43E-03	0.00E+00
OTU_10111	1.33E-04	0.00E+00	0.00E+00	2.04E-04	1.62E-04	0.00E+00	0.00E+00
OTU_10112	5.85E-05	0.00E+00	0.00E+00	3.56E-05	4.30E-06	0.00E+00	0.00E+00
OTU_10113	3.67E-04	0.00E+00	0.00E+00	6.67E-05	0.00E+00	0.00E+00	0.00E+00
OTU_10114	4.93E-04	0.00E+00	0.00E+00	2.53E-04	8.88E-06	0.00E+00	0.00E+00
OTU_10115	1.57E-04	0.00E+00	0.00E+00	5.05E-05	0.00E+00	0.00E+00	0.00E+00
OTU_10116	1.54E-04	0.00E+00	0.00E+00	1.58E-04	0.00E+00	0.00E+00	0.00E+00
OTU_10117	1.66E-04	0.00E+00	0.00E+00	6.70E-06	0.00E+00	0.00E+00	0.00E+00
OTU_10118	1.82E-04	0.00E+00	0.00E+00	8.54E-05	0.00E+00	1.02E-05	0.00E+00
OTU_10119	1.49E-04	0.00E+00	0.00E+00	9.22E-05	0.00E+00	0.00E+00	0.00E+00
OTU_1012	1.04E-01	2.72E-05	2.46E-05	3.15E-02	1.21E-03	1.57E-03	2.62E-06
OTU_10120	7.18E-05	0.00E+00	0.00E+00	3.48E-05	0.00E+00	0.00E+00	0.00E+00
OTU_10121	2.90E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
OTU_10122	8.92E-04	0.00E+00	0.00E+00	1.95E-04	6.21E-05	6.42E-05	0.00E+00
OTU_10123	3.47E-04	4.88E-06	0.00E+00	1.60E-04	0.00E+00	0.00E+00	0.00E+00
OTU_10124	1.65E-04	0.00E+00	0.00E+00	5.99E-05	0.00E+00	0.00E+00	0.00E+00
OTU_10125	1.33E-04	0.00E+00	0.00E+00	8.72E-05	5.67E-06	0.00E+00	0.00E+00
OTU_10126	3.89E-04	7.53E-06	0.00E+00	3.65E-05	0.00E+00	0.00E+00	0.00E+00
OTU_10127	7.40E-05	0.00E+00	0.00E+00	1.35E-04	0.00E+00	0.00E+00	0.00E+00
OTU_10128	2.14E-04	0.00E+00	0.00E+00	4.18E-05	3.07E-06	0.00E+00	0.00E+00
OTU_10129	1.97E-04	0.00E+00	0.00E+00	1.07E-04	1.59E-06	0.00E+00	0.00E+00
OTU_1013	1.75E-02	6.63E-05	6.57E-06	9.12E-03	7.54E-04	1.32E-04	0.00E+00
OTU_10130	2.64E-04	4.52E-06	0.00E+00	2.55E-04	2.44E-05	0.00E+00	0.00E+00
OTU_10131	1.18E-04	0.00E+00	0.00E+00	5.52E-05	5.64E-06	0.00E+00	0.00E+00
OTU_10132	1.91E-05	0.00E+00	0.00E+00	5.16E-05	0.00E+00	1.64E-04	0.00E+00
OTU_10133	1.63E-03	0.00E+00	0.00E+00	1.26E-03	8.03E-05	0.00E+00	0.00E+00
OTU_10134	1.77E-03	0.00E+00	0.00E+00	6.59E-04	0.00E+00	0.00E+00	0.00E+00
OTU_10135	3.79E-05	0.00E+00	0.00E+00	1.77E-04	4.36E-05	0.00E+00	0.00E+00
OTU_10136	1.34E-04	0.00E+00	0.00E+00	4.29E-05	0.00E+00	0.00E+00	0.00E+00
OTU_10137	2.98E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
OTU_10138	3.71E-04	0.00E+00	0.00E+00	3.01E-05	0.00E+00	0.00E+00	0.00E+00
OTU_10139	1.62E-03	0.00E+00	0.00E+00	8.63E-04	1.17E-04	1.68E-05	0.00E+00
OTU_1014	0.00E+00	2.53E-03	6.96E-04	1.45E-05	0.00E+00	0.00E+00	1.24E-04
OTU_10140	2.24E-04	6.63E-06	0.00E+00	7.03E-05	3.18E-06	0.00E+00	0.00E+00
OTU_10141	2.52E-04	0.00E+00	0.00E+00	6.10E-05	0.00E+00	0.00E+00	0.00E+00
OTU_10142	1.22E-04	0.00E+00	0.00E+00	6.27E-05	0.00E+00	0.00E+00	0.00E+00
OTU_10143	2.41E-04	0.00E+00	0.00E+00	6.70E-06	0.00E+00	0.00E+00	0.00E+00
OTU_10144	6.32E-04	0.00E+00	0.00E+00	1.24E-04	3.08E-05	0.00E+00	0.00E+00
OTU_10145	9.39E-04	0.00E+00	0.00E+00	2.60E-04	0.00E+00	0.00E+00	0.00E+00
OTU_10146	2.91E-04	0.00E+00	0.00E+00	3.73E-05	1.02E-06	0.00E+00	0.00E+00
OTU_10147	1.33E-04	0.00E+00	0.00E+00	7.26E-05	1.36E-05	0.00E+00	0.00E+00
OTU_10148	1.13E-04	0.00E+00	0.00E+00	1.42E-04	5.43E-05	1.25E-05	0.00E+00
OTU_10149	7.81E-04	3.51E-05	2.21E-06	4.69E-04	3.19E-05	1.91E-04	0.00E+00
OTU_1015	2.35E-02	1.01E-02	2.61E-03	5.40E-02	2.43E-01	4.57E-02	1.40E-03
OTU_10150	4.55E-03	3.43E-06	0.00E+00	1.79E-03	1.64E-04	5.32E-05	0.00E+00
OTU_10151	2.68E-04	0.00E+00	0.00E+00	4.13E-05	0.00E+00	0.00E+00	0.00E+00
OTU_10152	1.60E-04	0.00E+00	0.00E+00	9.81E-05	3.60E-05	0.00E+00	0.00E+00
OTU_10153	4.08E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
OTU_10154	2.04E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
OTU_10155	5.16E-04	0.00E+00	0.00E+00	2.56E-04	0.00E+00	0.00E+00	0.00E+00
OTU_10156	2.20E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
OTU_10157	1.96E-04	0.00E+00	0.00E+00	3.07E-05	0.00E+00	0.00E+00	0.00E+00
OTU_10158	5.25E-03	2.99E-05	2.51E-05	3.80E-03	2.10E-03	0.00E+00	0.00E+00
OTU_10159	7.31E-04	0.00E+00	0.00E+00	8.64E-05	0.00E+00	0.00E+00	0.00E+00
OTU_1016	1.48E-02	2.90E-05	1.86E-06	2.28E-03	7.22E-05	5.11E-06	0.00E+00
OTU_10160	1.38E-04	0.00E+00	0.00E+00	7.37E-05	0.00E+00	0.00E+00	0.00E+00
OTU_10161	3.85E-04	0.00E+00	0.00E+00	0.00E+00	6.10E-06	0.00E+00	0.00E+00
OTU_10162	7.93E-05	0.00E+00	0.00E+00	9.46E-05	4.96E-05	0.00E+00	0.00E+00
OTU_10163	2.54E-04	0.00E+00	2.66E-06	9.39E-05	0.00E+00	0.00E+00	0.00E+00
OTU_10164	6.94E-04	6.34E-05	9.33E-05	1.21E-03	2.06E-03	2.80E-04	0.00E+00
OTU_10165	3.28E-04	0.00E+00	0.00E+00	1.07E-04	3.16E-06	0.00E+00	0.00E+00
OTU_10166	3.84E-04	0.00E+00	0.00E+00	7.84E-05	0.00E+00	0.00E+00	0.00E+00
OTU_10167	5.82E-04	0.00E+00	0.00E+00	3.23E-05	1.22E-05	0.00E+00	0.00E+00
OTU_10168	1.16E-04	0.00E+00	0.00E+00	3.27E-05	2.96E-05	0.00E+00	0.00E+00
OTU_10169	1.38E-04	0.00E+00	0.00E+00	5.67E-05	0.00E+00	0.00E+00	0.00E+00
OTU_1017	5.86E-04	9.44E-04	6.10E-05	2.09E-03	9.72E-03	6.47E-05	3.99E-06
OTU_10170	7.03E-04	0.00E+00	0.00E+00	1.84E-04	0.00E+00	0.00E+00	0.00E+00
OTU_10171	4.44E-05	0.00E+00	0.00E+00	9.71E-05	3.47E-05	0.00E+00	0.00E+00
OTU_10172	6.43E-05	0.00E+00	0.00E+00	1.94E-05	1.54E-05	0.00E+00	0.00E+00
OTU_10173	2.47E-04	0.00E+00	0.00E+00	3.51E-05	5.89E-06	0.00E+00	0.00E+00
OTU_10174	4.38E-05	0.00E+00	0.00E+00	6.63E-05	6.55E-05	0.00E+00	0.00E+00
OTU_10175	2.91E-04	0.00E+00	0.00E+00	5.72E-05	0.00E+00	0.00E+00	0.00E+00
OTU_10176	1.33E-04	0.00E+00	0.00E+00	4.70E-05	0.00E+00	0.00E+00	0.00E+00
OTU_10177	2.11E-04	1.26E-04	8.96E-06	4.31E-05	0.00E+00	0.00E+00	0.00E+00
OTU_10178	3.18E-04	0.00E+00	0.00E+00	4.68E-05	0.00E+00	0.00E+00	0.00E+00
OTU_10179	5.31E-04	0.00E+00	0.00E+00	3.81E-05	3.96E-06	0.00E+00	0.00E+00
OTU_1018	9.48E-02	5.74E-05	2.74E-05	3.10E-02	2.53E-03	9.08E-04	3.36E-06
OTU_10180	4.77E-04	1.14E-05	0.00E+00	9.26E-05	0.00E+00	0.00E+00	0.00E+00
OTU_10181	0.00E+00	1.53E-04	5.25E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00
OTU_10182	0.00E+00	1.88E-04	9.77E-05	0.00E+00	0.00E+00	0.00E+00	2.88E-06
OTU_10183	0.00E+00	1.31E-04	4.39E-06	2.61E-06	0.00E+00	0.00E+00	0.00E+00
OTU_10189	4.51E-05	2.74E-05	5.38E-05	2.09E-04	7.07E-05	3.58E-04	0.00E+00
OTU_1019	1.37E-03	3.54E-05	6.94E-05	1.34E-02	2.84E-03	4.96E-05	0.00E+00
OTU_102	8.08E-02	4.53E-04	1.19E-04	7.18E-02	2.32E-02	1.35E-04	1.15E-05
OTU_1020	4.55E-02	3.80E-05	3.52E-05	3.28E-02	2.63E-03	5.14E-04	2.91E-06
OTU_10200	6.72E-06	5.39E-03	3.17E-03	2.13E-05	5.28E-05	4.35E-05	0.00E+00
OTU_10203	0.00E+00	2.14E-06	4.73E-04	1.01E-05	1.14E-05	4.52E-04	0.00E+00
OTU_1021	2.63E-02	3.32E-06	1.61E-05	1.62E-02	4.29E-04	5.14E-06	3.60E-06
OTU_1022	2.13E-02	2.45E-05	2.38E-05	1.19E-02	3.52E-04	1.94E-03	0.00E+00
OTU_10220	0.00E+00	0.00E+00	3.50E-05	8.38E-06	0.00E+00	6.43E-04	0.00E+00
OTU_10221	0.00E+00	3.54E-05	7.22E-05	0.00E+00	0.00E+00	6.65E-06	0.00E+00
OTU_10224	6.88E-05	3.89E-04	1.64E-05	1.22E-04	7.77E-05	1.48E-04	0.00E+00
OTU_10225	0.00E+00	4.26E-05	1.23E-05	0.00E+00	0.00E+00	2.29E-03	6.81E-06
OTU_10226	0.00E+00	2.44E-06	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
OTU_10227	0.00E+00	1.53E-04	0.00E+00	3.06E-05	0.00E+00	0.00E+00	0.00E+00
OTU_10228	0.00E+00	1.53E-04	4.09E-05	5.68E-06	0.00E+00	3.17E-04	5.34E-06
OTU_10229	2.48E-05	0.00E+00	0.00E+00	6.77E-05	5.52E-05	0.00E+00	0.00E+00
OTU_1023	2.72E-02	5.63E-05	3.29E-05	2.00E-02	1.67E-03	1.38E-03	6.96E-06
OTU_10230	0.00E+00	0.00E+00	0.00E+00	2.40E-05	8.35E-05	0.00E+00	0.00E+00
OTU_10231	1.50E-04	3.40E-06	0.00E+00	4.80E-04	2.91E-04	0.00E+00	0.00E+00
OTU_10233	4.73E-03	4.01E-04	1.34E-04	4.69E-02	6.92E-02	3.61E-03	1.31E-04
OTU_10234	1.17E-04	7.85E-05	3.39E-05	2.67E-04	1.26E-03	6.30E-04	2.13E-05
OTU_10236	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.94E-06	0.00E+00	0.00E+00
OTU_10237	0.00E+00	0.00E+00	0.00E+00	6.97E-05	2.72E-05	0.00E+00	0.00E+00
OTU_10238	5.61E-05	0.00E+00	0.00E+00	3.04E-04	1.51E-04	0.00E+00	0.00E+00
OTU_10239	0.00E+00	0.00E+00	0.00E+00	1.29E-04	5.10E-05	0.00E+00	0.00E+00
OTU_1024	1.11E-02	7.23E-05	0.00E+00	6.21E-03	3.14E-04	4.39E-04	0.00E+00
OTU_10240	5.42E-05	0.00E+00	0.00E+00	3.80E-04	1.81E-04	2.97E-04	0.00E+00
OTU_10241	9.01E-06	1.85E-05	8.80E-06	2.68E-05	2.45E-05	1.71E-04	0.00E+00
OTU_10242	3.99E-05	0.00E+00	0.00E+00	1.08E-04	9.06E-05	0.00E+00	0.00E+00
OTU_10243	0.00E+00	0.00E+00	0.00E+00	1.01E-04	6.03E-05	0.00E+00	0.00E+00
OTU_10244	8.71E-05	5.15E-06	0.00E+00	8.63E-05	1.42E-05	4.14E-04	0.00E+00
OTU_10245	0.00E+00	0.00E+00	0.00E+00	1.48E-04	5.94E-06	0.00E+00	0.00E+00
OTU_10246	3.57E-06	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.97E-04	0.00E+00
OTU_10247	3.41E-05	2.34E-06	1.99E-05	1.00E-04	6.18E-05	7.17E-04	0.00E+00
OTU_10249	0.00E+00	6.02E-06	1.23E-06	0.00E+00	9.89E-06	1.86E-05	0.00E+00
OTU_1025	2.86E-03	8.79E-06	0.00E+00	7.73E-03	3.42E-03	8.98E-06	0.00E+00
OTU_10250	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.68E-04	0.00E+00
OTU_10251	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.03E-04	3.99E-06
OTU_10252	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.78E-04	0.00E+00
OTU_10253	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.21E-04	0.00E+00
OTU_10254	9.13E-06	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.90E-04	0.00E+00
OTU_10255	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	5.75E-04	0.00E+00
