	otu	otu_occ	otu_rel	fill
646	OTU_840	0.033333333	6.13E-07	Compartments
651	OTU_10567	0.033333333	1.16E-07	Compartments
655	OTU_939	0.033333333	1.51E-07	Compartments
663	OTU_13625	0.033333333	3.06E-07	Compartments
668	OTU_1664	0.033333333	1.97E-07	Compartments
671	OTU_8779	0.033333333	2.11E-07	Compartments
676	OTU_13717	0.033333333	1.91E-07	Compartments
678	OTU_9237	0.033333333	2.19E-07	Compartments
687	OTU_723	0.033333333	2.02E-07	Compartments
694	OTU_13738	0.033333333	1.76E-07	Compartments
695	OTU_8255	0.025	1.53E-06	Compartments
696	OTU_476	0.025	1.12E-06	Compartments
697	OTU_1539	0.025	1.13E-06	Compartments
698	OTU_3797	0.025	2.53E-06	Compartments
699	OTU_4089	0.025	9.45E-07	Compartments
700	OTU_2175	0.025	5.69E-07	Compartments
701	OTU_1284	0.025	3.28E-07	Compartments
703	OTU_515	0.025	2.05E-07	Compartments
704	OTU_2423	0.025	3.19E-07	Compartments
706	OTU_7488	0.025	3.97E-07	Compartments
708	OTU_3113	0.025	2.70E-07	Compartments
709	OTU_1527	0.025	1.31E-06	Compartments
713	OTU_1134	0.025	2.16E-07	Compartments
715	OTU_326	0.025	1.69E-07	Compartments
717	OTU_297	0.025	2.02E-07	Compartments
718	OTU_606	0.025	2.36E-07	Compartments
720	OTU_642	0.025	2.49E-07	Compartments
723	OTU_1391	0.025	7.44E-07	Compartments
724	OTU_3987	0.025	2.88E-07	Compartments
726	OTU_6146	0.025	1.90E-06	Compartments
727	OTU_129	0.025	2.88E-07	Compartments
730	OTU_173	0.025	1.58E-07	Compartments
731	OTU_130	0.025	1.94E-07	Compartments
732	OTU_186	0.025	1.92E-07	Compartments
734	OTU_396	0.025	2.31E-07	Compartments
735	OTU_144	0.025	1.99E-07	Compartments
736	OTU_239	0.025	3.19E-07	Compartments
742	OTU_895	0.025	2.01E-07	Compartments
745	OTU_390	0.025	1.83E-07	Compartments
746	OTU_677	0.025	1.75E-07	Compartments
748	OTU_6291	0.025	1.82E-07	Compartments
749	OTU_764	0.025	2.35E-07	Compartments
751	OTU_1121	0.025	7.16E-07	Compartments
753	OTU_1072	0.025	1.59E-07	Compartments
754	OTU_658	0.025	1.57E-07	Compartments
755	OTU_13371	0.025	2.16E-07	Compartments
758	OTU_2146	0.025	2.51E-07	Compartments
761	OTU_7800	0.025	2.88E-07	Compartments
771	OTU_2049	0.025	3.11E-07	Compartments
775	OTU_1650	0.025	1.44E-07	Compartments
776	OTU_12432	0.025	9.17E-08	Compartments
779	OTU_10945	0.025	5.26E-07	Compartments
788	OTU_238	0.025	1.19E-07	Compartments
255	OTU_114	0.025	1.72E-07	Compartments
281	OTU_166	0.025	1.67E-07	Compartments
283	OTU_154	0.025	1.18E-07	Compartments
289	OTU_93	0.025	1.38E-07	Compartments
300	OTU_269	0.025	1.69E-07	Compartments
323	OTU_651	0.025	1.05E-07	Compartments
331	OTU_203	0.025	8.95E-08	Compartments
343	OTU_493	0.025	9.99E-08	Compartments
356	OTU_955	0.025	1.62E-07	Compartments
426	OTU_691	0.025	1.08E-07	Compartments
448	OTU_7819	0.025	8.07E-08	Compartments
451	OTU_289	0.025	9.19E-08	Compartments
455	OTU_310	0.025	1.13E-07	Compartments
498	OTU_233	0.025	3.02E-07	Compartments
526	OTU_3555	0.025	1.06E-07	Compartments
529	OTU_12512	0.025	1.19E-07	Compartments
570	OTU_146	0.025	8.11E-08	Compartments
578	OTU_825	0.025	9.73E-08	Compartments
581	OTU_268	0.025	9.31E-08	Compartments
582	OTU_343	0.025	1.21E-07	Compartments
591	OTU_5863	0.025	1.78E-07	Compartments
599	OTU_630	0.025	1.63E-07	Compartments
608	OTU_1009	0.025	1.03E-07	Compartments
613	OTU_11456	0.025	2.05E-07	Compartments
631	OTU_1108	0.025	1.64E-07	Compartments
647	OTU_344	0.025	1.70E-07	Compartments
653	OTU_355	0.025	1.13E-07	Compartments
654	OTU_10292	0.025	1.45E-07	Compartments
662	OTU_246	0.025	9.31E-08	Compartments
666	OTU_415	0.025	8.13E-08	Compartments
669	OTU_501	0.025	1.09E-07	Compartments
680	OTU_969	0.025	9.96E-08	Compartments
686	OTU_914	0.025	1.10E-07	Compartments
688	OTU_650	0.025	8.12E-08	Compartments
692	OTU_2044	0.025	1.74E-07	Compartments
702	OTU_416	0.025	1.44E-07	Compartments
705	OTU_1364	0.025	1.15E-07	Compartments
710	OTU_1529	0.025	2.09E-07	Compartments
711	OTU_791	0.025	1.29E-07	Compartments
716	OTU_625	0.025	2.07E-07	Compartments
719	OTU_12316	0.025	1.46E-07	Compartments
722	OTU_270	0.025	1.01E-07	Compartments
725	OTU_5586	0.025	1.35E-07	Compartments
728	OTU_963	0.025	1.09E-07	Compartments
729	OTU_1053	0.025	2.09E-07	Compartments
733	OTU_5571	0.025	1.19E-07	Compartments
738	OTU_1200	0.025	1.27E-07	Compartments
740	OTU_2478	0.025	1.78E-07	Compartments
744	OTU_3403	0.025	1.13E-07	Compartments
750	OTU_2714	0.025	1.30E-07	Compartments
756	OTU_611	0.025	9.88E-08	Compartments
757	OTU_1744	0.025	1.83E-07	Compartments
759	OTU_6762	0.025	7.13E-08	Compartments
763	OTU_444	0.025	1.33E-07	Compartments
767	OTU_9236	0.025	1.43E-07	Compartments
777	OTU_1547	0.025	2.58E-07	Compartments
778	OTU_2530	0.025	1.49E-07	Compartments
780	OTU_11529	0.025	1.42E-07	Compartments
783	OTU_2206	0.025	1.35E-07	Compartments
784	OTU_280	0.025	1.38E-07	Compartments
787	OTU_417	0.025	1.76E-07	Compartments
789	OTU_13347	0.025	7.00E-08	Compartments
790	OTU_483	0.025	1.78E-07	Compartments
791	OTU_10041	0.025	1.70E-07	Compartments
792	OTU_11405	0.025	1.52E-07	Compartments
793	OTU_5029	0.025	2.18E-07	Compartments
794	OTU_10234	0.025	2.13E-07	Compartments
797	OTU_3798	0.025	1.38E-07	Compartments
798	OTU_6035	0.025	1.95E-07	Compartments
799	OTU_152	0.016666667	6.40E-07	Compartments
800	OTU_3178	0.016666667	4.85E-07	Compartments
802	OTU_2419	0.016666667	5.51E-07	Compartments
803	OTU_223	0.016666667	4.44E-07	Compartments
804	OTU_2682	0.016666667	2.51E-07	Compartments
805	OTU_553	0.016666667	9.63E-07	Compartments
807	OTU_4062	0.016666667	7.83E-07	Compartments
808	OTU_2302	0.016666667	4.22E-07	Compartments
809	OTU_3518	0.016666667	4.54E-07	Compartments
810	OTU_216	0.016666667	1.56E-07	Compartments
811	OTU_819	0.016666667	8.70E-07	Compartments
814	OTU_1305	0.016666667	5.29E-07	Compartments
815	OTU_7760	0.016666667	4.23E-07	Compartments
816	OTU_133	0.016666667	3.02E-07	Compartments
818	OTU_3775	0.016666667	1.28E-07	Compartments
819	OTU_898	0.016666667	2.71E-07	Compartments
820	OTU_13359	0.016666667	3.77E-07	Compartments
821	OTU_8451	0.016666667	8.05E-07	Compartments
823	OTU_157	0.016666667	2.59E-07	Compartments
824	OTU_241	0.016666667	9.79E-08	Compartments
827	OTU_1984	0.016666667	9.02E-08	Compartments
828	OTU_340	0.016666667	1.50E-07	Compartments
829	OTU_3256	0.016666667	2.12E-07	Compartments
831	OTU_1185	0.016666667	2.66E-07	Compartments
832	OTU_227	0.016666667	7.20E-08	Compartments
834	OTU_1252	0.016666667	2.24E-07	Compartments
835	OTU_215	0.016666667	8.78E-08	Compartments
836	OTU_428	0.016666667	7.36E-08	Compartments
837	OTU_11979	0.016666667	9.13E-08	Compartments
840	OTU_1046	0.016666667	1.55E-07	Compartments
841	OTU_1976	0.016666667	1.79E-06	Compartments
842	OTU_1279	0.016666667	1.45E-07	Compartments
843	OTU_3226	0.016666667	2.54E-07	Compartments
847	OTU_12399	0.016666667	1.74E-07	Compartments
848	OTU_3330	0.016666667	1.87E-07	Compartments
851	OTU_2549	0.016666667	2.00E-07	Compartments
854	OTU_8761	0.016666667	1.15E-07	Compartments
855	OTU_633	0.016666667	3.58E-07	Compartments
856	OTU_109	0.016666667	9.65E-08	Compartments
860	OTU_124	0.016666667	1.30E-07	Compartments
861	OTU_219	0.016666667	6.88E-07	Compartments
863	OTU_198	0.016666667	1.40E-07	Compartments
868	OTU_149	0.016666667	1.21E-06	Compartments
870	OTU_325	0.016666667	1.46E-07	Compartments
871	OTU_322	0.016666667	6.09E-08	Compartments
872	OTU_470	0.016666667	1.34E-07	Compartments
874	OTU_288	0.016666667	8.19E-08	Compartments
875	OTU_735	0.016666667	1.07E-07	Compartments
878	OTU_9157	0.016666667	1.86E-07	Compartments
881	OTU_1453	0.016666667	6.23E-08	Compartments
883	OTU_1035	0.016666667	2.67E-07	Compartments
884	OTU_568	0.016666667	3.44E-08	Compartments
885	OTU_688	0.016666667	1.72E-07	Compartments
886	OTU_1465	0.016666667	1.87E-07	Compartments
889	OTU_634	0.016666667	1.59E-07	Compartments
890	OTU_7668	0.016666667	2.35E-07	Compartments
895	OTU_12643	0.016666667	1.34E-07	Compartments
896	OTU_3787	0.016666667	7.39E-08	Compartments
897	OTU_13587	0.016666667	1.60E-07	Compartments
899	OTU_1318	0.016666667	4.58E-07	Compartments
900	OTU_12993	0.016666667	3.89E-08	Compartments
904	OTU_1998	0.016666667	8.39E-08	Compartments
906	OTU_3371	0.016666667	3.15E-07	Compartments
908	OTU_8641	0.016666667	1.75E-07	Compartments
911	OTU_89	0.016666667	6.61E-08	Compartments
912	OTU_75	0.016666667	1.42E-07	Compartments
913	OTU_148	0.016666667	6.68E-08	Compartments
914	OTU_279	0.016666667	1.05E-07	Compartments
915	OTU_125	0.016666667	5.51E-08	Compartments
917	OTU_177	0.016666667	7.49E-08	Compartments
918	OTU_250	0.016666667	6.93E-08	Compartments
922	OTU_123	0.016666667	7.54E-08	Compartments
923	OTU_174	0.016666667	8.61E-08	Compartments
313	OTU_272	0.016666667	4.93E-08	Compartments
349	OTU_235	0.016666667	1.49E-07	Compartments
372	OTU_193	0.016666667	8.22E-08	Compartments
395	OTU_208	0.016666667	9.28E-08	Compartments
398	OTU_175	0.016666667	9.44E-08	Compartments
417	OTU_181	0.016666667	1.23E-07	Compartments
428	OTU_359	0.016666667	4.54E-08	Compartments
445	OTU_3432	0.016666667	8.51E-08	Compartments
454	OTU_179	0.016666667	8.54E-08	Compartments
490	OTU_541	0.016666667	7.99E-08	Compartments
511	OTU_711	0.016666667	7.75E-08	Compartments
519	OTU_9094	0.016666667	6.70E-08	Compartments
530	OTU_263	0.016666667	7.99E-08	Compartments
556	OTU_3193	0.016666667	7.36E-08	Compartments
583	OTU_232	0.016666667	8.49E-08	Compartments
588	OTU_402	0.016666667	1.71E-07	Compartments
600	OTU_465	0.016666667	4.37E-08	Compartments
602	OTU_336	0.016666667	1.22E-07	Compartments
616	OTU_8746	0.016666667	7.41E-08	Compartments
620	OTU_102	0.016666667	1.15E-07	Compartments
633	OTU_189	0.016666667	1.30E-07	Compartments
639	OTU_478	0.016666667	8.58E-08	Compartments
650	OTU_401	0.016666667	9.87E-08	Compartments
667	OTU_1214	0.016666667	1.00E-07	Compartments
672	OTU_573	0.016666667	8.69E-08	Compartments
681	OTU_8223	0.016666667	1.79E-07	Compartments
682	OTU_957	0.016666667	8.09E-08	Compartments
684	OTU_2011	0.016666667	1.00E-07	Compartments
690	OTU_679	0.016666667	1.38E-07	Compartments
691	OTU_8479	0.016666667	7.28E-08	Compartments
693	OTU_2340	0.016666667	1.10E-07	Compartments
707	OTU_666	0.016666667	1.12E-07	Compartments
714	OTU_395	0.016666667	5.45E-08	Compartments
721	OTU_460	0.016666667	7.30E-08	Compartments
739	OTU_9008	0.016666667	4.64E-08	Compartments
741	OTU_356	0.016666667	1.83E-07	Compartments
743	OTU_1991	0.016666667	7.20E-08	Compartments
752	OTU_896	0.016666667	1.21E-07	Compartments
764	OTU_7157	0.016666667	7.52E-08	Compartments
765	OTU_2460	0.016666667	3.21E-08	Compartments
766	OTU_337	0.016666667	9.89E-08	Compartments
770	OTU_435	0.016666667	5.85E-08	Compartments
772	OTU_317	0.016666667	8.84E-08	Compartments
781	OTU_525	0.016666667	1.29E-07	Compartments
782	OTU_448	0.016666667	1.23E-07	Compartments
786	OTU_830	0.016666667	1.05E-07	Compartments
795	OTU_1273	0.016666667	1.02E-07	Compartments
796	OTU_4532	0.016666667	2.19E-07	Compartments
801	OTU_349	0.016666667	8.62E-08	Compartments
806	OTU_681	0.016666667	1.72E-07	Compartments
813	OTU_8012	0.016666667	4.83E-08	Compartments
817	OTU_3138	0.016666667	8.92E-08	Compartments
825	OTU_8037	0.016666667	9.48E-08	Compartments
830	OTU_4091	0.016666667	6.42E-08	Compartments
833	OTU_8483	0.016666667	1.09E-07	Compartments
839	OTU_1208	0.016666667	1.77E-07	Compartments
844	OTU_6197	0.016666667	1.24E-07	Compartments
845	OTU_3250	0.016666667	1.25E-07	Compartments
846	OTU_907	0.016666667	5.20E-08	Compartments
849	OTU_2410	0.016666667	9.28E-08	Compartments
850	OTU_445	0.016666667	6.07E-08	Compartments
853	OTU_410	0.016666667	1.53E-07	Compartments
857	OTU_1868	0.016666667	5.87E-08	Compartments
858	OTU_12688	0.016666667	7.43E-08	Compartments
859	OTU_521	0.016666667	7.15E-08	Compartments
862	OTU_2445	0.016666667	3.89E-08	Compartments
865	OTU_1291	0.016666667	8.75E-08	Compartments
867	OTU_8908	0.016666667	1.85E-07	Compartments
869	OTU_770	0.016666667	1.21E-07	Compartments
876	OTU_974	0.016666667	1.20E-07	Compartments
879	OTU_2429	0.016666667	5.03E-08	Compartments
892	OTU_2569	0.016666667	5.73E-08	Compartments
894	OTU_507	0.016666667	5.67E-08	Compartments
898	OTU_429	0.016666667	1.43E-07	Compartments
902	OTU_432	0.016666667	6.61E-08	Compartments
910	OTU_499	0.016666667	3.14E-08	Compartments
916	OTU_1026	0.016666667	4.48E-08	Compartments
919	OTU_5448	0.016666667	6.01E-07	Compartments
920	OTU_1668	0.016666667	1.46E-07	Compartments
921	OTU_868	0.016666667	8.30E-08	Compartments
926	OTU_1858	0.016666667	4.01E-08	Compartments
927	OTU_1174	0.016666667	8.32E-08	Compartments
928	OTU_1142	0.016666667	8.38E-08	Compartments
929	OTU_147	0.016666667	1.15E-07	Compartments
930	OTU_2030	0.016666667	4.52E-08	Compartments
931	OTU_1434	0.016666667	1.11E-07	Compartments
932	OTU_766	0.016666667	4.11E-08	Compartments
933	OTU_827	0.016666667	5.31E-08	Compartments
934	OTU_1608	0.016666667	7.36E-08	Compartments
936	OTU_1218	0.016666667	8.33E-08	Compartments
937	OTU_520	0.016666667	7.61E-08	Compartments
938	OTU_2292	0.016666667	8.97E-08	Compartments
939	OTU_1644	0.016666667	5.75E-08	Compartments
941	OTU_360	0.016666667	6.51E-08	Compartments
942	OTU_2474	0.016666667	1.32E-07	Compartments
943	OTU_834	0.016666667	1.84E-07	Compartments
944	OTU_7669	0.016666667	1.38E-07	Compartments
945	OTU_1294	0.016666667	5.41E-08	Compartments
946	OTU_929	0.016666667	5.37E-08	Compartments
947	OTU_10883	0.016666667	5.49E-08	Compartments
948	OTU_2827	0.016666667	5.99E-08	Compartments
949	OTU_2104	0.016666667	1.81E-07	Compartments
950	OTU_2524	0.016666667	1.07E-07	Compartments
951	OTU_1772	0.016666667	7.02E-08	Compartments
952	OTU_1085	0.016666667	5.21E-08	Compartments
953	OTU_1081	0.016666667	1.19E-07	Compartments
954	OTU_2901	0.016666667	1.09E-07	Compartments
955	OTU_4291	0.016666667	1.06E-07	Compartments
956	OTU_1267	0.016666667	5.27E-08	Compartments
957	OTU_817	0.016666667	9.09E-08	Compartments
958	OTU_1723	0.016666667	6.51E-08	Compartments
959	OTU_3520	0.016666667	1.53E-07	Compartments
960	OTU_4253	0.016666667	1.03E-07	Compartments
961	OTU_6952	0.016666667	1.35E-07	Compartments
962	OTU_1978	0.016666667	7.28E-08	Compartments
963	OTU_1078	0.016666667	7.87E-08	Compartments
964	OTU_8625	0.016666667	6.62E-08	Compartments
966	OTU_5575	0.016666667	8.65E-08	Compartments
967	OTU_11632	0.016666667	1.14E-07	Compartments
968	OTU_1487	0.016666667	5.80E-08	Compartments
969	OTU_1097	0.016666667	1.39E-07	Compartments
971	OTU_3154	0.016666667	4.06E-08	Compartments
972	OTU_4294	0.016666667	6.47E-08	Compartments
973	OTU_11399	0.016666667	1.05E-07	Compartments
974	OTU_10979	0.016666667	9.20E-08	Compartments
975	OTU_734	0.016666667	8.26E-08	Compartments
976	OTU_6097	0.016666667	6.66E-08	Compartments
977	OTU_1667	0.016666667	1.28E-07	Compartments
978	OTU_4318	0.016666667	1.20E-07	Compartments
979	OTU_3556	0.016666667	9.66E-08	Compartments
980	OTU_2041	0.016666667	1.92E-07	Compartments
981	OTU_3855	0.016666667	6.30E-08	Compartments
982	OTU_10894	0.016666667	3.75E-08	Compartments
983	OTU_8351	0.016666667	8.85E-08	Compartments
984	OTU_1173	0.016666667	1.32E-07	Compartments
985	OTU_3291	0.016666667	9.49E-08	Compartments
986	OTU_5185	0.016666667	1.11E-07	Compartments
987	OTU_9968	0.016666667	7.67E-08	Compartments
988	OTU_253	0.008333333	2.20E-06	Compartments
989	OTU_3915	0.008333333	1.69E-07	Compartments
990	OTU_8984	0.008333333	1.69E-07	Compartments
991	OTU_195	0.008333333	1.35E-07	Compartments
992	OTU_717	0.008333333	1.35E-07	Compartments
993	OTU_569	0.008333333	1.35E-07	Compartments
994	OTU_8904	0.008333333	3.76E-07	Compartments
995	OTU_2949	0.008333333	1.57E-07	Compartments
996	OTU_3777	0.008333333	8.44E-08	Compartments
997	OTU_1075	0.008333333	2.51E-07	Compartments
1000	OTU_977	0.008333333	2.05E-07	Compartments
1001	OTU_1339	0.008333333	5.93E-08	Compartments
1004	OTU_1479	0.008333333	5.99E-08	Compartments
1005	OTU_9998	0.008333333	5.99E-08	Compartments
1008	OTU_2882	0.008333333	5.93E-08	Compartments
1011	OTU_2243	0.008333333	5.93E-08	Compartments
1012	OTU_9427	0.008333333	2.51E-07	Compartments
1013	OTU_303	0.008333333	1.54E-07	Compartments
1014	OTU_204	0.008333333	5.67E-08	Compartments
1015	OTU_477	0.008333333	1.56E-07	Compartments
1016	OTU_600	0.008333333	1.09E-07	Compartments
1017	OTU_5160	0.008333333	1.54E-07	Compartments
1018	OTU_8327	0.008333333	9.42E-08	Compartments
1019	OTU_9119	0.008333333	1.14E-07	Compartments
1020	OTU_1486	0.008333333	2.00E-07	Compartments
1021	OTU_11082	0.008333333	9.42E-08	Compartments
1022	OTU_1625	0.008333333	1.09E-07	Compartments
1023	OTU_13427	0.008333333	2.00E-07	Compartments
1024	OTU_3234	0.008333333	1.38E-08	Compartments
1025	OTU_2376	0.008333333	5.07E-08	Compartments
1026	OTU_2948	0.008333333	6.81E-08	Compartments
1027	OTU_168	0.008333333	1.03E-07	Compartments
1030	OTU_190	0.008333333	1.35E-07	Compartments
1031	OTU_262	0.008333333	1.03E-07	Compartments
1032	OTU_497	0.008333333	7.41E-08	Compartments
1033	OTU_13045	0.008333333	1.34E-07	Compartments
1035	OTU_354	0.008333333	1.03E-07	Compartments
1036	OTU_2925	0.008333333	1.40E-07	Compartments
1037	OTU_869	0.008333333	1.98E-07	Compartments
1038	OTU_2571	0.008333333	4.57E-07	Compartments
1039	OTU_726	0.008333333	3.46E-08	Compartments
1042	OTU_787	0.008333333	8.64E-08	Compartments
1043	OTU_1686	0.008333333	5.90E-08	Compartments
1044	OTU_1726	0.008333333	2.96E-08	Compartments
1045	OTU_3776	0.008333333	1.37E-07	Compartments
1046	OTU_1162	0.008333333	9.06E-08	Compartments
1047	OTU_3344	0.008333333	1.77E-07	Compartments
1048	OTU_2970	0.008333333	1.43E-07	Compartments
1049	OTU_4859	0.008333333	1.75E-07	Compartments
1050	OTU_13067	0.008333333	2.23E-07	Compartments
1051	OTU_2022	0.008333333	2.29E-07	Compartments
1052	OTU_7850	0.008333333	5.05E-08	Compartments
1054	OTU_2822	0.008333333	1.06E-07	Compartments
1055	OTU_3663	0.008333333	7.98E-08	Compartments
1056	OTU_4463	0.008333333	1.18E-07	Compartments
1057	OTU_11400	0.008333333	1.04E-07	Compartments
1058	OTU_51	0.008333333	7.63E-08	Compartments
1059	OTU_127	0.008333333	2.27E-08	Compartments
1060	OTU_138	0.008333333	4.08E-08	Compartments
1061	OTU_220	0.008333333	7.36E-08	Compartments
1063	OTU_113	0.008333333	4.59E-09	Compartments
1065	OTU_6046	0.008333333	8.79E-08	Compartments
1066	OTU_210	0.008333333	2.76E-08	Compartments
1069	OTU_293	0.008333333	2.76E-08	Compartments
1070	OTU_419	0.008333333	2.71E-08	Compartments
1072	OTU_1556	0.008333333	6.74E-08	Compartments
1073	OTU_117	0.008333333	4.32E-08	Compartments
1074	OTU_188	0.008333333	1.11E-07	Compartments
1075	OTU_1107	0.008333333	3.99E-08	Compartments
1076	OTU_294	0.008333333	2.88E-08	Compartments
1077	OTU_2747	0.008333333	2.76E-08	Compartments
1079	OTU_8416	0.008333333	5.88E-08	Compartments
1080	OTU_3491	0.008333333	3.71E-08	Compartments
1081	OTU_245	0.008333333	9.92E-08	Compartments
1082	OTU_276	0.008333333	4.32E-08	Compartments
1083	OTU_116	0.008333333	2.76E-08	Compartments
1084	OTU_530	0.008333333	4.53E-08	Compartments
1085	OTU_259	0.008333333	7.36E-08	Compartments
1086	OTU_191	0.008333333	5.27E-08	Compartments
1088	OTU_519	0.008333333	3.38E-08	Compartments
1089	OTU_312	0.008333333	3.53E-08	Compartments
1090	OTU_277	0.008333333	3.79E-08	Compartments
1091	OTU_612	0.008333333	2.76E-08	Compartments
1092	OTU_13154	0.008333333	2.68E-08	Compartments
1093	OTU_1320	0.008333333	6.84E-08	Compartments
1096	OTU_267	0.008333333	2.76E-08	Compartments
1097	OTU_698	0.008333333	8.77E-08	Compartments
1099	OTU_281	0.008333333	2.88E-08	Compartments
1100	OTU_4356	0.008333333	2.97E-08	Compartments
1101	OTU_261	0.008333333	5.13E-08	Compartments
1104	OTU_1189	0.008333333	1.19E-07	Compartments
1105	OTU_407	0.008333333	2.76E-08	Compartments
1107	OTU_11140	0.008333333	8.17E-08	Compartments
1109	OTU_10805	0.008333333	5.13E-08	Compartments
1110	OTU_358	0.008333333	4.63E-08	Compartments
1111	OTU_8191	0.008333333	3.79E-08	Compartments
1112	OTU_516	0.008333333	6.52E-08	Compartments
1114	OTU_1797	0.008333333	5.38E-08	Compartments
1115	OTU_2690	0.008333333	6.99E-08	Compartments
1116	OTU_229	0.008333333	4.59E-09	Compartments
1120	OTU_1061	0.008333333	5.13E-08	Compartments
1122	OTU_382	0.008333333	5.13E-08	Compartments
1123	OTU_324	0.008333333	8.77E-08	Compartments
1126	OTU_224	0.008333333	7.36E-08	Compartments
1127	OTU_12249	0.008333333	2.52E-08	Compartments
1128	OTU_366	0.008333333	4.59E-09	Compartments
1129	OTU_430	0.008333333	4.48E-08	Compartments
1130	OTU_1018	0.008333333	3.36E-08	Compartments
1132	OTU_833	0.008333333	1.48E-08	Compartments
1133	OTU_484	0.008333333	5.13E-08	Compartments
1134	OTU_1480	0.008333333	5.21E-08	Compartments
1136	OTU_1177	0.008333333	1.04E-07	Compartments
1137	OTU_1012	0.008333333	2.62E-08	Compartments
1138	OTU_3130	0.008333333	1.48E-08	Compartments
290	OTU_903	0.008333333	5.13E-08	Compartments
333	OTU_1143	0.008333333	4.04E-08	Compartments
423	OTU_13235	0.008333333	3.79E-08	Compartments
489	OTU_1684	0.008333333	1.48E-08	Compartments
491	OTU_1124	0.008333333	3.99E-08	Compartments
492	OTU_2365	0.008333333	3.99E-08	Compartments
496	OTU_6780	0.008333333	3.16E-08	Compartments
534	OTU_1629	0.008333333	2.76E-08	Compartments
541	OTU_199	0.008333333	5.29E-08	Compartments
547	OTU_453	0.008333333	5.39E-08	Compartments
552	OTU_1202	0.008333333	3.79E-08	Compartments
555	OTU_339	0.008333333	1.04E-07	Compartments
580	OTU_941	0.008333333	2.76E-08	Compartments
610	OTU_798	0.008333333	4.08E-08	Compartments
621	OTU_427	0.008333333	3.60E-08	Compartments
622	OTU_1207	0.008333333	2.76E-08	Compartments
656	OTU_809	0.008333333	6.27E-08	Compartments
661	OTU_864	0.008333333	6.99E-08	Compartments
683	OTU_9765	0.008333333	8.24E-08	Compartments
685	OTU_584	0.008333333	1.15E-07	Compartments
712	OTU_372	0.008333333	2.62E-08	Compartments
737	OTU_472	0.008333333	5.99E-08	Compartments
747	OTU_369	0.008333333	1.23E-07	Compartments
760	OTU_500	0.008333333	2.52E-08	Compartments
762	OTU_1427	0.008333333	3.36E-08	Compartments
768	OTU_526	0.008333333	3.04E-08	Compartments
769	OTU_9225	0.008333333	4.61E-08	Compartments
773	OTU_12662	0.008333333	4.63E-08	Compartments
774	OTU_609	0.008333333	1.48E-08	Compartments
785	OTU_315	0.008333333	1.04E-07	Compartments
812	OTU_387	0.008333333	6.33E-08	Compartments
822	OTU_10663	0.008333333	3.35E-08	Compartments
826	OTU_518	0.008333333	4.84E-08	Compartments
838	OTU_603	0.008333333	4.63E-08	Compartments
852	OTU_795	0.008333333	1.23E-07	Compartments
864	OTU_1020	0.008333333	2.91E-08	Compartments
866	OTU_504	0.008333333	3.36E-08	Compartments
873	OTU_12004	0.008333333	3.53E-08	Compartments
877	OTU_9020	0.008333333	1.69E-08	Compartments
880	OTU_802	0.008333333	4.32E-08	Compartments
882	OTU_13191	0.008333333	2.62E-08	Compartments
887	OTU_455	0.008333333	3.36E-08	Compartments
888	OTU_3630	0.008333333	5.13E-08	Compartments
891	OTU_495	0.008333333	5.20E-08	Compartments
893	OTU_5340	0.008333333	2.68E-08	Compartments
901	OTU_1190	0.008333333	3.79E-08	Compartments
903	OTU_940	0.008333333	4.02E-08	Compartments
905	OTU_292	0.008333333	3.35E-08	Compartments
907	OTU_769	0.008333333	2.71E-08	Compartments
909	OTU_9367	0.008333333	7.15E-08	Compartments
924	OTU_2253	0.008333333	4.04E-08	Compartments
925	OTU_542	0.008333333	1.48E-08	Compartments
935	OTU_13118	0.008333333	4.53E-08	Compartments
940	OTU_12754	0.008333333	2.88E-08	Compartments
965	OTU_1157	0.008333333	6.68E-08	Compartments
970	OTU_3800	0.008333333	4.08E-08	Compartments
998	OTU_724	0.008333333	8.24E-08	Compartments
999	OTU_1847	0.008333333	5.20E-08	Compartments
1002	OTU_970	0.008333333	6.85E-08	Compartments
1003	OTU_1593	0.008333333	2.27E-08	Compartments
1006	OTU_502	0.008333333	1.48E-08	Compartments
1007	OTU_4867	0.008333333	1.49E-07	Compartments
1009	OTU_13418	0.008333333	3.75E-08	Compartments
1010	OTU_623	0.008333333	4.02E-08	Compartments
1028	OTU_5371	0.008333333	3.99E-08	Compartments
1029	OTU_796	0.008333333	3.99E-08	Compartments
1034	OTU_2250	0.008333333	2.97E-08	Compartments
1040	OTU_1193	0.008333333	7.63E-08	Compartments
1041	OTU_1530	0.008333333	1.04E-07	Compartments
1053	OTU_922	0.008333333	3.33E-08	Compartments
1062	OTU_2606	0.008333333	6.74E-08	Compartments
1064	OTU_6857	0.008333333	5.13E-08	Compartments
1067	OTU_849	0.008333333	3.79E-08	Compartments
1068	OTU_1067	0.008333333	4.53E-08	Compartments
1071	OTU_627	0.008333333	6.68E-08	Compartments
1078	OTU_7838	0.008333333	5.38E-08	Compartments
1087	OTU_1069	0.008333333	3.38E-08	Compartments
1094	OTU_1023	0.008333333	6.96E-08	Compartments
1095	OTU_597	0.008333333	4.63E-08	Compartments
1098	OTU_1497	0.008333333	4.04E-08	Compartments
1102	OTU_1276	0.008333333	3.38E-08	Compartments
1103	OTU_8577	0.008333333	6.85E-08	Compartments
1106	OTU_564	0.008333333	2.71E-08	Compartments
