	otu	otu_occ	otu_rel
143	OTU_3674	0.333333333	8.597175e-06
144	OTU_92	0.666666667	1.001730e-05
145	OTU_79	0.425000000	1.177494e-05
146	OTU_137	0.275000000	1.250573e-05
147	OTU_46	0.558333333	8.222934e-06
148	OTU_9921	0.700000000	1.015291e-05
149	OTU_2792	0.641666667	9.598241e-06
150	OTU_5916	0.591666667	9.361585e-06
151	OTU_6997	0.625000000	9.209337e-06
152	OTU_6074	0.516666667	8.193165e-06
153	OTU_1575	0.150000000	1.093634e-05
154	OTU_76	0.208333333	6.409423e-06
155	OTU_185	0.383333333	7.989265e-06
156	OTU_13079	0.258333333	1.032909e-05
157	OTU_13784	0.241666667	1.099495e-05
158	OTU_247	0.275000000	6.072157e-06
159	OTU_29	0.458333333	7.363289e-06
160	OTU_11053	0.100000000	7.508668e-06
161	OTU_4691	0.433333333	1.414525e-05
162	OTU_112	0.450000000	9.108078e-06
163	OTU_1402	0.241666667	9.155065e-06
164	OTU_5503	0.258333333	1.038675e-05
165	OTU_645	0.133333333	8.159581e-06
166	OTU_656	0.200000000	1.527281e-05
167	OTU_712	0.316666667	9.879728e-06
168	OTU_1331	0.158333333	4.780799e-06
169	OTU_155	0.450000000	8.027476e-06
170	OTU_386	0.058333333	4.851923e-06
171	OTU_4102	0.208333333	8.041288e-06
172	OTU_60	0.383333333	6.179030e-06
173	OTU_652	0.250000000	7.259296e-06
174	OTU_305	0.216666667	6.176146e-06
175	OTU_308	0.466666667	6.307729e-06
176	OTU_35	0.500000000	5.692789e-06
177	OTU_983	0.150000000	6.839013e-06
178	OTU_283	0.125000000	4.041515e-06
179	OTU_1853	0.291666667	7.370098e-06
180	OTU_10610	0.175000000	7.356084e-06
181	OTU_1247	0.091666667	4.910483e-06
182	OTU_6292	0.225000000	4.479792e-06
183	OTU_64	0.458333333	4.440872e-06
184	OTU_962	0.391666667	5.094116e-06
185	OTU_8772	0.308333333	4.329554e-06
186	OTU_489	0.266666667	8.470722e-06
187	OTU_13728	0.158333333	4.002063e-06
188	OTU_4742	0.350000000	4.346916e-06
189	OTU_1158	0.183333333	3.527204e-06
190	OTU_732	0.141666667	6.049659e-06
191	OTU_11888	0.141666667	3.755563e-06
192	OTU_2833	0.200000000	4.733703e-06
193	OTU_348	0.333333333	3.724887e-06
194	OTU_10963	0.308333333	3.925425e-06
195	OTU_96	0.233333333	3.762341e-06
196	OTU_88	0.458333333	4.203307e-06
197	OTU_1311	0.291666667	5.322602e-06
198	OTU_8592	0.425000000	3.753268e-06
199	OTU_1519	0.341666667	4.484532e-06
200	OTU_2486	0.258333333	6.220058e-06
201	OTU_446	0.225000000	4.679198e-06
202	OTU_3243	0.241666667	5.029729e-06
203	OTU_12278	0.425000000	3.607234e-06
204	OTU_11740	0.275000000	4.392363e-06
205	OTU_615	0.175000000	6.712375e-06
206	OTU_11742	0.425000000	3.702972e-06
207	OTU_209	0.425000000	5.294459e-06
208	OTU_145	0.225000000	3.148263e-06
209	OTU_47	0.433333333	3.904044e-06
210	OTU_11875	0.350000000	4.423337e-06
211	OTU_436	0.141666667	2.937495e-06
212	OTU_40	0.400000000	4.390268e-06
213	OTU_3110	0.391666667	4.053402e-06
214	OTU_329	0.266666667	3.818752e-06
215	OTU_2353	0.183333333	3.713478e-06
216	OTU_2469	0.375000000	4.053325e-06
217	OTU_309	0.100000000	2.402791e-06
218	OTU_12447	0.308333333	2.993862e-06
219	OTU_2245	0.166666667	4.061908e-06
220	OTU_8312	0.200000000	3.193625e-06
221	OTU_12428	0.266666667	5.374660e-06
222	OTU_901	0.108333333	3.430619e-06
223	OTU_23	0.350000000	3.065028e-06
224	OTU_67	0.341666667	3.746743e-06
225	OTU_11823	0.358333333	3.505771e-06
226	OTU_6491	0.141666667	3.474097e-06
227	OTU_2831	0.041666667	4.338262e-06
228	OTU_33	0.275000000	3.005422e-06
229	OTU_731	0.325000000	2.990862e-06
230	OTU_12363	0.316666667	2.757954e-06
231	OTU_6075	0.075000000	1.484330e-06
232	OTU_43	0.308333333	2.485752e-06
233	OTU_5190	0.283333333	2.302801e-06
234	OTU_931	0.125000000	3.237959e-06
235	OTU_376	0.241666667	3.727719e-06
236	OTU_3010	0.141666667	2.312194e-06
237	OTU_7572	0.050000000	3.024556e-06
