	XEQYCK1	XEQYCK4	XEQYCK5	XEQYCK6	XEQYCK7	XEQYCK8	XEQYCK9	XEQYNPK1	XEQYNPK2	XEQYNPK4	XEQYNPK6	XEQYNPK7	XEQYNPK8	XEQYNPK9	XEQYNPKM1	XEQYNPKM2	XEQYNPKM3	XEQYNPKM4	XEQYNPKM5	XEQYNPKM6	XEQYNPKM7	XEQYNPKM8	XEQYNPKM9	XEYCCK1	XEYCCK2	XEYCCK3	XEYCCK4	XEYCCK5	XEYCCK6	XEYCCK7	XEYCCK8	XEYCCK9	XEYCNPK1	XEYCNPK2	XEYCNPK3	XEYCNPK4	XEYCNPK5	XEYCNPK6	XEYCNPK7	XEYCNPK8	XEYCNPK9	XEYCNPKM1	XEYCNPKM2	XEYCNPKM3	XEYCNPKM4	XEYCNPKM5	XEYCNPKM6	XEYCNPKM7	XEYCNPKM8	XEYCNPKM9	XEYYCK1	XEYYCK2	XEYYCK4	XEYYCK5	XEYYCK6	XEYYCK7	XEYYCK8	XEYYCK9	XEYYNPK1	XEYYNPK2	XEYYNPK3	XEYYNPK4	XEYYNPK5	XEYYNPK6	XEYYNPK8	XEYYNPK9	XEYYNPKM1	XEYYNPKM2	XEYYNPKM3	XEYYNPKM4	XEYYNPKM5	XEYYNPKM6	XEYYNPKM7	XEYYNPKM8	XEYYNPKM9	XECCCK1	XECCCK2	XECCCK3	XECCNPK1	XECCNPK2	XECCNPK3	XECCNPKM1	XECCNPKM2	XECCNPKM3	XEJX20CK1	XEJX20CK2	XEJX20CK3	XEJX20CK4	XEJX20CK5	XEJX20CK6	XEJX20CK7	XEJX20CK8	XEJX20CK9	XEJX20NPK1	XEJX20NPK2	XEJX20NPK3	XEJX20NPK4	XEJX20NPK5	XEJX20NPK6	XEJX20NPK7	XEJX20NPK8	XEJX20NPK9	XEJX20NPKM1	XEJX20NPKM2	XEJX20NPKM3	XEJX20NPKM4	XEJX20NPKM5	XEJX20NPKM6	XEJX20NPKM7	XEJX20NPKM8	XEJX20NPKM9	XEHL20CK1	XEHL20CK2	XEHL20CK3	XEHL20NPK1	XEHL20NPK2	XEHL20NPK3	XEHL20NPKM1	XEHL20NPKM2	XEHL20NPKM3
OTU_19	51	60	38	42	74	78	43	345	104	39	127	57	43	168	92	57	383	76	269	1603	41	59	1967	9	25	76	89	59	52	158	108	81	81	209	71	94	61	61	572	619	578	1169	518	847	487	615	459	860	609	844	289	420	286	1264	1845	1201	919	1088	703	640	289	413	564	345	1294	450	592	632	510	464	253	386	462	663	223	7507	3764	1233	12557	55879	79132	974	54573	1324	438	664	460	159	696	677	1542	1363	919	926	784	486	1693	6872	1078	566	2239	1121	1050	310	107	511	780	1170	2895	2787	1328	1345	967	1391	383	2915	591	391	286	552
OTU_671	1349	1181	782	895	1804	1770	1332	678	1518	1235	595	1542	1156	1769	1571	1385	1009	1848	1090	1182	643	1042	1137	2319	614	2224	3581	1641	1613	2954	1440	1888	12970	108690	10842	3578	14433	18276	1899	784	312	354	10506	529	266	311	383	262	540	291	350	501	216	260	221	191	225	288	178	235	237	386	196	908	280	805	420	275	393	1857	74	224	133	245	198	269	1147	1725	839	629	311	10109	1104	1037	189	324	344	66	172	170	532	365	208	302	275	201	666	3495	532	408	513	383	505	158	56	455	405	1459	1070	549	142	249	179	214	3450	245	100	53	63	152
OTU_55	45	56	29	29	72	73	43	95	4544	1315	55	187	403	15326	3634	1033	233	97	54	95	34	142	41	8	41	70	76	35	63	69	62	62	214	262	85	58	134	34	1334	297	230	17762	144	299	210	28670	188	1829	256	1094	99	144	90	755	459	301	402	1628	196	204	58	1028	3662	107	286	366	181	247	133	159	62	116	115	210	69	166	258	179	157	516	580	136	525	85	164	265	247	49	8944	6574	17023	7934	26241	832	953	238	664	35841	565	182	7263	486	381	141	51	185	342	517	966	210	202	686	438	602	90	466	151	210	108	197
OTU_81	13	7	7	3	7	132	9	18	19	23	1	5	4	9	16	15	15	10	25	26	2	21	7	9	27	32	1178	1285	10	80	507	524	347	820	53	27	14	9	296	218	251	637	203	365	240	311	200	400	332	354	147	137	83	35426	546	19967	39371	820	301	242	102	171	283	125	461	150	225	341	420	533	78	148	1357	2997	92	213	329	220	210	988	977	185	842	115	56	86	51	27	155	128	284	258	187	96	129	53	205	965	147	63	47020	116	116	35	14	79	84	155	391	80	90	194	146	164	55	135	84	47	72	93
OTU_3459	427	370	151	709	351	421	229	116	180	254	159	629	316	295	147	780	136	280	86	424	90	79	230	436	133	469	469	258	279	751	1495	273	879	489	222	507	200	279	680	265	71	70	468	213	78	56	179	87	578	97	585	765	113	99	54	49	67	118	74	79	319	72	63	1155	145	1022	263	132	570	263	25	122	70	122	156	172	2669	3692	1576	609	185	443	200	432	1103	1573	890	332	735	912	2473	1516	858	2047	1058	1012	2986	11160	2760	1092	1435	2002	2391	436	402	1068	1924	26992	4880	758	730	282	249	284	59	1228	108	43	75	102
OTU_4175	776	665	466	564	1209	1526	767	365	823	59178	204	583	663	711	926	574	538	901	611	462	445	630	497	281	324	1229	1557	718	946	871	618	897	12720	2810	986	938	936	626	48	30	107	34	83	152	31	25	47	76	265	48	28	26	11	42	26	25	34	48	38	30	20	21	43	48	20	23	60	30	55	46	8	18	10	17	17	19	90	71	32	47	83	31	201	179	2	1	5	1	6	6	9	5	2	5	3	3	12	34	5	5	7	4	5	4	0	2	5	5	14	19	1	9	6	12	62	2	95	1	2	2
OTU_77	118	117	45	64	194	149	109	1354	13304	4322	269	107	135	122	150	1250	942	148	87	171	46	71	1038	45	3923	402	440	533	151	568	3901	180	975	3818	129	131	146	117	271	684	85	128	172	847	105	137	80	93	97	129	144	186	235	7953	185	123	123	15219	113	110	94	76	1929	155	23876	809	147	150	110	110	25	99	1673	251	766	132	262	219	174	366	299	142	295	445	9	18	21	31	1061	218	325	133	63	15	16	5	38	285	13	12	474	16	21	7	3	8	47	29	48	74	17	13	8	18	2	4	2	2	7	1
OTU_30	68	69	41	49	125	120	86	66	141	64	35	49	71	115	141	61	77	138	142	527	56	117	89	33	27	1869	5334	81	102	13492	11241	969	186	8051	172	139	93	65	14	10	8	235	22	905	23	374	9	21	12	18	6	6	6	118	20	13	17	24	19	9	3	10	12	5	16	10	11	16	9	11	3	13	11	14	2	6	189	352	6	18	34	4	119	6	150	260	231	73	262	311	791	698	432	349	303	135	781	2304	385	255	656	411	994	22766	49	140	304	466	10281	3275	220	497	378	483	81	350	101	143	114	201
OTU_53	205	188	193	521	210	265	199	113	142	117	35	120	219	116	349	107	163	138	263	156	173	116	119	41	57	366	844	912	345	297	164	236	314	1794	470	499	1654	185	988	604	245	224	477	1192	572	293	333	306	612	230	251	353	166	211	447	946	333	862	230	218	109	252	298	362	338	468	456	646	169	335	107	290	119	177	129	213	524	492	388	491	251	296	13312	12794	308	444	1035	101	217	225	591	423	298	3369	742	307	860	3146	628	298	583	647	1094	334	94	298	541	1148	1388	959	313	2206	2627	3049	117	1508	4378	748	628	416
OTU_21	291	207	45	200	100	1220	72	16303	1331	282	2437	1902	434	102	202	62	2963	135	2236	509	83	136	54	19	34	137	218	68	80	360	3039	182	171	514	138	98	137	65	146	141	95	263	79	178	122	264	107	193	159	163	85	81	52	200	247	181	211	243	165	155	59	140	1131	69	136	114	3879	195	22272	339	55	74	138	180	3618	128	282	182	222	956	366	186	417	169	1	3	7	2	7	21	40	17	9	66	9	25	8	106	30	6	91	41	286	31	11	1	8	13	23	17	217	10	5	21	4	9	0	6	3	30
OTU_11360	569	433	98	143	788	510	418	172	132	2320	143	237	464	209	130	372	116	543	69	75	165	93	116	117	275	813	676	686	908	975	1163	831	768	877	345	399	248	476	963	1442	52	139	292	341	134	126	102	66	159	132	414	546	292	64	48	37	40	115	51	91	164	83	69	450	192	173	337	100	92	579	19	169	75	85	67	82	916	507	329	155	75	1009	232	74	814	785	339	260	349	391	1115	691	410	669	419	722	2496	10939	861	314	410	485	2045	674	126	909	1387	6049	4024	301	481	491	591	1234	48	2348	91	217	79	260
OTU_136	2	2	0	1	5	6	5	1090	7	0	4	1	11	6	5	5	8	5	8	10	2	1	54	2	3	81	7	3	18	58	113	10	16	8	68	2	155	8	154	171	95	172	77	140	115	159	115	171	97	127	78	138	171	2067	238	124	157	302	108	112	53	62	2314	105	1046	105	573	906	6437	670	44	1180	9508	6785	27628	62	140	177	108	226	275	80	453	45	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	16	0	0	0	0	0	0	0	0	0	0
OTU_200	75	121	51	64	144	131	102	74	28615	1733	53	555	91	5503	240	674	4523	154	187	268	98	180	88	40	41	140	180	92	132	131	134	149	131	333	135	125	122	91	0	6	1	1	2	3	0	3	0	0	1	0	1	0	1	8	3	2	4	1	4	3	0	1	6	1	0	0	2	0	0	4	0	0	1	1	10	0	0	1	1	0	1	0	2	0	2	1	1	0	8	5	4	11	12	4	4	5	6	18	3	0	113	2	11	1	1	0	7	5	11	0	409	6	7	7	0	3	0	2	3	2
